touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,114,9.7192982456140351,8.8508771929824561
2,113,8.3274336283185841,8.1592920353982301
3,113,8.8053097345132743,7.8495575221238938
4,112,7.7946428571428571,8.2142857142857143
5,112,7.9107142857142857,8.0982142857142857
6,111,7.3963963963963964,9.4864864864864865
7,111,7.1531531531531532,8.6846846846846847
8,111,6.9819819819819820,7.9009009009009009
9,111,7.3513513513513514,8.1171171171171171
10,111,8.7117117117117117,7.9279279279279279
11,111,7.4594594594594595,8.4864864864864865
12,110,6.9181818181818182,8.8727272727272727
13,110,7.2272727272727273,9.3909090909090909
14,110,6.9909090909090909,9.0000000000000000
15,109,8.7339449541284404,9.4311926605504587
16,106,8.8113207547169811,8.9716981132075472
17,105,8.0666666666666667,11.6952380952380952
18,104,8.6442307692307692,12.1346153846153846
19,101,9.4950495049504950,11.0495049504950495
20,101,9.3267326732673267,10.9207920792079208
21,99,8.4848484848484848,14.5050505050505051
22,98,7.7959183673469388,15.1122448979591837
23,96,7.5312500000000000,16.1562500000000000
24,93,8.3440860215053763,16.0860215053763441
25,93,8.1290322580645161,15.5698924731182796
26,93,8.9677419354838710,14.8494623655913978
27,91,9.5274725274725275,15.6703296703296703
28,90,9.3222222222222222,16.7444444444444444
29,89,10.9325842696629213,16.9325842696629213
30,88,10.6363636363636364,16.2159090909090909
31,87,9.1494252873563218,16.1954022988505747
32,84,8.4047619047619048,17.0476190476190476
33,80,9.0125000000000000,16.5750000000000000
34,80,10.8875000000000000,16.8625000000000000
35,78,9.4615384615384615,17.2051282051282051
36,78,8.8461538461538462,17.2051282051282051
37,74,8.6621621621621622,18.2702702702702703
38,71,8.7746478873239437,17.5774647887323944
39,70,7.6428571428571429,18.5714285714285714
40,68,9.3529411764705882,19.6470588235294118
41,67,8.1791044776119403,19.7164179104477612
42,66,10.4393939393939394,18.6363636363636364
43,65,8.6153846153846154,18.2461538461538462
44,63,11.2539682539682540,21.7777777777777778
45,63,10.6190476190476190,20.3809523809523810
46,61,10.3770491803278689,18.3442622950819672
47,56,11.4285714285714286,21.5714285714285714
48,52,9.4230769230769231,21.7884615384615385
49,47,9.6595744680851064,22.5744680851063830
50,45,8.0666666666666667,23.3555555555555556
51,44,8.3636363636363636,23.6590909090909091
52,43,7.2558139534883721,24.2558139534883721
53,42,9.9047619047619048,23.5476190476190476
54,41,9.2682926829268293,23.8536585365853659
55,41,11.0243902439024390,24.1219512195121951
56,37,10.0540540540540541,23.3243243243243243
57,35,9.5142857142857143,25.5428571428571429
58,33,12.8181818181818182,28.4545454545454545
59,32,9.1250000000000000,27.3125000000000000
60,32,8.4375000000000000,27.6250000000000000
61,32,12.3125000000000000,25.7500000000000000
62,31,9.2903225806451613,27.9354838709677419
63,31,8.5806451612903226,32.5483870967741935
64,31,10.2580645161290323,32.8709677419354839
65,28,9.9285714285714286,32.1071428571428571
66,28,9.2142857142857143,33.6071428571428571
67,27,11.5925925925925926,30.8888888888888889
68,26,11.3076923076923077,32.1538461538461538
69,25,10.9200000000000000,35.1200000000000000
70,24,13.9166666666666667,32.7500000000000000
71,24,12.6666666666666667,33.5000000000000000
72,21,10.3333333333333333,40.7619047619047619
73,20,9.8000000000000000,41.4000000000000000
74,18,15.1666666666666667,41.8888888888888889
75,18,13.5000000000000000,42.6111111111111111
76,17,9.8235294117647059,43.2941176470588235
77,17,7.0000000000000000,47.5294117647058824
78,16,9.8125000000000000,47.1875000000000000
79,15,13.7333333333333333,48.4666666666666667
80,14,12.8571428571428571,50.9285714285714286
81,12,8.9166666666666667,57.2500000000000000
82,12,9.5000000000000000,60.6666666666666667
83,11,14.2727272727272727,59.2727272727272727
84,11,11.3636363636363636,59.7272727272727273
85,10,8.3000000000000000,64.6000000000000000
86,10,6.5000000000000000,68.3000000000000000
87,10,7.9000000000000000,65.3000000000000000
88,9,8.8888888888888889,67.7777777777777778
89,9,9.4444444444444444,69.2222222222222222
90,9,8.4444444444444444,69.3333333333333333
91,9,8.3333333333333333,72.1111111111111111
92,9,5.6666666666666667,74.5555555555555556
93,8,10.0000000000000000,76.5000000000000000
94,8,8.1250000000000000,75.0000000000000000
95,8,7.5000000000000000,77.5000000000000000
96,8,6.1250000000000000,77.2500000000000000
97,8,8.8750000000000000,75.6250000000000000
98,8,9.6250000000000000,75.0000000000000000
99,8,6.8750000000000000,79.0000000000000000
100,8,5.3750000000000000,74.3750000000000000
101,7,6.2857142857142857,85.1428571428571429
102,7,7.0000000000000000,85.7142857142857143
103,7,7.1428571428571429,86.5714285714285714
104,7,6.2857142857142857,87.2857142857142857
105,7,8.2857142857142857,85.1428571428571429
106,6,11.6666666666666667,99.6666666666666667
107,4,11.7500000000000000,144.7500000000000000
108,4,7.7500000000000000,146.5000000000000000
109,4,7.5000000000000000,147.7500000000000000
110,4,6.7500000000000000,149.2500000000000000
111,4,5.2500000000000000,147.5000000000000000
112,4,3.2500000000000000,151.0000000000000000
113,4,7.7500000000000000,150.7500000000000000
114,4,6.0000000000000000,149.0000000000000000
115,4,7.7500000000000000,148.7500000000000000
116,4,10.5000000000000000,144.7500000000000000
117,4,9.2500000000000000,146.0000000000000000
118,4,12.0000000000000000,145.0000000000000000
119,4,10.7500000000000000,148.0000000000000000
120,4,11.0000000000000000,147.5000000000000000
121,4,15.2500000000000000,147.2500000000000000
122,4,78.0000000000000000,82.2500000000000000
123,4,76.5000000000000000,86.5000000000000000
124,4,5.0000000000000000,153.5000000000000000
125,4,11.2500000000000000,148.0000000000000000
126,4,14.0000000000000000,148.0000000000000000
127,4,5.7500000000000000,153.5000000000000000
128,4,9.5000000000000000,150.0000000000000000
129,4,8.2500000000000000,147.5000000000000000
130,4,75.7500000000000000,82.0000000000000000
131,4,74.0000000000000000,85.0000000000000000
