event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,9,0.22222222222222222222,3.0,5.0,27.6,225.0000000000000000
CROSS,2,flat,9,0.22222222222222222222,6.0,9.0,21.0,200.0000000000000000
CROSS,3,flat,6,0.33333333333333333333,9.0,10.0,13.5,192.0000000000000000
CROSS,4,flat,7,0.14285714285714285714,4.0,8.0,6.699999999999999,120.0000000000000000
CROSS,5,flat,9,0.11111111111111111111,6.0,9.0,11.399999999999999,172.5000000000000000
CROSS,6,flat,11,0.36363636363636363636,4.0,12.0,11.0,162.0000000000000000
CROSS,7,flat,12,0E-20,6.5,10.0,17.349999999999998,152.7272727272727273
CROSS,8,flat,7,0.14285714285714285714,8.0,6.0,19.0,137.1428571428571429
CROSS,9,flat,9,0.77777777777777777778,4.0,11.0,8.0,225.0000000000000000
CROSS,10,flat,7,0.42857142857142857143,5.0,5.0,11.399999999999999,168.0000000000000000
CROSS,11,flat,8,0.50000000000000000000,8.0,6.0,17.799999999999994,270.0000000000000000
CROSS,12,flat,9,0.11111111111111111111,12.0,8.0,16.2,225.0000000000000000
CROSS,13,flat,10,0.20000000000000000000,6.0,6.5,11.099999999999998,180.0000000000000000
CROSS,14,flat,9,0.11111111111111111111,3.0,10.0,18.4,135.0000000000000000
CROSS,15,flat,8,0.12500000000000000000,6.0,7.0,6.6499999999999995,188.5714285714285714
CROSS,16,flat,6,0.16666666666666666667,1.0,4.5,11.25,200.0000000000000000
CROSS,17,flat,7,0.14285714285714285714,10.0,5.0,19.39999999999999,228.0000000000000000
CROSS,18,flat,6,0.16666666666666666667,2.0,3.0,19.0,165.0000000000000000
CROSS,19,flat,10,0.10000000000000000000,5.0,6.5,13.649999999999997,226.6666666666666667
CROSS,20,flat,6,0E-20,6.0,4.5,8.75,190.0000000000000000
CROSS,21,flat,6,0.16666666666666666667,1.0,7.5,3.25,80.0000000000000000
CROSS,22,flat,5,0.60000000000000000000,0.0,7.0,4.8,
CROSS,23,flat,10,0.10000000000000000000,2.5,8.0,9.299999999999994,171.4285714285714286
CROSS,24,flat,7,0.28571428571428571429,4.0,3.0,7.799999999999997,220.0000000000000000
CROSS,25,flat,4,0.75000000000000000000,2.0,14.0,2.0,60.0000000000000000
CROSS,26,flat,8,0.37500000000000000000,4.0,3.5,8.0,140.0000000000000000
CROSS,27,flat,10,0.20000000000000000000,2.0,10.5,13.89999999999998,120.0000000000000000
CROSS,28,flat,8,0.50000000000000000000,3.0,6.0,9.0,180.0000000000000000
CROSS,29,flat,10,0.20000000000000000000,9.5,8.0,12.099999999999998,210.0000000000000000
CROSS,30,flat,6,0.33333333333333333333,5.5,4.0,10.75,180.0000000000000000
CROSS,31,flat,7,0.14285714285714285714,4.0,4.0,9.899999999999995,144.0000000000000000
CROSS,32,flat,9,0.33333333333333333333,7.0,4.0,32.4,172.5000000000000000
CROSS,33,flat,7,0.42857142857142857143,4.0,3.0,13.199999999999996,197.1428571428571429
CROSS,34,flat,6,0.66666666666666666667,3.0,4.0,5.75,132.0000000000000000
CROSS,35,flat,11,0.18181818181818181818,3.0,5.0,26.5,248.5714285714285714
CROSS,36,flat,5,0.20000000000000000000,1.0,7.0,3.8,210.0000000000000000
CROSS,37,flat,5,0.60000000000000000000,2.0,6.0,6.8,210.0000000000000000
CROSS,38,flat,5,0.40000000000000000000,4.0,3.0,6.6,225.0000000000000000
CROSS,39,flat,4,0E-20,1.0,6.0,12.199999999999996,180.0000000000000000
CROSS,40,flat,10,0.30000000000000000000,3.5,5.0,10.849999999999993,216.0000000000000000
CROSS,41,flat,8,0.12500000000000000000,5.5,5.5,15.449999999999992,190.0000000000000000
CROSS,42,flat,6,0.33333333333333333333,6.0,5.0,22.0,210.0000000000000000
CROSS,43,flat,3,0E-20,7.0,3.0,9.7,160.0000000000000000
CROSS,44,flat,4,0.75000000000000000000,1.5,3.0,2.0,120.0000000000000000
CROSS,45,flat,6,0.66666666666666666667,1.0,7.5,16.25,160.0000000000000000
CROSS,46,flat,1,0E-20,11.0,6.0,11.0,240.0000000000000000
CROSS,47,flat,1,0E-20,4.0,9.0,4.0,60.0000000000000000
CROSS,48,flat,5,0.20000000000000000000,3.0,3.0,11.0,160.0000000000000000
CROSS,49,flat,3,0E-20,10.0,6.0,17.2,240.0000000000000000
CROSS,50,flat,6,0.33333333333333333333,9.0,2.5,23.5,216.0000000000000000
CROSS,51,flat,4,0.25000000000000000000,10.0,4.5,14.7,210.0000000000000000
CROSS,52,flat,4,0E-20,6.5,6.0,21.749999999999993,165.0000000000000000
CROSS,53,flat,5,0.40000000000000000000,7.0,5.0,15.2,300.0000000000000000
CROSS,54,flat,6,0.50000000000000000000,3.5,6.0,8.25,180.0000000000000000
CROSS,55,flat,3,0.33333333333333333333,3.0,6.0,3.0,120.0000000000000000
CROSS,57,flat,4,0.25000000000000000000,11.5,10.0,17.099999999999998,260.0000000000000000
CROSS,58,flat,7,0.28571428571428571429,8.0,8.0,14.499999999999996,204.0000000000000000
CROSS,59,flat,6,0.33333333333333333333,1.5,6.0,4.0,140.0000000000000000
CROSS,60,flat,3,0E-20,6.0,3.0,11.399999999999999,260.0000000000000000
CROSS,61,flat,2,0E-20,4.0,4.0,5.8,60.0000000000000000
CROSS,62,flat,2,0.50000000000000000000,4.5,3.0,4.95,210.0000000000000000
CROSS,63,flat,5,0E-20,6.0,7.0,12.599999999999998,225.0000000000000000
CROSS,64,flat,3,0E-20,10.0,14.0,12.7,120.0000000000000000
CROSS,65,flat,3,0.66666666666666666667,2.0,4.0,3.8,180.0000000000000000
CROSS,66,flat,5,0E-20,6.0,3.0,8.6,252.0000000000000000
CROSS,67,flat,2,0E-20,5.5,4.0,7.75,270.0000000000000000
CROSS,68,flat,4,0.25000000000000000000,4.5,6.0,12.799999999999997,200.0000000000000000
CROSS,69,flat,1,0E-20,6.0,1.0,6.0,240.0000000000000000
CROSS,70,flat,4,0.25000000000000000000,3.0,6.0,5.85,210.0000000000000000
CROSS,72,flat,3,0.33333333333333333333,3.0,7.0,5.699999999999999,120.0000000000000000
CROSS,73,flat,3,0E-20,3.0,5.0,6.6,120.0000000000000000
CROSS,74,flat,2,0E-20,2.5,4.5,2.95,180.0000000000000000
CROSS,75,flat,4,0.25000000000000000000,4.0,5.0,18.049999999999997,150.0000000000000000
CROSS,76,flat,3,0.33333333333333333333,2.0,6.0,25.4,180.0000000000000000
CROSS,77,flat,2,1.00000000000000000000,2.5,5.0,3.8499999999999996,240.0000000000000000
CROSS,79,flat,3,0E-20,4.0,2.0,9.399999999999999,270.0000000000000000
CROSS,80,flat,3,0.33333333333333333333,7.0,9.0,15.1,180.0000000000000000
CROSS,81,flat,2,0E-20,5.0,6.5,7.699999999999999,
CROSS,82,flat,3,0.66666666666666666667,1.0,9.0,3.6999999999999997,
CROSS,84,flat,1,1.00000000000000000000,4.0,3.0,4.0,180.0000000000000000
CROSS,85,flat,1,1.00000000000000000000,1.0,14.0,1.0,
CROSS,86,flat,1,1.00000000000000000000,0.0,19.0,0.0,
CROSS,87,flat,2,0.50000000000000000000,4.5,9.5,8.549999999999999,300.0000000000000000
CROSS,90,flat,2,0.50000000000000000000,1.0,11.0,1.9,120.0000000000000000
CROSS,91,flat,4,0.25000000000000000000,5.0,5.0,16.349999999999994,195.0000000000000000
CROSS,92,flat,2,0.50000000000000000000,10.5,17.0,18.15,180.0000000000000000
CROSS,93,flat,3,0.33333333333333333333,2.0,9.0,3.8,90.0000000000000000
CROSS,95,flat,2,0.50000000000000000000,10.0,9.5,19.0,120.0000000000000000
CROSS,96,flat,1,0E-20,3.0,5.0,3.0,120.0000000000000000
CROSS,97,flat,2,0E-20,3.5,7.5,6.6499999999999995,240.0000000000000000
CROSS,98,flat,1,0E-20,6.0,7.0,6.0,300.0000000000000000
CROSS,99,flat,1,0E-20,2.0,14.0,2.0,60.0000000000000000
CROSS,100,flat,3,0.33333333333333333333,5.0,4.0,6.8,100.0000000000000000
CROSS,101,flat,2,0E-20,3.0,5.0,4.8,120.0000000000000000
CROSS,102,flat,2,0.50000000000000000000,10.0,5.0,19.0,300.0000000000000000
CROSS,103,flat,2,0.50000000000000000000,3.0,7.0,3.9,180.0000000000000000
CROSS,104,flat,1,0E-20,7.0,6.0,7.0,120.0000000000000000
CROSS,106,flat,1,1.00000000000000000000,2.0,19.0,2.0,60.0000000000000000
CROSS,108,flat,1,0E-20,6.0,4.0,6.0,60.0000000000000000
CROSS,109,flat,1,0E-20,3.0,10.0,3.0,300.0000000000000000
CROSS,110,flat,2,0E-20,7.5,9.5,12.45,120.0000000000000000
CROSS,111,flat,1,0E-20,3.0,21.0,3.0,
CROSS,112,flat,2,1.00000000000000000000,3.0,8.0,3.9,180.0000000000000000
CROSS,113,flat,2,0.50000000000000000000,6.5,6.0,9.649999999999999,300.0000000000000000
CROSS,114,flat,1,0E-20,5.0,11.0,5.0,300.0000000000000000
CROSS,115,flat,2,0E-20,5.5,6.5,9.549999999999999,180.0000000000000000
CROSS,116,flat,1,0E-20,26.0,10.0,26.0,240.0000000000000000
CROSS,117,flat,2,0E-20,11.5,5.0,16.45,270.0000000000000000
CROSS,119,flat,1,0E-20,8.0,6.0,8.0,120.0000000000000000
CROSS,120,flat,1,0E-20,14.0,1.0,14.0,300.0000000000000000
CROSS,122,flat,1,0E-20,1.0,10.0,1.0,
CROSS,123,flat,1,0E-20,10.0,5.0,10.0,240.0000000000000000
CROSS,125,flat,1,0E-20,7.0,5.0,7.0,180.0000000000000000
CROSS,127,flat,1,0E-20,3.0,14.0,3.0,60.0000000000000000
CROSS,133,flat,1,0E-20,4.0,3.0,4.0,300.0000000000000000
PIERCE,1,flat,5,0E-20,5.0,5.0,25.0,220.0000000000000000
PIERCE,2,flat,4,0E-20,5.0,12.0,13.499999999999996,180.0000000000000000
PIERCE,3,flat,5,0E-20,5.0,3.0,9.799999999999999,180.0000000000000000
PIERCE,4,flat,6,0E-20,7.0,4.0,11.75,170.0000000000000000
PIERCE,5,flat,4,0E-20,7.0,4.0,9.549999999999999,165.0000000000000000
PIERCE,6,flat,6,0E-20,10.5,8.5,28.0,120.0000000000000000
PIERCE,7,flat,2,0E-20,2.5,9.5,2.95,120.0000000000000000
PIERCE,8,flat,6,0E-20,6.5,6.5,11.0,150.0000000000000000
PIERCE,9,flat,4,0E-20,7.5,3.5,13.249999999999998,240.0000000000000000
PIERCE,10,flat,4,0E-20,3.5,10.0,4.0,120.0000000000000000
PIERCE,11,flat,4,0E-20,6.5,1.0,7.85,180.0000000000000000
PIERCE,12,flat,6,0E-20,5.5,1.0,9.5,192.0000000000000000
PIERCE,13,flat,4,0E-20,7.0,10.0,9.0,150.0000000000000000
PIERCE,14,flat,2,0E-20,6.0,4.5,8.7,180.0000000000000000
PIERCE,15,flat,3,0E-20,11.0,5.0,11.0,270.0000000000000000
PIERCE,16,flat,2,0E-20,7.0,6.0,7.0,120.0000000000000000
PIERCE,17,flat,1,0E-20,4.0,6.0,4.0,120.0000000000000000
PIERCE,18,flat,4,0E-20,10.5,3.0,17.799999999999997,210.0000000000000000
PIERCE,19,flat,4,0E-20,3.5,4.0,9.249999999999998,180.0000000000000000
PIERCE,20,flat,5,0E-20,4.0,3.0,8.6,120.0000000000000000
PIERCE,21,flat,5,0E-20,8.0,9.0,10.6,195.0000000000000000
PIERCE,22,flat,4,0E-20,6.5,3.0,17.349999999999994,165.0000000000000000
PIERCE,23,flat,4,0E-20,3.5,2.0,5.699999999999999,120.0000000000000000
PIERCE,24,flat,6,0E-20,8.0,3.0,8.75,195.0000000000000000
PIERCE,25,flat,6,0E-20,6.0,7.0,9.25,180.0000000000000000
PIERCE,26,flat,4,0E-20,7.5,4.0,12.7,240.0000000000000000
PIERCE,28,flat,3,0E-20,9.0,1.0,9.9,240.0000000000000000
PIERCE,29,flat,1,0E-20,3.0,2.0,3.0,
PIERCE,30,flat,3,0E-20,4.0,2.0,6.699999999999999,300.0000000000000000
PIERCE,31,flat,1,0E-20,3.0,6.0,3.0,
PIERCE,32,flat,2,0E-20,3.5,2.5,3.95,240.0000000000000000
PIERCE,33,flat,1,0E-20,6.0,11.0,6.0,120.0000000000000000
PIERCE,34,flat,2,0E-20,2.0,13.5,2.9,60.0000000000000000
PIERCE,35,flat,1,0E-20,4.0,6.0,4.0,240.0000000000000000
PIERCE,36,flat,2,0E-20,9.5,6.5,12.649999999999999,180.0000000000000000
PIERCE,37,flat,3,0E-20,4.0,3.0,13.899999999999999,180.0000000000000000
PIERCE,38,flat,2,0E-20,3.0,6.0,3.9,
PIERCE,39,flat,4,0E-20,6.5,3.5,9.549999999999999,240.0000000000000000
PIERCE,41,flat,2,0E-20,7.0,5.0,8.8,150.0000000000000000
PIERCE,42,flat,5,0E-20,3.0,4.0,11.799999999999997,270.0000000000000000
PIERCE,43,flat,2,0E-20,4.5,1.0,4.95,60.0000000000000000
PIERCE,44,flat,4,0E-20,4.0,5.0,18.599999999999994,240.0000000000000000
PIERCE,45,flat,1,0E-20,16.0,1.0,16.0,300.0000000000000000
PIERCE,46,flat,3,0E-20,2.0,7.0,6.5,120.0000000000000000
PIERCE,47,flat,4,0E-20,5.5,13.5,10.249999999999998,300.0000000000000000
PIERCE,48,flat,4,0E-20,3.5,6.5,13.349999999999996,270.0000000000000000
PIERCE,49,flat,2,0E-20,7.0,10.5,8.8,300.0000000000000000
PIERCE,50,flat,2,0E-20,2.5,5.0,3.8499999999999996,120.0000000000000000
PIERCE,51,flat,1,0E-20,6.0,5.0,6.0,
PIERCE,52,flat,1,0E-20,7.0,2.0,7.0,300.0000000000000000
PIERCE,53,flat,1,0E-20,4.0,14.0,4.0,
PIERCE,54,flat,2,0E-20,9.5,5.5,15.35,60.0000000000000000
PIERCE,55,flat,1,0E-20,7.0,14.0,7.0,
PIERCE,56,flat,1,0E-20,2.0,5.0,2.0,
PIERCE,58,flat,2,0E-20,3.5,2.0,3.95,180.0000000000000000
PIERCE,60,flat,1,0E-20,6.0,22.0,6.0,
PIERCE,61,flat,3,0E-20,8.0,0.0,15.2,150.0000000000000000
PIERCE,62,flat,4,0E-20,3.0,2.0,20.14999999999999,200.0000000000000000
PIERCE,63,flat,2,0E-20,13.5,1.5,23.849999999999998,240.0000000000000000
PIERCE,65,flat,1,0E-20,10.0,3.0,10.0,180.0000000000000000
PIERCE,66,flat,4,0E-20,7.0,4.0,8.85,180.0000000000000000
PIERCE,67,flat,4,0E-20,5.0,6.5,8.399999999999999,140.0000000000000000
PIERCE,69,flat,2,0E-20,8.0,1.5,8.0,300.0000000000000000
PIERCE,71,flat,2,0E-20,5.0,5.0,5.0,300.0000000000000000
PIERCE,72,flat,2,0E-20,5.0,2.0,7.699999999999999,240.0000000000000000
PIERCE,73,flat,1,0E-20,8.0,4.0,8.0,240.0000000000000000
PIERCE,75,flat,1,0E-20,5.0,4.0,5.0,60.0000000000000000
PIERCE,76,flat,1,0E-20,4.0,5.0,4.0,
PIERCE,77,flat,4,0E-20,7.5,6.0,16.949999999999996,270.0000000000000000
PIERCE,78,flat,3,0E-20,12.0,0.0,20.1,260.0000000000000000
PIERCE,83,flat,1,0E-20,1.0,16.0,1.0,
PIERCE,85,flat,2,0E-20,4.5,8.0,6.75,60.0000000000000000
PIERCE,86,flat,1,0E-20,3.0,3.0,3.0,60.0000000000000000
PIERCE,87,flat,2,0E-20,4.0,8.5,4.9,300.0000000000000000
PIERCE,88,flat,1,0E-20,3.0,7.0,3.0,
PIERCE,89,flat,1,0E-20,4.0,6.0,4.0,300.0000000000000000
PIERCE,90,flat,1,0E-20,9.0,2.0,9.0,240.0000000000000000
PIERCE,94,flat,2,0E-20,5.0,10.0,5.9,180.0000000000000000
PIERCE,96,flat,1,0E-20,6.0,3.0,6.0,300.0000000000000000
PIERCE,101,flat,1,0E-20,6.0,19.0,6.0,
PIERCE,103,flat,1,0E-20,6.0,17.0,6.0,
PIERCE,104,flat,1,0E-20,12.0,11.0,12.0,
PIERCE,105,flat,1,0E-20,9.0,12.0,9.0,120.0000000000000000
PIERCE,107,flat,2,0E-20,7.0,10.0,8.8,120.0000000000000000
PIERCE,109,flat,1,0E-20,1.0,14.0,1.0,
PIERCE,111,flat,1,0E-20,5.0,2.0,5.0,60.0000000000000000
PIERCE,121,flat,1,0E-20,5.0,9.0,5.0,60.0000000000000000
PIERCE,123,flat,1,0E-20,6.0,11.0,6.0,
TOUCH,1,flat,10,0E-20,3.0,4.5,14.0,80.0000000000000000
TOUCH,2,flat,11,0E-20,3.0,4.0,9.5,188.5714285714285714
TOUCH,3,flat,13,0E-20,8.0,6.0,15.0,256.3636363636363636
TOUCH,4,flat,11,0E-20,7.0,4.0,16.0,240.0000000000000000
TOUCH,5,flat,11,0E-20,6.0,8.0,20.0,180.0000000000000000
TOUCH,6,flat,7,0E-20,5.0,4.0,23.19999999999999,220.0000000000000000
TOUCH,7,flat,10,0E-20,3.5,8.0,7.0,204.0000000000000000
TOUCH,8,flat,11,0E-20,5.0,5.0,8.0,240.0000000000000000
TOUCH,9,flat,11,0E-20,5.0,5.0,7.5,180.0000000000000000
TOUCH,10,flat,13,0E-20,4.0,6.0,10.599999999999994,255.0000000000000000
TOUCH,11,flat,12,0E-20,4.0,6.0,13.499999999999993,180.0000000000000000
TOUCH,12,flat,9,0E-20,6.0,4.0,13.0,180.0000000000000000
TOUCH,13,flat,10,0E-20,9.0,4.0,16.49999999999999,228.0000000000000000
TOUCH,14,flat,12,0E-20,4.5,3.5,11.899999999999999,195.0000000000000000
TOUCH,15,flat,12,0E-20,3.5,3.0,14.049999999999994,228.0000000000000000
