date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2025-01-29,2025-01-28 11:30:00-05:00,CROSS,VWAP,FROM_ABOVE,1,2790.205714,0.033320,2789.900000,3.0571400000000000,25.000000,9.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 11:31:00-05:00,CROSS,VWAP,FROM_BELOW,1,2790.238636,0.071401,2790.300000,0.61364000000000000000,3.000000,34.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 11:32:00-05:00,CROSS,VWAP,FROM_ABOVE,2,2790.207051,0.098999,2789.900000,3.0705100000000000,30.000000,4.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 11:38:00-05:00,CROSS,VWAP,FROM_BELOW,2,2788.742593,1.058818,2790.200000,14.5740700000000000,7.000000,12.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 11:41:00-05:00,TOUCH,VWAP,FROM_ABOVE,3,2789.131876,1.061034,2789.500000,3.6812400000000000,3.000000,13.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 12:39:00-05:00,PIERCE,VWAP,FROM_ABOVE,4,2792.400424,2.133687,2792.500000,0.99576000000000000000,3.000000,13.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 12:46:00-05:00,PIERCE,VWAP,FROM_ABOVE,5,2792.417096,2.098449,2792.700000,2.8290400000000000,4.000000,19.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 18:36:00-05:00,TOUCH,VWAP,FROM_ABOVE,6,2796.579047,3.339049,2796.900000,3.2095300000000000,2.000000,7.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 18:37:00-05:00,TOUCH,VWAP,FROM_ABOVE,7,2796.580730,3.333407,2797.200000,6.1927000000000000,5.000000,5.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 19:00:00-05:00,TOUCH,VWAP,FROM_ABOVE,8,2796.628240,3.244145,2797.000000,3.7176000000000000,3.000000,8.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 19:01:00-05:00,TOUCH,VWAP,FROM_ABOVE,9,2796.629312,3.239523,2797.100000,4.7068800000000000,4.000000,7.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 19:02:00-05:00,TOUCH,VWAP,FROM_ABOVE,10,2796.629782,3.236332,2796.900000,2.7021800000000000,2.000000,9.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 22:17:00-05:00,CROSS,VWAP,FROM_ABOVE,11,2797.391562,3.059413,2797.300000,0.91562000000000000000,0.000000,6.000000,63.140490,113.435350,RTH,15m,2.0
2025-01-29,2025-01-28 22:18:00-05:00,CROSS,VWAP,FROM_BELOW,3,2797.391600,3.058027,2797.500000,1.0840000000000000,6.000000,2.000000,63.140490,113.435350,RTH,15m,2.0
