event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,4.8004201680672269,3.0,6.0,10.0,71.1379551820728291,11.0,60.0000000000000000,1428,1.0
CROSS,FROM_ABOVE,180,7.6008403361344538,5.0,10.0,17.0,74.2801120448179272,13.0,121.1411411411411411,1428,3.0
CROSS,FROM_ABOVE,300,9.6169467787114846,7.0,12.0,22.0,76.3081232492997199,15.0,180.3296703296703297,1428,5.0
CROSS,FROM_ABOVE,900,16.3515406162464986,10.0,21.0,36.299999999999955,83.3886554621848739,23.0,470.7954545454545455,1428,15.0
CROSS,FROM_ABOVE,1800,23.3536414565826331,15.0,30.0,53.0,90.0973389355742297,31.0,893.5046728971962617,1428,30.0
CROSS,FROM_BELOW,60,6.6878936319104269,3.0,6.0,10.0,70.2113365990202939,10.0,60.0000000000000000,1429,1.0
CROSS,FROM_BELOW,180,9.7606717984604619,5.0,10.0,18.0,72.3589923023093072,12.0,125.9006815968841285,1429,3.0
CROSS,FROM_BELOW,300,11.8796361091672498,7.0,13.0,23.0,74.0951714485654304,14.0,188.9384478144513827,1429,5.0
CROSS,FROM_BELOW,900,19.8453463960811756,12.0,24.0,41.0,80.3184044786564031,21.0,496.3723150357995227,1429,15.0
CROSS,FROM_BELOW,1800,26.4072778166550035,17.0,32.0,58.200000000000045,86.7760671798460462,30.0,908.8667687595712098,1429,30.0
PIERCE,FROM_ABOVE,60,7.8807692307692308,5.0,8.0,12.0,8.0230769230769231,4.0,60.0000000000000000,520,1.0
PIERCE,FROM_ABOVE,180,9.9403846153846154,7.0,11.0,16.0,11.2038461538461538,7.0,130.4059040590405904,520,3.0
PIERCE,FROM_ABOVE,300,11.8230769230769231,8.0,13.0,20.0,13.4442307692307692,9.0,198.9375000000000000,520,5.0
PIERCE,FROM_ABOVE,900,18.8076923076923077,11.0,22.0,38.0,22.6346153846153846,14.5,512.1375921375921376,520,15.0
PIERCE,FROM_ABOVE,1800,27.1846153846153846,17.0,33.25,60.10000000000002,30.7750000000000000,20.0,994.2105263157894737,520,30.0
PIERCE,FROM_BELOW,60,6.6428571428571429,5.0,8.0,12.0,5.1666666666666667,4.0,60.0000000000000000,546,1.0
PIERCE,FROM_BELOW,180,9.5329670329670330,7.0,12.0,16.0,7.6648351648351648,6.0,129.9692307692307692,546,3.0
PIERCE,FROM_BELOW,300,11.5549450549450549,8.0,14.0,22.0,9.5714285714285714,7.0,194.9593495934959350,546,5.0
PIERCE,FROM_BELOW,900,17.8864468864468864,13.0,22.0,35.0,16.2985347985347985,11.0,497.9862700228832952,546,15.0
PIERCE,FROM_BELOW,1800,24.2893772893772894,17.0,29.75,51.5,23.5128205128205128,15.0,907.4678111587982833,546,30.0
TOUCH,FROM_ABOVE,60,6.1125244618395303,4.0,6.0,10.0,6.7925636007827789,4.0,60.0000000000000000,1022,1.0
TOUCH,FROM_ABOVE,180,8.3493150684931507,5.0,9.0,15.0,9.1898238747553816,6.0,128.3469721767594108,1022,3.0
TOUCH,FROM_ABOVE,300,10.1839530332681018,7.0,11.0,19.0,11.3326810176125245,7.0,195.6373937677053824,1022,5.0
TOUCH,FROM_ABOVE,900,16.5332681017612524,11.0,19.0,33.89999999999998,17.8972602739726027,11.0,497.8529754959159860,1022,15.0
TOUCH,FROM_ABOVE,1800,22.7318982387475538,15.0,28.75,47.0,24.3405088062622309,17.0,942.3920265780730897,1022,30.0
TOUCH,FROM_BELOW,60,4.8781779661016949,4.0,6.0,10.0,4.9406779661016949,4.0,60.0000000000000000,944,1.0
TOUCH,FROM_BELOW,180,7.5858050847457627,5.0,9.0,15.0,7.3855932203389831,6.0,127.5126903553299492,944,3.0
TOUCH,FROM_BELOW,300,9.2203389830508475,6.0,11.0,18.0,9.3686440677966102,7.0,189.5639097744360902,944,5.0
TOUCH,FROM_BELOW,900,15.5942796610169492,11.0,19.0,31.0,15.9502118644067797,10.0,504.9612403100775194,944,15.0
TOUCH,FROM_BELOW,1800,22.5296610169491525,15.0,27.0,47.700000000000045,21.9385593220338983,15.0,902.4205378973105134,944,30.0
