event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,59,0.40677966101694915254,7.0,9.0,19.099999999999994,178.7234042553191489
CROSS,1,moderate,8,0.25000000000000000000,8.5,10.0,28.299999999999997,127.5000000000000000
CROSS,2,flat,43,0.27906976744186046512,5.0,11.0,22.39999999999999,188.3333333333333333
CROSS,2,moderate,4,0.25000000000000000000,7.0,15.0,13.799999999999997,200.0000000000000000
CROSS,3,flat,44,0.45454545454545454545,7.0,8.0,26.250000000000007,197.8378378378378378
CROSS,3,moderate,4,0.50000000000000000000,7.0,9.0,7.85,260.0000000000000000
CROSS,4,flat,40,0.30000000000000000000,4.5,10.5,26.399999999999977,166.8750000000000000
CROSS,4,moderate,4,0.50000000000000000000,4.5,7.0,9.249999999999998,240.0000000000000000
CROSS,5,flat,33,0.27272727272727272727,6.0,12.0,21.799999999999997,182.2222222222222222
CROSS,5,moderate,2,0E-20,5.5,6.5,7.75,180.0000000000000000
CROSS,6,flat,38,0.23684210526315789474,8.0,7.5,27.0,174.1935483870967742
CROSS,6,moderate,6,0.16666666666666666667,5.5,8.0,15.25,180.0000000000000000
CROSS,7,flat,36,0.33333333333333333333,8.0,7.5,27.0,191.6129032258064516
CROSS,7,moderate,6,0.16666666666666666667,8.5,7.0,15.5,192.0000000000000000
CROSS,8,flat,40,0.32500000000000000000,6.0,9.0,35.05,162.5806451612903226
CROSS,8,moderate,5,0.40000000000000000000,4.0,6.0,18.2,240.0000000000000000
CROSS,9,flat,28,0.28571428571428571429,6.0,8.0,17.299999999999997,177.1428571428571429
CROSS,9,moderate,3,0.33333333333333333333,6.0,6.0,10.5,150.0000000000000000
CROSS,10,flat,38,0.21052631578947368421,5.0,10.5,36.89999999999996,152.0000000000000000
CROSS,10,moderate,5,0.20000000000000000000,10.0,5.0,10.8,228.0000000000000000
CROSS,11,flat,26,0.30769230769230769231,10.5,8.5,22.75,180.0000000000000000
CROSS,11,moderate,4,0E-20,5.0,9.5,10.949999999999998,75.0000000000000000
CROSS,12,flat,33,0.21212121212121212121,5.0,8.0,25.599999999999994,184.6153846153846154
CROSS,12,moderate,5,0.40000000000000000000,4.0,9.0,13.599999999999998,165.0000000000000000
CROSS,13,flat,37,0.27027027027027027027,7.0,9.0,18.799999999999983,206.8965517241379310
CROSS,13,moderate,2,0E-20,7.0,11.5,7.9,60.0000000000000000
CROSS,14,flat,25,0.28000000000000000000,8.0,10.0,27.199999999999974,169.5652173913043478
CROSS,14,moderate,2,0.50000000000000000000,3.5,11.0,6.6499999999999995,300.0000000000000000
CROSS,15,flat,39,0.23076923076923076923,7.0,8.0,25.50000000000002,187.5000000000000000
CROSS,15,moderate,5,0.40000000000000000000,8.0,9.0,35.39999999999999,180.0000000000000000
CROSS,16,flat,26,0.30769230769230769231,6.5,7.0,26.25,180.0000000000000000
CROSS,16,moderate,6,0.16666666666666666667,3.5,8.0,12.0,144.0000000000000000
CROSS,17,flat,42,0.28571428571428571429,7.0,10.0,22.949999999999996,149.1428571428571429
CROSS,17,moderate,2,0E-20,15.5,3.5,17.75,210.0000000000000000
CROSS,18,flat,43,0.20930232558139534884,10.0,8.0,37.699999999999996,210.8108108108108108
CROSS,18,moderate,3,0E-20,13.0,8.0,18.4,240.0000000000000000
CROSS,19,flat,32,0.15625000000000000000,9.5,9.0,46.45,196.1538461538461538
CROSS,19,moderate,3,0E-20,7.0,10.0,7.9,100.0000000000000000
CROSS,20,flat,37,0.29729729729729729730,6.0,10.0,22.799999999999983,145.1612903225806452
CROSS,20,moderate,3,0E-20,19.0,8.0,19.0,280.0000000000000000
CROSS,21,flat,31,0.32258064516129032258,6.0,10.0,22.0,176.8421052631578947
CROSS,21,moderate,4,0.25000000000000000000,7.0,5.5,12.549999999999999,135.0000000000000000
CROSS,22,flat,34,0.35294117647058823529,6.5,9.0,23.74999999999999,184.2857142857142857
CROSS,22,moderate,2,0.50000000000000000000,4.5,5.0,6.75,300.0000000000000000
CROSS,23,flat,37,0.18918918918918918919,9.0,8.0,32.199999999999996,216.0000000000000000
CROSS,23,moderate,4,0.25000000000000000000,14.5,29.5,30.799999999999997,120.0000000000000000
