session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-03-27,300.499320,40.359250,1.891491,0.324089
2025-03-28,86.995630,120.774540,1.912940,2.591091
2025-03-29,0.000000,0.000000,,
2025-03-30,165.316940,75.800360,2.009303,2.164518
2025-03-31,245.906820,170.742530,2.769263,2.696384
2025-04-01,80.923610,285.753490,0.851652,3.377090
2025-04-02,403.868010,178.522660,4.199895,2.584942
2025-04-03,341.909000,534.813760,1.336389,2.039881
2025-04-04,390.226870,655.347960,3.224367,2.240001
2025-04-05,0.000000,0.000000,,
2025-04-06,572.378730,572.617700,2.419100,4.061628
2025-04-07,190.371030,605.245200,2.786253,2.866612
2025-04-08,162.559850,329.876480,2.448826,2.638361
2025-04-09,671.712540,58.383980,2.327123,0.233086
2025-04-10,739.301550,166.888480,2.450321,3.557838
2025-04-11,284.647470,240.034940,2.429329,2.767314
2025-04-13,192.503790,120.766700,2.349322,1.828967
2025-04-14,146.320510,268.778530,1.379363,2.602195
2025-04-15,438.791210,112.613180,2.845074,2.639539
2025-04-16,464.983650,72.656370,2.696565,2.405796
2025-04-17,144.260850,388.993220,1.937711,3.142547
2025-04-20,235.596550,10.817500,1.947720,2.715209
2025-04-21,700.716500,61.705300,2.696921,2.180202
2025-04-22,136.672220,1278.778350,2.445832,3.640534
2025-04-23,581.115710,533.796450,2.466047,2.820755
2025-04-24,422.213800,232.331080,3.812447,2.974986
2025-04-25,253.147630,365.363080,1.643384,2.450010
2025-04-27,166.410120,338.228430,2.189100,2.199513
2025-04-28,450.755790,163.205830,2.151903,2.758446
2025-04-29,174.959330,142.315470,3.307507,3.149975
2025-04-30,269.182580,595.323180,1.948135,3.058468
2025-05-01,331.882740,246.215580,2.944603,2.665575
2025-05-02,108.761070,290.901810,2.500221,2.713211
2025-05-03,0.000000,0.000000,,
2025-05-04,250.826050,23.518260,2.462254,1.697302
2025-05-05,671.484030,30.252460,2.149438,1.580526
2025-05-06,508.688220,307.801660,2.647197,1.697987
2025-05-07,291.144020,226.727700,3.473513,3.827247
2025-05-08,153.444770,618.996940,0.769994,2.200683
2025-05-09,198.790900,73.650860,2.503131,1.223314
2025-05-11,45.764010,634.501120,0.270444,2.659202
2025-05-12,98.624670,456.287970,0.467038,2.718174
2025-05-13,165.020890,228.403560,1.963323,2.537370
2025-05-14,145.391660,483.180610,3.053681,1.978534
2025-05-15,727.139060,203.535330,2.111014,2.327637
2025-05-16,152.608800,483.925080,0.843125,2.628467
2025-05-17,0.000000,0.000000,,
2025-05-18,268.780150,216.878840,3.035626,1.923454
2025-05-19,232.249140,239.756710,2.488525,2.589467
2025-05-20,561.385740,57.737520,1.842775,2.106714
2025-05-21,319.437460,197.322430,2.997253,3.676988
2025-05-22,34.683720,368.266530,0.226776,2.351717
2025-05-23,332.802710,16.683950,1.990218,4.652589
2025-05-24,0.000000,0.000000,,
2025-05-25,125.320230,141.038040,2.146941,2.402216
2025-05-26,118.432300,159.655430,1.887705,2.513134
2025-05-27,265.259330,391.574270,8.567409,3.281683
