touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,98,7.7040816326530612,8.3469387755102041
2,98,8.4285714285714286,7.6836734693877551
3,98,7.9387755102040816,8.0918367346938776
4,98,6.8877551020408163,8.3877551020408163
5,98,7.6224489795918367,7.4897959183673469
6,98,6.9387755102040816,8.0204081632653061
7,97,6.3092783505154639,7.8247422680412371
8,97,7.0309278350515464,6.7938144329896907
9,97,6.2268041237113402,8.0103092783505155
10,97,6.5154639175257732,7.5773195876288660
11,96,5.8645833333333333,7.3020833333333333
12,96,7.2708333333333333,7.3750000000000000
13,96,6.9270833333333333,8.2187500000000000
14,95,7.5052631578947368,7.5052631578947368
15,94,6.7234042553191489,8.2127659574468085
16,94,6.3404255319148936,7.6914893617021277
17,94,7.2659574468085106,6.4680851063829787
18,93,7.3118279569892473,6.9247311827956989
19,92,7.0543478260869565,7.0000000000000000
20,91,6.5604395604395604,7.1208791208791209
21,90,6.8111111111111111,7.0444444444444444
22,90,6.7444444444444444,7.5777777777777778
23,89,7.3483146067415730,8.7528089887640449
24,87,8.3103448275862069,8.0459770114942529
25,86,8.8023255813953488,9.6046511627906977
26,82,8.3658536585365854,7.1585365853658537
27,77,7.5714285714285714,7.4805194805194805
28,76,8.0000000000000000,8.0921052631578947
29,75,8.5200000000000000,8.9866666666666667
30,74,11.0270270270270270,7.9864864864864865
31,72,9.3055555555555556,8.7361111111111111
32,72,9.2083333333333333,8.7777777777777778
33,71,7.8028169014084507,9.9014084507042254
34,68,7.7794117647058824,9.3970588235294118
35,67,7.2835820895522388,9.4179104477611940
36,65,8.4461538461538462,8.1692307692307692
37,65,10.4923076923076923,10.0461538461538462
38,65,8.5230769230769231,10.7538461538461538
39,61,9.4262295081967213,10.6557377049180328
40,56,8.2142857142857143,9.0178571428571429
41,54,8.2592592592592593,8.2962962962962963
42,53,9.8113207547169811,8.4716981132075472
43,52,8.8269230769230769,9.1538461538461538
44,49,9.3061224489795918,8.7551020408163265
45,47,8.8723404255319149,11.3404255319148936
46,44,7.8181818181818182,10.9772727272727273
47,43,8.9767441860465116,10.8139534883720930
48,42,6.9523809523809524,13.2380952380952381
49,41,6.8536585365853659,12.3414634146341463
50,38,7.9473684210526316,10.6315789473684211
51,37,7.8378378378378378,10.6756756756756757
52,36,8.0833333333333333,11.1944444444444444
53,36,6.8888888888888889,10.3888888888888889
54,35,10.0285714285714286,8.3714285714285714
55,34,13.2058823529411765,10.0000000000000000
56,32,12.9687500000000000,9.9375000000000000
57,32,10.3437500000000000,13.2187500000000000
58,31,6.1612903225806452,11.5806451612903226
59,30,7.6000000000000000,9.5666666666666667
60,29,7.6551724137931034,12.9655172413793103
61,26,7.2307692307692308,11.6153846153846154
62,25,9.3200000000000000,15.6400000000000000
63,25,8.5200000000000000,9.4000000000000000
64,25,8.1200000000000000,17.4800000000000000
65,25,8.3600000000000000,10.2000000000000000
66,24,9.2083333333333333,9.7916666666666667
67,24,9.3333333333333333,10.9166666666666667
68,21,12.0476190476190476,23.1428571428571429
69,21,7.0952380952380952,12.9047619047619048
70,20,10.3500000000000000,12.5500000000000000
71,20,10.7000000000000000,12.4000000000000000
72,19,8.9473684210526316,9.8421052631578947
73,19,15.8421052631578947,9.4736842105263158
74,19,15.2105263157894737,9.7894736842105263
75,19,10.4210526315789474,8.4210526315789474
76,19,10.4210526315789474,7.8947368421052632
77,19,11.3157894736842105,8.8421052631578947
78,17,7.5882352941176471,11.0588235294117647
79,16,8.8750000000000000,12.1250000000000000
80,16,7.0625000000000000,13.3750000000000000
81,15,7.0666666666666667,10.4666666666666667
82,14,5.4285714285714286,10.0714285714285714
83,14,4.7857142857142857,10.6428571428571429
84,14,8.9285714285714286,9.1428571428571429
85,14,9.0000000000000000,7.0714285714285714
86,13,8.1538461538461538,5.0000000000000000
87,13,8.3846153846153846,5.9230769230769231
88,12,10.3333333333333333,7.1666666666666667
89,12,6.1666666666666667,10.4166666666666667
90,11,5.5454545454545455,9.2727272727272727
91,11,9.2727272727272727,6.9090909090909091
92,10,6.6000000000000000,5.4000000000000000
93,10,3.2000000000000000,10.8000000000000000
94,10,4.2000000000000000,14.0000000000000000
95,8,3.5000000000000000,5.5000000000000000
96,8,5.0000000000000000,4.8750000000000000
97,8,5.0000000000000000,6.7500000000000000
98,8,3.2500000000000000,9.0000000000000000
99,7,4.7142857142857143,7.4285714285714286
100,6,4.3333333333333333,6.3333333333333333
101,6,3.8333333333333333,5.8333333333333333
102,6,9.8333333333333333,5.6666666666666667
103,6,6.1666666666666667,8.5000000000000000
104,6,4.3333333333333333,8.6666666666666667
105,6,5.3333333333333333,8.0000000000000000
106,6,5.5000000000000000,8.3333333333333333
107,5,4.4000000000000000,6.2000000000000000
108,5,4.6000000000000000,6.2000000000000000
109,5,4.8000000000000000,7.0000000000000000
110,5,5.4000000000000000,4.2000000000000000
111,5,12.2000000000000000,13.2000000000000000
112,5,12.2000000000000000,6.2000000000000000
113,5,4.6000000000000000,11.4000000000000000
114,4,9.7500000000000000,8.7500000000000000
115,3,5.3333333333333333,2.6666666666666667
116,3,6.3333333333333333,1.00000000000000000000
117,3,4.0000000000000000,3.6666666666666667
118,3,8.3333333333333333,3.6666666666666667
119,3,9.3333333333333333,4.3333333333333333
120,2,3.5000000000000000,4.0000000000000000
121,2,3.0000000000000000,3.5000000000000000
122,2,3.0000000000000000,3.5000000000000000
123,2,2.0000000000000000,5.5000000000000000
124,2,5.5000000000000000,5.0000000000000000
125,2,8.0000000000000000,11.5000000000000000
126,2,8.0000000000000000,9.5000000000000000
127,2,10.5000000000000000,2.5000000000000000
128,2,5.0000000000000000,6.5000000000000000
129,2,8.5000000000000000,2.0000000000000000
130,2,5.0000000000000000,5.5000000000000000
131,2,11.5000000000000000,1.00000000000000000000
132,2,7.5000000000000000,5.0000000000000000
133,2,8.0000000000000000,4.0000000000000000
134,2,2.0000000000000000,9.0000000000000000
135,2,3.5000000000000000,10.0000000000000000
136,1,0E-20,6.0000000000000000
137,1,1.00000000000000000000,7.0000000000000000
138,1,5.0000000000000000,2.0000000000000000
139,1,5.0000000000000000,3.0000000000000000
140,1,13.0000000000000000,13.0000000000000000
141,1,23.0000000000000000,10.0000000000000000
142,1,18.0000000000000000,9.0000000000000000
143,1,7.0000000000000000,11.0000000000000000
144,1,8.0000000000000000,8.0000000000000000
145,1,8.0000000000000000,4.0000000000000000
146,1,9.0000000000000000,3.0000000000000000
147,1,12.0000000000000000,0E-20
148,1,5.0000000000000000,6.0000000000000000
149,1,9.0000000000000000,4.0000000000000000
150,1,2.0000000000000000,7.0000000000000000
151,1,3.0000000000000000,6.0000000000000000
152,1,4.0000000000000000,5.0000000000000000
153,1,9.0000000000000000,7.0000000000000000
154,1,12.0000000000000000,5.0000000000000000
155,1,13.0000000000000000,4.0000000000000000
156,1,13.0000000000000000,4.0000000000000000
157,1,10.0000000000000000,7.0000000000000000
158,1,3.0000000000000000,3.0000000000000000
159,1,2.0000000000000000,3.0000000000000000
160,1,8.0000000000000000,1.00000000000000000000
161,1,1.00000000000000000000,10.0000000000000000
162,1,1.00000000000000000000,5.0000000000000000
163,1,5.0000000000000000,0E-20
164,1,0E-20,5.0000000000000000
165,1,0E-20,6.0000000000000000
166,1,1.00000000000000000000,8.0000000000000000
167,1,0E-20,5.0000000000000000
168,1,7.0000000000000000,6.0000000000000000
169,1,6.0000000000000000,3.0000000000000000
170,1,4.0000000000000000,4.0000000000000000
171,1,5.0000000000000000,4.0000000000000000
172,1,3.0000000000000000,6.0000000000000000
173,1,2.0000000000000000,6.0000000000000000
174,1,2.0000000000000000,6.0000000000000000
175,1,5.0000000000000000,4.0000000000000000
176,1,6.0000000000000000,5.0000000000000000
177,1,1.00000000000000000000,9.0000000000000000
178,1,4.0000000000000000,6.0000000000000000
179,1,3.0000000000000000,5.0000000000000000
180,1,9.0000000000000000,3.0000000000000000
181,1,8.0000000000000000,0E-20
182,1,7.0000000000000000,5.0000000000000000
183,1,3.0000000000000000,14.0000000000000000
184,1,12.0000000000000000,2.0000000000000000
185,1,1.00000000000000000000,11.0000000000000000
