event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,7.6885617214043035,6.0,10.0,16.0,12.8040770101925255,10.0,60.0000000000000000,883,1.0
CROSS,FROM_ABOVE,180,12.2785956964892412,9.0,16.5,27.0,14.9898074745186863,12.0,120.0851063829787234,883,3.0
CROSS,FROM_ABOVE,300,15.3284258210645527,12.0,20.0,32.0,17.1041902604756512,14.0,180.8882907133243607,883,5.0
CROSS,FROM_ABOVE,900,26.8980747451868630,20.0,35.0,54.0,24.5447338618346546,19.0,508.8833746898263027,883,15.0
CROSS,FROM_ABOVE,1800,37.5254813137032843,27.0,49.0,76.0,32.4156285390713477,25.0,939.3975903614457831,883,30.0
CROSS,FROM_BELOW,60,6.8200455580865604,5.0,9.0,14.0,12.8485193621867882,11.0,60.0000000000000000,878,1.0
CROSS,FROM_BELOW,180,11.0091116173120729,8.0,15.0,23.0,15.6879271070615034,13.0,125.2401746724890830,878,3.0
CROSS,FROM_BELOW,300,13.7927107061503417,11.0,19.0,29.0,18.2232346241457859,14.0,186.4909847434119279,878,5.0
CROSS,FROM_BELOW,900,23.0011389521640091,17.0,31.0,49.0,28.0284738041002278,21.0,480.2278481012658228,878,15.0
CROSS,FROM_BELOW,1800,31.2186788154897494,23.0,41.0,66.0,37.7995444191343964,28.0,881.4932680538555692,878,30.0
PIERCE,FROM_ABOVE,60,8.6598639455782313,7.0,11.0,16.0,6.8095238095238095,6.0,60.0000000000000000,441,1.0
PIERCE,FROM_ABOVE,180,12.7414965986394558,10.0,16.0,24.0,10.3424036281179138,8.0,130.5109489051094891,441,3.0
PIERCE,FROM_ABOVE,300,15.7369614512471655,12.0,20.0,30.0,12.2290249433106576,10.0,204.6496815286624204,441,5.0
PIERCE,FROM_ABOVE,900,27.7641723356009070,21.0,34.0,60.0,19.2562358276643991,15.0,572.7123287671232877,441,15.0
PIERCE,FROM_ABOVE,1800,38.3832199546485261,28.0,50.0,81.0,25.5532879818594104,20.0,1030.4485488126649077,441,30.0
PIERCE,FROM_BELOW,60,7.9080717488789238,7.0,10.0,14.0,7.4461883408071749,6.0,60.0000000000000000,446,1.0
PIERCE,FROM_BELOW,180,11.5470852017937220,10.0,14.75,20.0,11.0582959641255605,9.0,132.0848056537102473,446,3.0
PIERCE,FROM_BELOW,300,14.2197309417040359,12.0,18.0,27.0,14.0829596412556054,11.0,197.1428571428571429,446,5.0
PIERCE,FROM_BELOW,900,22.2511210762331839,17.0,30.0,46.0,23.5022421524663677,18.0,506.0869565217391304,446,15.0
PIERCE,FROM_BELOW,1800,30.1547085201793722,22.0,41.0,68.0,33.8183856502242152,24.0,896.0406091370558376,446,30.0
TOUCH,FROM_ABOVE,60,7.3723577235772358,6.0,10.0,14.0,7.2699186991869919,6.0,60.0000000000000000,615,1.0
TOUCH,FROM_ABOVE,180,10.9008130081300813,9.0,14.0,22.0,9.8699186991869919,8.0,135.5555555555555556,615,3.0
TOUCH,FROM_ABOVE,300,13.7317073170731707,11.0,18.0,27.0,12.0130081300813008,10.0,205.1063829787234043,615,5.0
TOUCH,FROM_ABOVE,900,23.4878048780487805,20.0,31.0,44.0,19.1105691056910569,15.0,568.2281059063136456,615,15.0
TOUCH,FROM_ABOVE,1800,34.9723577235772358,26.0,42.0,69.60000000000002,26.0000000000000000,19.0,1024.9903288201160542,615,30.0
TOUCH,FROM_BELOW,60,7.5080058224163028,6.0,10.0,15.0,7.7176128093158661,6.0,60.0000000000000000,687,1.0
TOUCH,FROM_BELOW,180,10.5967976710334789,8.0,14.0,21.0,11.7176128093158661,9.0,128.3823529411764706,687,3.0
TOUCH,FROM_BELOW,300,13.0000000000000000,10.0,17.0,26.0,14.5414847161572052,11.0,195.1304347826086957,687,5.0
TOUCH,FROM_BELOW,900,20.6244541484716157,17.0,27.5,44.0,24.3813682678311499,19.0,516.1325966850828729,687,15.0
TOUCH,FROM_BELOW,1800,28.3275109170305677,22.0,40.0,59.0,33.9068413391557496,26.0,928.1025641025641026,687,30.0
