event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,48,0.33333333333333333333,9.0,12.0,32.24999999999999,165.7142857142857143
CROSS,1,moderate,10,0.30000000000000000000,10.5,14.0,25.65,206.6666666666666667
CROSS,2,flat,47,0.25531914893617021277,9.0,13.0,28.799999999999983,190.7692307692307692
CROSS,2,moderate,4,0E-20,13.0,18.0,24.949999999999996,210.0000000000000000
CROSS,3,flat,38,0.26315789473684210526,11.0,12.0,29.09999999999998,196.5517241379310345
CROSS,3,moderate,8,0.12500000000000000000,13.5,11.0,26.65,240.0000000000000000
CROSS,4,flat,37,0.37837837837837837838,10.0,15.0,21.0,192.4137931034482759
CROSS,4,moderate,5,0.20000000000000000000,6.0,12.0,10.2,156.0000000000000000
CROSS,5,flat,45,0.15555555555555555556,11.0,13.0,31.39999999999999,189.4736842105263158
CROSS,5,moderate,7,0.14285714285714285714,11.0,17.0,36.5,145.7142857142857143
CROSS,6,flat,37,0.32432432432432432432,9.0,14.0,28.199999999999974,177.7777777777777778
CROSS,6,moderate,6,0.16666666666666666667,5.5,16.5,21.5,168.0000000000000000
CROSS,7,flat,33,0.36363636363636363636,11.0,14.0,35.599999999999994,166.1538461538461538
CROSS,7,moderate,7,0.28571428571428571429,6.0,14.0,51.499999999999986,195.0000000000000000
CROSS,8,flat,41,0.39024390243902439024,8.0,16.0,31.0,171.1764705882352941
CROSS,8,moderate,6,0.16666666666666666667,10.5,10.5,16.75,180.0000000000000000
CROSS,9,flat,26,0.38461538461538461538,11.5,14.5,23.75,211.7647058823529412
CROSS,9,moderate,7,0.28571428571428571429,10.0,17.0,19.899999999999995,180.0000000000000000
CROSS,10,flat,32,0.46875000000000000000,8.0,13.5,25.349999999999998,175.0000000000000000
CROSS,10,moderate,3,0E-20,21.0,9.0,21.9,200.0000000000000000
CROSS,11,flat,32,0.31250000000000000000,11.5,13.5,46.14999999999999,166.1538461538461538
CROSS,11,moderate,5,0.20000000000000000000,16.0,13.0,19.4,270.0000000000000000
CROSS,12,flat,37,0.16216216216216216216,13.0,12.0,30.199999999999996,188.5714285714285714
CROSS,12,moderate,1,0E-20,8.0,10.0,8.0,240.0000000000000000
CROSS,13,flat,43,0.25581395348837209302,10.0,11.0,37.09999999999999,183.3333333333333333
CROSS,13,moderate,8,0.25000000000000000000,15.0,14.5,38.55,228.0000000000000000
CROSS,14,flat,44,0.22727272727272727273,14.5,13.0,37.95000000000001,190.7692307692307692
CROSS,14,moderate,5,0E-20,15.0,13.0,26.2,132.0000000000000000
CROSS,15,flat,36,0.25000000000000000000,10.0,14.0,37.5,177.9310344827586207
CROSS,15,moderate,7,0.14285714285714285714,21.0,13.0,29.299999999999994,230.0000000000000000
CROSS,16,flat,39,0.23076923076923076923,10.0,13.0,35.90000000000001,166.2857142857142857
CROSS,16,moderate,6,0.16666666666666666667,11.5,13.0,28.0,170.0000000000000000
CROSS,17,flat,39,0.25641025641025641026,10.0,20.0,29.60000000000001,174.1935483870967742
CROSS,17,moderate,5,0E-20,11.0,15.0,15.6,195.0000000000000000
CROSS,18,flat,33,0.30303030303030303030,12.0,14.0,40.8,217.7777777777777778
CROSS,18,moderate,3,0.33333333333333333333,19.0,17.0,19.0,140.0000000000000000
CROSS,19,flat,34,0.29411764705882352941,11.5,13.5,43.0,175.7142857142857143
CROSS,19,moderate,5,0.20000000000000000000,10.0,19.0,21.0,150.0000000000000000
CROSS,20,flat,37,0.24324324324324324324,8.0,13.0,35.39999999999993,180.0000000000000000
CROSS,20,moderate,3,0.66666666666666666667,7.0,13.0,12.399999999999999,200.0000000000000000
CROSS,21,flat,32,0.31250000000000000000,8.5,10.0,31.799999999999997,185.0000000000000000
CROSS,21,moderate,5,0.20000000000000000000,11.0,9.0,21.0,264.0000000000000000
CROSS,22,flat,32,0.25000000000000000000,10.5,17.5,39.45,161.5384615384615385
CROSS,22,moderate,4,0.25000000000000000000,7.0,18.0,62.39999999999998,180.0000000000000000
CROSS,23,flat,29,0.17241379310344827586,14.0,15.0,37.99999999999998,193.8461538461538462
CROSS,23,moderate,2,0.50000000000000000000,3.0,23.5,3.0,90.0000000000000000
CROSS,24,flat,30,0.33333333333333333333,13.5,17.0,39.749999999999986,191.5384615384615385
CROSS,24,moderate,4,0E-20,11.0,14.0,26.599999999999994,135.0000000000000000
CROSS,25,flat,33,0.30303030303030303030,12.0,15.0,28.799999999999997,183.8709677419354839
CROSS,25,moderate,4,0E-20,21.5,17.0,50.24999999999999,180.0000000000000000
CROSS,26,flat,33,0.30303030303030303030,18.0,17.0,49.4,191.6129032258064516
CROSS,26,moderate,2,0E-20,23.5,11.5,27.549999999999997,180.0000000000000000
CROSS,27,flat,23,0.43478260869565217391,14.0,21.0,33.8,176.8421052631578947
CROSS,27,moderate,2,0.50000000000000000000,24.5,22.5,46.55,60.0000000000000000
CROSS,28,flat,29,0.20689655172413793103,15.0,17.0,31.199999999999996,175.2000000000000000
CROSS,28,moderate,4,0.50000000000000000000,13.0,23.0,17.25,220.0000000000000000
CROSS,29,flat,27,0.29629629629629629630,15.0,15.0,34.199999999999996,220.9090909090909091
CROSS,29,moderate,1,0E-20,10.0,14.0,10.0,120.0000000000000000
CROSS,30,flat,31,0.38709677419354838710,12.0,15.0,34.0,177.6923076923076923
CROSS,30,moderate,2,0E-20,14.0,13.5,16.7,120.0000000000000000
CROSS,31,flat,37,0.32432432432432432432,13.0,13.0,32.0,220.0000000000000000
CROSS,31,moderate,1,0E-20,4.0,15.0,4.0,
CROSS,32,flat,27,0.22222222222222222222,11.0,15.0,32.4,160.0000000000000000
CROSS,32,moderate,2,0.50000000000000000000,5.5,13.0,6.85,300.0000000000000000
CROSS,33,flat,21,0.23809523809523809524,16.0,19.0,38.0,156.0000000000000000
CROSS,34,flat,27,0.40740740740740740741,11.0,14.0,46.3,188.1818181818181818
CROSS,34,moderate,2,0E-20,18.5,5.0,27.05,300.0000000000000000
CROSS,35,flat,34,0.26470588235294117647,8.5,18.0,36.44999999999999,148.8888888888888889
CROSS,35,moderate,3,0.66666666666666666667,2.0,12.0,20.0,300.0000000000000000
CROSS,36,flat,22,0.22727272727272727273,14.0,19.0,51.09999999999999,173.3333333333333333
CROSS,36,moderate,2,0.50000000000000000000,14.0,11.5,26.599999999999998,300.0000000000000000
CROSS,37,flat,21,0.42857142857142857143,13.0,13.0,39.0,189.0000000000000000
CROSS,38,flat,25,0.28000000000000000000,18.0,15.0,51.99999999999997,192.0000000000000000
CROSS,38,moderate,1,1.00000000000000000000,11.0,23.0,11.0,60.0000000000000000
CROSS,39,flat,18,0.22222222222222222222,11.5,19.5,25.499999999999986,175.0000000000000000
CROSS,39,moderate,1,0E-20,4.0,58.0,4.0,60.0000000000000000
CROSS,40,flat,25,0.16000000000000000000,13.0,19.0,77.79999999999993,193.6363636363636364
CROSS,41,flat,22,0.31818181818181818182,13.5,14.0,36.75,157.8947368421052632
CROSS,41,moderate,1,0E-20,1.0,22.0,1.0,
CROSS,42,flat,14,0.28571428571428571429,14.5,13.0,40.15,169.0909090909090909
CROSS,43,flat,15,0.26666666666666666667,15.0,18.0,60.39999999999998,212.7272727272727273
CROSS,44,flat,15,0.26666666666666666667,10.0,8.0,43.29999999999999,188.5714285714285714
CROSS,45,flat,19,0.26315789473684210526,10.0,18.0,29.099999999999998,201.1764705882352941
CROSS,46,flat,8,0.37500000000000000000,12.5,16.0,32.04999999999999,165.0000000000000000
CROSS,47,flat,14,0.21428571428571428571,10.5,13.0,34.15,166.1538461538461538
CROSS,48,flat,14,0.21428571428571428571,8.0,12.5,26.849999999999994,130.0000000000000000
CROSS,48,moderate,1,0E-20,40.0,12.0,40.0,300.0000000000000000
CROSS,49,flat,6,0E-20,29.0,14.0,55.5,216.0000000000000000
CROSS,50,flat,15,0.46666666666666666667,14.0,19.0,27.599999999999998,163.6363636363636364
CROSS,51,flat,9,0.22222222222222222222,12.0,14.0,31.2,205.7142857142857143
CROSS,52,flat,16,0.43750000000000000000,11.0,19.0,62.75,230.0000000000000000
CROSS,53,flat,13,0.30769230769230769231,18.0,12.0,49.19999999999996,170.0000000000000000
CROSS,54,flat,7,0E-20,42.0,18.0,74.6,231.4285714285714286
CROSS,55,flat,8,0.12500000000000000000,11.0,14.5,36.64999999999999,120.0000000000000000
CROSS,56,flat,9,0.22222222222222222222,15.0,11.0,33.199999999999996,186.6666666666666667
CROSS,57,flat,11,0.18181818181818181818,9.0,11.0,64.5,180.0000000000000000
CROSS,58,flat,7,0.14285714285714285714,8.0,16.0,18.299999999999994,230.0000000000000000
CROSS,59,flat,8,0.37500000000000000000,5.5,24.5,31.649999999999988,160.0000000000000000
CROSS,60,flat,6,0.16666666666666666667,6.0,16.5,37.0,192.0000000000000000
CROSS,61,flat,6,0.33333333333333333333,12.0,15.5,26.0,260.0000000000000000
CROSS,62,flat,4,0E-20,25.0,10.5,28.85,210.0000000000000000
CROSS,63,flat,6,0.50000000000000000000,12.0,19.0,37.75,225.0000000000000000
CROSS,64,flat,6,0.16666666666666666667,17.5,12.5,30.25,276.0000000000000000
CROSS,65,flat,4,0.50000000000000000000,3.0,25.0,19.999999999999993,150.0000000000000000
CROSS,66,flat,3,0E-20,4.0,11.0,9.399999999999999,120.0000000000000000
CROSS,67,flat,1,0E-20,12.0,15.0,12.0,60.0000000000000000
CROSS,68,flat,2,0.50000000000000000000,6.5,10.0,6.95,60.0000000000000000
CROSS,69,flat,1,0E-20,13.0,14.0,13.0,180.0000000000000000
CROSS,70,flat,1,0E-20,14.0,15.0,14.0,60.0000000000000000
CROSS,71,flat,1,0E-20,6.0,6.0,6.0,180.0000000000000000
CROSS,72,flat,3,0E-20,8.0,7.0,25.099999999999998,200.0000000000000000
CROSS,73,flat,1,0E-20,22.0,7.0,22.0,120.0000000000000000
CROSS,74,flat,2,0E-20,12.0,17.5,19.2,240.0000000000000000
CROSS,75,flat,1,1.00000000000000000000,2.0,11.0,2.0,
CROSS,76,flat,1,0E-20,5.0,11.0,5.0,
CROSS,77,flat,2,0.50000000000000000000,9.5,7.0,16.25,180.0000000000000000
CROSS,78,flat,1,1.00000000000000000000,2.0,6.0,2.0,
CROSS,81,flat,2,0E-20,5.0,10.5,8.6,60.0000000000000000
CROSS,84,flat,2,0E-20,12.5,20.0,21.05,150.0000000000000000
