event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,32,0.28125000000000000000,31.5,41.5,95.45,173.3333333333333333
CROSS,1,moderate,59,0.28813559322033898305,27.0,47.0,121.69999999999996,176.0000000000000000
CROSS,1,steep,10,0.20000000000000000000,81.5,62.0,369.9499999999997,220.0000000000000000
CROSS,2,flat,33,0.42424242424242424242,21.0,42.0,108.99999999999999,199.2000000000000000
CROSS,2,moderate,60,0.23333333333333333333,27.5,37.5,120.64999999999996,182.4489795918367347
CROSS,2,steep,8,0.37500000000000000000,45.0,42.0,100.25,197.1428571428571429
CROSS,3,flat,31,0.09677419354838709677,31.0,35.0,79.0,200.7692307692307692
CROSS,3,moderate,55,0.34545454545454545455,23.0,32.0,104.19999999999993,210.0000000000000000
CROSS,3,steep,6,0.50000000000000000000,43.5,48.5,69.0,192.0000000000000000
CROSS,4,flat,25,0.36000000000000000000,29.0,33.0,80.79999999999998,183.0000000000000000
CROSS,4,moderate,43,0.34883720930232558140,29.0,36.0,92.9,183.6363636363636364
CROSS,4,steep,4,0.25000000000000000000,55.5,62.5,238.94999999999993,225.0000000000000000
CROSS,5,flat,30,0.20000000000000000000,27.0,31.0,75.39999999999998,168.0000000000000000
CROSS,5,moderate,42,0.21428571428571428571,28.0,35.0,81.44999999999996,199.4594594594594595
CROSS,5,steep,4,0.25000000000000000000,46.5,62.0,50.4,135.0000000000000000
CROSS,6,flat,25,0.32000000000000000000,22.0,32.0,73.79999999999998,222.0000000000000000
CROSS,6,moderate,35,0.25714285714285714286,20.0,30.0,87.1999999999999,180.0000000000000000
CROSS,6,steep,4,0.50000000000000000000,21.0,43.0,41.14999999999999,300.0000000000000000
CROSS,7,flat,21,0.38095238095238095238,21.0,29.0,80.0,186.6666666666666667
CROSS,7,moderate,38,0.23684210526315789474,26.5,26.5,54.19999999999996,198.1818181818181818
CROSS,7,steep,5,0.20000000000000000000,43.0,35.0,63.6,204.0000000000000000
CROSS,8,flat,20,0.25000000000000000000,22.0,31.5,119.5,156.6666666666666667
CROSS,8,moderate,35,0.25714285714285714286,18.0,31.0,66.3,177.7777777777777778
CROSS,8,steep,3,0E-20,31.0,46.0,102.1,180.0000000000000000
CROSS,9,flat,28,0.28571428571428571429,15.5,32.0,98.29999999999988,163.6363636363636364
CROSS,9,moderate,30,0.30000000000000000000,22.0,20.0,82.04999999999986,177.7777777777777778
CROSS,9,steep,2,0E-20,50.0,85.5,82.39999999999999,90.0000000000000000
CROSS,10,flat,23,0.47826086956521739130,23.0,32.0,77.8,176.8421052631578947
CROSS,10,moderate,31,0.22580645161290322581,22.0,24.0,65.0,220.0000000000000000
CROSS,10,steep,1,0E-20,123.0,48.0,123.0,300.0000000000000000
CROSS,11,flat,22,0.22727272727272727273,26.5,36.0,138.35,180.0000000000000000
CROSS,11,moderate,25,0.36000000000000000000,11.0,23.0,51.599999999999966,185.2173913043478261
CROSS,11,steep,1,1.00000000000000000000,10.0,133.0,10.0,60.0000000000000000
CROSS,12,flat,21,0.23809523809523809524,20.0,21.0,59.0,187.0588235294117647
CROSS,12,moderate,23,0.17391304347826086957,11.0,25.0,46.59999999999998,120.0000000000000000
CROSS,12,steep,1,1.00000000000000000000,42.0,48.0,42.0,300.0000000000000000
CROSS,13,flat,16,0.25000000000000000000,8.0,19.0,48.5,189.2307692307692308
CROSS,13,moderate,22,0.18181818181818181818,12.0,18.0,75.69999999999996,183.3333333333333333
CROSS,13,steep,2,0E-20,83.0,29.5,103.69999999999999,180.0000000000000000
CROSS,14,flat,16,0.25000000000000000000,23.5,19.0,72.25,192.8571428571428571
CROSS,14,moderate,16,0.37500000000000000000,14.0,26.5,62.0,167.1428571428571429
CROSS,14,steep,2,0E-20,39.5,66.0,66.05,150.0000000000000000
CROSS,15,flat,13,0.30769230769230769231,9.0,24.0,33.79999999999997,113.3333333333333333
CROSS,15,moderate,19,0.31578947368421052632,11.0,26.0,56.3,160.0000000000000000
CROSS,15,steep,1,0E-20,24.0,46.0,24.0,
CROSS,16,flat,9,0.33333333333333333333,7.0,35.0,223.59999999999994,100.0000000000000000
CROSS,16,moderate,16,0.25000000000000000000,16.0,20.0,62.5,185.0000000000000000
CROSS,16,steep,2,0.50000000000000000000,18.5,80.0,18.95,90.0000000000000000
CROSS,17,flat,12,0.33333333333333333333,16.0,23.0,49.25,186.6666666666666667
CROSS,17,moderate,8,0.37500000000000000000,15.5,23.5,44.44999999999999,216.0000000000000000
CROSS,18,flat,5,0.40000000000000000000,13.0,14.0,53.99999999999999,150.0000000000000000
CROSS,18,moderate,13,0.23076923076923076923,15.0,21.0,32.0,162.0000000000000000
CROSS,18,steep,2,0.50000000000000000000,17.5,56.5,29.65,240.0000000000000000
CROSS,19,flat,10,0E-20,19.0,7.0,36.65,180.0000000000000000
CROSS,19,moderate,6,0.33333333333333333333,10.0,16.5,28.5,120.0000000000000000
CROSS,20,flat,8,0.12500000000000000000,15.5,15.5,41.19999999999999,170.0000000000000000
CROSS,20,moderate,5,0.60000000000000000000,8.0,21.0,72.99999999999999,105.0000000000000000
CROSS,20,steep,2,0.50000000000000000000,37.0,35.5,37.0,210.0000000000000000
CROSS,21,flat,8,0.37500000000000000000,28.0,18.5,82.94999999999999,231.4285714285714286
CROSS,21,moderate,6,0.16666666666666666667,7.5,15.0,20.75,130.0000000000000000
CROSS,21,steep,1,1.00000000000000000000,4.0,59.0,4.0,240.0000000000000000
CROSS,22,flat,10,0.40000000000000000000,16.0,20.0,51.64999999999998,217.5000000000000000
CROSS,22,moderate,9,0.11111111111111111111,8.0,14.0,46.599999999999994,186.6666666666666667
CROSS,22,steep,2,0E-20,46.0,44.0,60.4,270.0000000000000000
CROSS,23,flat,4,0.25000000000000000000,36.5,17.0,38.0,165.0000000000000000
CROSS,23,moderate,3,0E-20,8.0,10.0,35.9,140.0000000000000000
CROSS,23,steep,1,0E-20,49.0,11.0,49.0,240.0000000000000000
CROSS,24,flat,2,0E-20,36.5,19.5,44.15,270.0000000000000000
CROSS,24,moderate,7,0.28571428571428571429,11.0,11.0,46.29999999999997,180.0000000000000000
CROSS,24,steep,1,0E-20,35.0,27.0,35.0,240.0000000000000000
CROSS,25,flat,6,0E-20,5.0,11.5,13.25,120.0000000000000000
CROSS,25,moderate,6,0.33333333333333333333,7.5,10.5,52.5,180.0000000000000000
CROSS,25,steep,1,1.00000000000000000000,20.0,60.0,20.0,60.0000000000000000
CROSS,26,flat,3,0E-20,11.0,13.0,109.1,240.0000000000000000
CROSS,26,moderate,3,0E-20,21.0,3.0,22.8,140.0000000000000000
CROSS,27,flat,4,0E-20,13.0,10.5,16.4,165.0000000000000000
CROSS,27,moderate,2,0.50000000000000000000,20.5,18.5,25.45,210.0000000000000000
CROSS,28,flat,6,0.16666666666666666667,9.5,14.0,14.0,150.0000000000000000
CROSS,28,moderate,3,0.33333333333333333333,4.0,16.0,8.5,120.0000000000000000
CROSS,29,flat,4,0.25000000000000000000,10.5,12.0,43.749999999999986,120.0000000000000000
CROSS,29,moderate,3,0.33333333333333333333,13.0,14.0,25.599999999999998,80.0000000000000000
CROSS,30,flat,1,1.00000000000000000000,12.0,12.0,12.0,120.0000000000000000
CROSS,30,moderate,2,0.50000000000000000000,14.0,9.5,14.0,210.0000000000000000
CROSS,31,flat,2,0E-20,10.0,14.5,10.0,300.0000000000000000
CROSS,31,moderate,2,0.50000000000000000000,12.0,18.0,21.0,120.0000000000000000
CROSS,32,moderate,1,1.00000000000000000000,1.0,23.0,1.0,60.0000000000000000
CROSS,33,moderate,2,0E-20,6.5,12.0,6.95,60.0000000000000000
CROSS,34,flat,2,0E-20,9.5,8.0,18.05,300.0000000000000000
CROSS,34,moderate,1,0E-20,16.0,35.0,16.0,120.0000000000000000
CROSS,35,moderate,3,0.33333333333333333333,11.0,14.0,31.7,90.0000000000000000
CROSS,36,moderate,1,1.00000000000000000000,0.0,31.0,0.0,
CROSS,37,moderate,1,0E-20,12.0,9.0,12.0,300.0000000000000000
CROSS,38,flat,1,1.00000000000000000000,3.0,8.0,3.0,
CROSS,38,moderate,3,0E-20,5.0,22.0,14.0,150.0000000000000000
CROSS,39,flat,1,0E-20,5.0,8.0,5.0,
CROSS,43,flat,1,0E-20,4.0,9.0,4.0,300.0000000000000000
PIERCE,1,flat,8,0E-20,31.0,36.5,76.74999999999997,165.0000000000000000
PIERCE,1,moderate,12,0E-20,45.5,25.5,94.94999999999997,200.0000000000000000
PIERCE,2,flat,7,0E-20,39.0,31.0,103.19999999999997,180.0000000000000000
PIERCE,2,moderate,9,0E-20,63.0,27.0,118.59999999999998,240.0000000000000000
PIERCE,2,steep,1,0E-20,134.0,295.0,134.0,
PIERCE,3,flat,5,0E-20,19.0,30.0,40.199999999999996,180.0000000000000000
PIERCE,3,moderate,12,0E-20,33.5,27.5,89.39999999999998,152.7272727272727273
PIERCE,3,steep,1,0E-20,2.0,33.0,2.0,60.0000000000000000
PIERCE,4,flat,8,0E-20,28.0,30.5,51.49999999999999,240.0000000000000000
PIERCE,4,moderate,11,0E-20,36.0,16.0,44.0,226.6666666666666667
PIERCE,4,steep,2,0E-20,4.5,48.5,5.85,60.0000000000000000
PIERCE,5,flat,3,0E-20,6.0,27.0,28.499999999999996,240.0000000000000000
PIERCE,5,moderate,10,0E-20,23.5,32.0,62.69999999999999,171.4285714285714286
PIERCE,5,steep,2,0E-20,10.5,31.5,12.75,300.0000000000000000
PIERCE,6,flat,5,0E-20,23.0,18.0,37.0,240.0000000000000000
PIERCE,6,moderate,10,0E-20,18.0,11.0,54.149999999999984,240.0000000000000000
PIERCE,6,steep,1,0E-20,14.0,55.0,14.0,
PIERCE,7,flat,7,0E-20,32.0,11.0,60.89999999999999,216.0000000000000000
PIERCE,7,moderate,8,0E-20,17.0,14.5,35.849999999999994,205.7142857142857143
PIERCE,7,steep,1,0E-20,30.0,6.0,30.0,240.0000000000000000
PIERCE,8,flat,6,0E-20,32.0,11.0,52.75,220.0000000000000000
PIERCE,8,moderate,7,0E-20,19.0,22.0,44.099999999999994,220.0000000000000000
PIERCE,8,steep,2,0E-20,56.5,46.5,85.75,120.0000000000000000
PIERCE,9,flat,3,0E-20,33.0,48.0,160.79999999999998,300.0000000000000000
PIERCE,9,moderate,7,0E-20,41.0,29.0,92.19999999999996,276.0000000000000000
PIERCE,10,flat,7,0E-20,24.0,10.0,120.8999999999999,250.0000000000000000
PIERCE,10,moderate,5,0E-20,17.0,14.0,34.2,252.0000000000000000
PIERCE,10,steep,1,0E-20,50.0,68.0,50.0,240.0000000000000000
PIERCE,11,flat,8,0E-20,23.5,11.5,38.55,180.0000000000000000
PIERCE,11,moderate,6,0E-20,25.0,20.0,47.5,190.0000000000000000
PIERCE,12,flat,6,0E-20,28.5,21.5,44.5,240.0000000000000000
PIERCE,12,moderate,7,0E-20,17.0,26.0,34.7,180.0000000000000000
PIERCE,13,flat,10,0E-20,17.5,12.5,73.59999999999997,291.4285714285714286
PIERCE,13,moderate,5,0E-20,9.0,14.0,16.4,120.0000000000000000
PIERCE,14,flat,4,0E-20,10.0,23.0,24.449999999999996,195.0000000000000000
PIERCE,14,moderate,7,0E-20,15.0,18.0,23.4,240.0000000000000000
PIERCE,15,flat,5,0E-20,10.0,20.0,14.799999999999999,180.0000000000000000
PIERCE,15,moderate,4,0E-20,10.5,18.5,37.64999999999999,90.0000000000000000
PIERCE,16,flat,7,0E-20,14.0,9.0,27.199999999999996,216.0000000000000000
PIERCE,16,moderate,3,0E-20,37.0,8.0,59.5,120.0000000000000000
PIERCE,17,flat,7,0E-20,8.0,7.0,24.599999999999987,144.0000000000000000
PIERCE,17,moderate,6,0E-20,20.0,18.5,38.0,192.0000000000000000
PIERCE,17,steep,2,0E-20,35.5,47.5,44.95,120.0000000000000000
PIERCE,18,flat,9,0E-20,13.0,10.0,45.0,217.5000000000000000
PIERCE,18,moderate,2,0E-20,4.0,28.5,5.8,120.0000000000000000
PIERCE,19,flat,4,0E-20,4.5,18.0,19.449999999999996,300.0000000000000000
PIERCE,19,moderate,4,0E-20,6.5,14.0,8.85,300.0000000000000000
PIERCE,19,steep,1,0E-20,51.0,32.0,51.0,300.0000000000000000
PIERCE,20,flat,5,0E-20,8.0,17.0,28.199999999999996,280.0000000000000000
PIERCE,20,moderate,2,0E-20,19.0,8.5,33.4,300.0000000000000000
