event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,15.8696343402225755,11.0,21.0,33.0,25.6995230524642289,21.0,60.0000000000000000,629,1.0
CROSS,FROM_ABOVE,180,25.1128775834658188,16.0,32.0,57.0,31.0890302066772655,25.0,120.3829787234042553,629,3.0
CROSS,FROM_ABOVE,300,32.0174880763116057,20.0,41.0,69.0,35.6406995230524642,29.0,174.5783132530120482,629,5.0
CROSS,FROM_ABOVE,900,52.3497615262321145,30.0,64.0,125.20000000000005,52.2607313195548490,40.0,426.6055045871559633,629,15.0
CROSS,FROM_ABOVE,1800,74.3640699523052464,40.0,93.0,189.20000000000005,68.4069952305246423,52.0,850.9380530973451327,629,30.0
CROSS,FROM_BELOW,60,14.5448916408668731,10.0,19.0,32.0,25.2569659442724458,21.0,60.0000000000000000,646,1.0
CROSS,FROM_BELOW,180,22.4442724458204334,15.0,30.0,51.5,29.9705882352941176,24.0,121.8823529411764706,646,3.0
CROSS,FROM_BELOW,300,28.2708978328173375,20.0,37.75,63.0,34.6547987616099071,26.0,186.7513611615245009,646,5.0
CROSS,FROM_BELOW,900,46.2383900928792570,32.0,62.0,106.5,52.9009287925696594,36.5,488.2935153583617747,646,15.0
CROSS,FROM_BELOW,1800,62.2755417956656347,46.0,82.75,127.5,74.2182662538699690,45.0,933.7313432835820896,646,30.0
PIERCE,FROM_ABOVE,60,14.0582524271844660,10.0,20.0,31.5,12.4077669902912621,9.0,60.0000000000000000,206,1.0
PIERCE,FROM_ABOVE,180,19.1796116504854369,13.5,25.0,42.0,17.6407766990291262,12.0,133.0434782608695652,206,3.0
PIERCE,FROM_ABOVE,300,23.3252427184466019,16.0,31.75,46.0,21.0436893203883495,14.0,192.4444444444444444,206,5.0
PIERCE,FROM_ABOVE,900,38.9320388349514563,24.0,46.75,90.0,35.9805825242718447,25.0,484.1250000000000000,206,15.0
PIERCE,FROM_ABOVE,1800,48.7281553398058252,29.0,56.0,105.0,51.7475728155339806,37.0,839.6511627906976744,206,30.0
PIERCE,FROM_BELOW,60,14.1236559139784946,9.5,18.0,28.0,14.8333333333333333,9.0,60.0000000000000000,186,1.0
PIERCE,FROM_BELOW,180,19.8602150537634409,14.0,24.0,40.0,21.0806451612903226,13.5,135.5000000000000000,186,3.0
PIERCE,FROM_BELOW,300,25.7903225806451613,18.0,32.75,54.0,24.2043010752688172,14.0,211.9708029197080292,186,5.0
PIERCE,FROM_BELOW,900,42.9946236559139785,29.0,55.0,92.5,35.2526881720430108,22.0,550.1886792452830189,186,15.0
PIERCE,FROM_BELOW,1800,57.6129032258064516,42.0,71.25,124.0,48.3870967741935484,28.0,1050.7142857142857143,186,30.0
TOUCH,FROM_ABOVE,60,12.4581818181818182,10.0,17.0,25.0,12.7418181818181818,10.0,60.0000000000000000,275,1.0
TOUCH,FROM_ABOVE,180,17.6181818181818182,12.0,22.0,36.0,18.9200000000000000,14.0,121.4545454545454545,275,3.0
TOUCH,FROM_ABOVE,300,22.0363636363636364,14.0,28.0,46.599999999999994,22.9454545454545455,18.0,191.8681318681318681,275,5.0
TOUCH,FROM_ABOVE,900,37.8254545454545455,24.0,45.5,96.19999999999999,36.6690909090909091,27.0,469.0654205607476636,275,15.0
TOUCH,FROM_ABOVE,1800,53.3127272727272727,30.0,63.0,128.0,49.6727272727272727,35.0,828.7826086956521739,275,30.0
TOUCH,FROM_BELOW,60,12.7768924302788845,9.0,16.0,29.0,11.5577689243027888,9.0,60.0000000000000000,251,1.0
TOUCH,FROM_BELOW,180,17.7490039840637450,12.0,21.5,40.0,16.5856573705179283,11.0,125.4545454545454545,251,3.0
TOUCH,FROM_BELOW,300,21.2111553784860558,14.0,28.0,51.0,20.4063745019920319,14.0,190.9392265193370166,251,5.0
TOUCH,FROM_BELOW,900,35.0876494023904382,23.0,48.5,81.0,35.6972111553784861,21.0,528.1773399014778325,251,15.0
TOUCH,FROM_BELOW,1800,45.0398406374501992,31.0,65.5,104.0,49.4820717131474104,27.0,992.6760563380281690,251,30.0
