date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2025-07-28,2025-07-28 09:32:00-04:00,CROSS,VWAP,FROM_ABOVE,1,3382.122000,0.528125,3380.900000,12.2200000000000000,26.000000,21.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 09:36:00-04:00,CROSS,VWAP,FROM_BELOW,1,3380.817763,1.035707,3380.900000,0.82237000000000000000,21.000000,21.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 09:37:00-04:00,CROSS,VWAP,FROM_ABOVE,2,3380.722674,1.008303,3380.600000,1.2267400000000000,18.000000,24.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 09:38:00-04:00,CROSS,VWAP,FROM_BELOW,2,3380.793048,0.995948,3381.900000,11.0695200000000000,11.000000,33.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 09:41:00-04:00,CROSS,VWAP,FROM_ABOVE,3,3380.974581,1.034130,3380.700000,2.7458100000000000,53.000000,23.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 09:42:00-04:00,TOUCH,VWAP,FROM_BELOW,3,3380.963079,1.028341,3380.100000,8.6307900000000000,7.000000,71.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:26:00-04:00,CROSS,VWAP,FROM_BELOW,4,3368.473415,7.163159,3368.800000,3.2658500000000000,22.000000,24.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:28:00-04:00,CROSS,VWAP,FROM_ABOVE,4,3368.498063,6.997709,3368.000000,4.9806300000000000,9.000000,20.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:31:00-04:00,CROSS,VWAP,FROM_BELOW,5,3368.499790,6.911923,3369.800000,13.0021000000000000,2.000000,43.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:32:00-04:00,CROSS,VWAP,FROM_ABOVE,5,3368.501294,6.892448,3368.400000,1.0129400000000000,38.000000,12.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:42:00-04:00,TOUCH,VWAP,FROM_BELOW,6,3368.415772,6.703762,3368.300000,1.1577200000000000,25.000000,8.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:43:00-04:00,CROSS,VWAP,FROM_BELOW,7,3368.417245,6.691974,3369.000000,5.8275500000000000,18.000000,7.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:45:00-04:00,PIERCE,VWAP,FROM_ABOVE,6,3368.426127,6.663333,3370.000000,15.7387300000000000,30.000000,8.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 10:49:00-04:00,CROSS,VWAP,FROM_ABOVE,7,3368.450465,6.592146,3368.300000,1.5046500000000000,29.000000,5.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 11:24:00-04:00,TOUCH,VWAP,FROM_BELOW,8,3368.039356,6.316806,3367.900000,1.3935600000000000,27.000000,9.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 11:25:00-04:00,CROSS,VWAP,FROM_BELOW,9,3368.046480,6.300121,3369.700000,16.5352000000000000,9.000000,12.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:08:00-04:00,PIERCE,VWAP,FROM_ABOVE,8,3368.426728,5.991730,3368.600000,1.7327200000000000,16.000000,5.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:09:00-04:00,CROSS,VWAP,FROM_ABOVE,9,3368.425969,5.979982,3368.000000,4.2596900000000000,10.000000,11.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:10:00-04:00,CROSS,VWAP,FROM_BELOW,10,3368.426066,5.976078,3368.700000,2.7393400000000000,4.000000,17.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:11:00-04:00,CROSS,VWAP,FROM_ABOVE,10,3368.425609,5.973500,3367.900000,5.2560900000000000,9.000000,16.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:13:00-04:00,CROSS,VWAP,FROM_BELOW,11,3368.421263,5.937858,3369.000000,5.7873700000000000,5.000000,12.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:17:00-04:00,CROSS,VWAP,FROM_ABOVE,11,3368.422554,5.921453,3368.200000,2.2255400000000000,5.000000,5.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:19:00-04:00,TOUCH,VWAP,FROM_BELOW,12,3368.420422,5.907676,3368.300000,1.2042200000000000,4.000000,8.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:20:00-04:00,CROSS,VWAP,FROM_BELOW,13,3368.419551,5.893924,3368.500000,0.80449000000000000000,2.000000,10.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:23:00-04:00,CROSS,VWAP,FROM_ABOVE,12,3368.419535,5.891438,3368.100000,3.1953500000000000,6.000000,16.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:26:00-04:00,CROSS,VWAP,FROM_BELOW,14,3368.419455,5.881551,3368.900000,4.8054500000000000,8.000000,4.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:48:00-04:00,CROSS,VWAP,FROM_ABOVE,13,3368.436522,5.832620,3367.700000,7.3652200000000000,0.000000,9.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:50:00-04:00,CROSS,VWAP,FROM_BELOW,15,3368.436409,5.830214,3368.600000,1.6359100000000000,0.000000,14.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:52:00-04:00,CROSS,VWAP,FROM_ABOVE,14,3368.436228,5.829015,3368.000000,4.3622800000000000,8.000000,0.000000,63.222820,135.749570,RTH,30m,2.0
2025-07-28,2025-07-28 12:58:00-04:00,CROSS,VWAP,FROM_BELOW,16,3368.433759,5.819632,3368.500000,0.66241000000000000000,0.000000,22.000000,63.222820,135.749570,RTH,30m,2.0
