touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,139,46.4964028776978417,47.0071942446043165
2,135,41.8518518518518519,42.5111111111111111
3,128,35.5703125000000000,40.1640625000000000
4,120,38.2083333333333333,36.7833333333333333
5,112,31.7232142857142857,37.7767857142857143
6,106,28.3207547169811321,32.6037735849056604
7,104,30.3653846153846154,33.6153846153846154
8,98,28.2040816326530612,32.5816326530612245
9,91,29.1208791208791209,32.6703296703296703
10,88,28.1136363636363636,28.5113636363636364
11,85,24.2117647058823529,30.5176470588235294
12,77,22.5064935064935065,26.9610389610389610
13,67,22.6119402985074627,22.5074626865671642
14,59,21.6271186440677966,28.0338983050847458
15,54,16.8703703703703704,27.4259259259259259
16,52,24.8846153846153846,25.5000000000000000
17,47,18.9361702127659574,22.1914893617021277
18,44,19.2272727272727273,23.0454545454545455
19,42,19.0476190476190476,18.6904761904761905
20,39,16.7692307692307692,16.8974358974358974
21,35,18.6571428571428571,19.5714285714285714
22,31,18.0322580645161290,17.2903225806451613
23,26,18.2307692307692308,13.1153846153846154
24,25,16.7200000000000000,14.7200000000000000
25,22,15.9545454545454545,12.4090909090909091
26,19,16.7894736842105263,12.9473684210526316
27,18,12.3333333333333333,12.7777777777777778
28,16,11.6875000000000000,17.3750000000000000
29,15,12.8666666666666667,16.8000000000000000
30,12,10.7500000000000000,16.5000000000000000
31,9,10.8888888888888889,9.8888888888888889
32,7,10.2857142857142857,12.5714285714285714
33,7,8.2857142857142857,12.5714285714285714
34,6,10.8333333333333333,12.0000000000000000
35,6,10.8333333333333333,12.3333333333333333
36,5,10.6000000000000000,12.8000000000000000
37,5,17.4000000000000000,8.4000000000000000
38,5,7.0000000000000000,18.2000000000000000
39,4,10.0000000000000000,7.2500000000000000
40,3,4.6666666666666667,8.3333333333333333
41,3,6.3333333333333333,6.0000000000000000
42,2,7.5000000000000000,9.0000000000000000
43,2,4.5000000000000000,8.5000000000000000
44,1,6.0000000000000000,4.0000000000000000
