session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-07-27,0.000000,0.000000,,
2025-07-28,63.222820,135.749570,1.179459,1.788152
2025-07-29,135.356480,44.916890,2.372436,2.642175
2025-07-30,54.308280,280.164840,1.032091,2.665314
2025-07-31,11.984560,94.754870,2.957690,2.467461
2025-09-02,249.072540,48.834380,1.626435,1.825399
2025-09-03,146.179320,94.016310,2.269058,1.507862
2025-09-04,110.242100,139.424140,1.863333,2.028450
2025-09-05,117.383820,168.832370,1.820350,2.512983
2025-09-07,0.000000,0.000000,0.000000,0.000000
2025-09-08,116.727380,29.204870,2.100644,0.733320
2025-09-09,102.292840,258.230490,3.116765,2.405827
2025-09-10,43.937410,120.248960,2.562072,2.690355
2025-09-11,111.449240,51.058960,2.223573,2.263302
2025-09-12,39.058210,86.276120,2.201276,3.272335
2025-09-13,,,,
2025-09-14,,,,
2025-09-15,201.655550,56.082170,2.695363,1.778672
2025-09-16,59.166240,141.262450,2.731757,2.760182
2025-09-17,239.086530,360.286320,3.292024,2.903451
2025-09-18,68.314720,141.891740,1.508546,2.179607
2025-09-19,169.430820,29.671560,2.149488,1.029883
2025-09-21,,,,
2025-09-22,198.375000,59.918280,2.155003,2.326027
2025-09-23,100.211610,230.946410,2.074303,3.100249
2025-09-24,20.686250,286.559020,1.166301,2.214835
2025-09-25,240.924790,92.043090,3.402400,1.670443
2025-09-26,175.629460,97.944940,1.944953,1.318696
2025-09-28,0.000000,0.000000,,
2025-09-29,78.986230,78.946550,2.707085,2.835117
2025-09-30,197.368410,81.072230,2.156412,0.780387
2025-10-01,64.398870,163.334400,2.953227,3.997647
2025-10-02,105.898480,371.836700,0.555452,2.084609
2025-10-03,116.859590,145.424810,2.239304,3.013526
2025-10-05,0.000000,0.000000,,
2025-10-06,205.046020,51.269450,2.467428,0.622785
2025-10-07,120.883770,179.391650,2.318506,2.739453
2025-10-08,166.964450,138.743270,2.250256,1.846354
2025-10-09,49.879780,663.773970,0.383646,2.667999
2025-10-10,294.313070,205.122490,2.315074,1.630203
2025-10-12,,,,
2025-10-13,201.878210,100.467120,2.848173,1.255194
2025-10-14,246.626730,51.341590,2.727560,0.873077
2025-10-15,163.779170,181.266400,2.398711,2.759496
2025-10-16,371.618220,80.252920,2.581857,2.310101
2025-10-17,120.485100,608.245570,0.987114,2.416355
2025-10-19,0.000000,0.000000,,
2025-10-20,452.066300,160.770410,2.183743,2.539122
2025-10-21,196.817330,810.956400,2.410064,2.358166
2025-10-22,624.066400,434.701450,2.907531,2.178848
2025-10-23,109.833470,231.399580,2.443349,3.004255
2025-10-24,237.461000,187.357260,2.808145,1.881342
2025-10-26,,,,
2025-10-27,128.264670,308.175950,0.864106,1.867073
2025-10-28,256.853710,105.868430,2.032549,2.468102
2025-10-29,117.524920,600.180650,2.496034,2.480801
2025-10-30,305.471680,80.605970,2.170198,2.253794
2025-10-31,88.060460,432.535430,2.294768,3.660750
2025-11-02,,,,
2025-11-03,155.327860,203.528870,1.972864,2.406309
2025-11-04,276.820350,199.979300,2.499925,1.679261
2025-11-05,134.716440,131.953930,2.387754,2.645012
2025-11-06,109.611180,198.685540,1.437469,2.475637
2025-11-07,306.997740,94.540380,2.944074,0.806550
2025-11-09,0.000000,0.000000,,
2025-11-10,254.517590,80.267120,2.795808,1.847385
2025-11-11,169.309130,231.579060,1.933374,2.597236
2025-11-12,361.197880,48.757460,1.598293,2.058512
2025-11-13,122.857040,513.235100,1.574887,3.571254
2025-11-14,356.273840,124.854930,2.132474,1.724104
2025-11-16,0.000000,0.000000,,
2025-11-17,114.812320,539.322270,1.853273,2.753552
2025-11-18,187.727320,239.020430,2.102919,2.814374
2025-11-19,139.434620,446.716610,2.238873,2.194593
2025-11-20,194.615760,362.991060,2.146829,2.662426
2025-11-21,296.509690,217.546890,2.834063,2.018107
2025-11-27,6.405230,66.643940,0.317673,3.522182
2025-11-28,207.751520,84.504760,2.774729,5.082476
2025-11-30,,,,
2025-12-01,80.673910,116.842110,1.377558,1.477125
2025-12-02,31.689810,246.727270,0.453022,1.468695
2025-12-03,4.400000,7.600000,8.981425,15.513370
2025-12-04,57.928570,76.472220,1.439267,2.167357
2025-12-05,108.333330,329.714290,2.087024,2.014179
