event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,28,0.42857142857142857143,33.5,120.0,87.39999999999999,300.0000000000000000
CROSS,1,moderate,152,0.38815789473684210526,49.0,132.0,174.2,300.0000000000000000
CROSS,1,steep,269,0.33457249070631970260,46.0,236.5,176.85000000000008,264.0000000000000000
CROSS,2,flat,22,0.40909090909090909091,42.0,82.0,91.0,300.0000000000000000
CROSS,2,moderate,112,0.33035714285714285714,41.0,131.0,103.0,300.0000000000000000
CROSS,2,steep,170,0.32941176470588235294,58.5,186.0,232.29999999999998,288.7500000000000000
CROSS,3,flat,18,0.27777777777777777778,66.5,89.5,93.25,
CROSS,3,moderate,84,0.34523809523809523810,30.0,117.0,101.99999999999997,290.0000000000000000
CROSS,3,steep,108,0.45370370370370370370,44.0,192.0,123.0,247.5000000000000000
CROSS,4,flat,11,0.27272727272727272727,6.0,87.0,6.0,
CROSS,4,moderate,60,0.43333333333333333333,33.0,109.0,138.99999999999994,300.0000000000000000
CROSS,4,steep,87,0.41379310344827586207,67.5,203.0,232.25,265.7142857142857143
CROSS,5,flat,8,0.50000000000000000000,19.0,111.0,19.0,
CROSS,5,moderate,33,0.42424242424242424242,24.0,82.0,169.5,260.0000000000000000
CROSS,5,steep,65,0.46153846153846153846,81.0,206.0,184.0,228.0000000000000000
CROSS,6,flat,9,0.33333333333333333333,46.0,92.0,46.0,300.0000000000000000
CROSS,6,moderate,37,0.40540540540540540541,107.5,78.0,147.75,300.0000000000000000
CROSS,6,steep,61,0.44262295081967213115,32.0,107.0,61.599999999999994,240.0000000000000000
CROSS,7,flat,8,0.12500000000000000000,33.5,134.5,43.849999999999994,300.0000000000000000
CROSS,7,moderate,26,0.30769230769230769231,38.0,50.5,58.699999999999996,300.0000000000000000
CROSS,7,steep,55,0.49090909090909090909,15.5,61.0,61.34999999999998,180.0000000000000000
CROSS,8,flat,8,0.50000000000000000000,50.5,35.0,59.95,
CROSS,8,moderate,28,0.50000000000000000000,,,,
CROSS,8,steep,58,0.44827586206896551724,33.0,34.0,63.99999999999999,120.0000000000000000
CROSS,9,flat,6,0.50000000000000000000,,,,
CROSS,9,moderate,23,0.52173913043478260870,29.0,24.0,29.0,300.0000000000000000
CROSS,9,steep,53,0.52830188679245283019,42.0,120.0,57.3,300.0000000000000000
CROSS,10,flat,6,0.33333333333333333333,,,,
CROSS,10,moderate,26,0.50000000000000000000,29.0,24.0,29.0,180.0000000000000000
CROSS,10,steep,50,0.46000000000000000000,19.0,18.0,38.8,160.0000000000000000
CROSS,11,flat,4,0.75000000000000000000,7.0,72.0,7.0,300.0000000000000000
CROSS,11,moderate,26,0.46153846153846153846,54.0,73.0,81.0,120.0000000000000000
CROSS,11,steep,55,0.49090909090909090909,10.0,25.5,57.25,140.0000000000000000
CROSS,12,flat,7,0.42857142857142857143,,,,
CROSS,12,moderate,21,0.47619047619047619048,,,,
CROSS,12,steep,55,0.50909090909090909091,17.5,25.5,106.8,225.0000000000000000
CROSS,13,flat,3,0.66666666666666666667,,,,
CROSS,13,moderate,23,0.52173913043478260870,,,,
CROSS,13,steep,54,0.46296296296296296296,18.5,18.0,25.85,220.0000000000000000
CROSS,14,flat,6,0.50000000000000000000,,,,
CROSS,14,moderate,26,0.42307692307692307692,63.0,21.0,63.0,180.0000000000000000
CROSS,14,steep,51,0.45098039215686274510,23.0,56.0,164.25,160.0000000000000000
CROSS,15,flat,6,0.33333333333333333333,23.0,53.0,23.0,
CROSS,15,moderate,31,0.58064516129032258065,11.0,40.0,57.8,240.0000000000000000
CROSS,15,steep,45,0.46666666666666666667,31.0,13.0,117.19999999999999,192.0000000000000000
CROSS,16,flat,4,0.25000000000000000000,,,,
CROSS,16,moderate,32,0.50000000000000000000,34.0,37.0,38.5,120.0000000000000000
CROSS,16,steep,50,0.38000000000000000000,16.0,17.0,26.0,204.0000000000000000
CROSS,17,flat,4,0.50000000000000000000,14.0,20.0,20.299999999999997,270.0000000000000000
CROSS,17,moderate,20,0.40000000000000000000,,,,
CROSS,17,steep,46,0.52173913043478260870,7.0,38.0,7.0,120.0000000000000000
CROSS,18,flat,4,0.50000000000000000000,11.0,28.0,11.0,120.0000000000000000
CROSS,18,moderate,24,0.58333333333333333333,,,,
CROSS,18,steep,42,0.47619047619047619048,26.0,20.5,42.85,225.0000000000000000
CROSS,19,flat,6,0.50000000000000000000,16.0,27.0,16.0,240.0000000000000000
CROSS,19,moderate,25,0.48000000000000000000,26.0,11.0,26.0,120.0000000000000000
CROSS,19,steep,44,0.50000000000000000000,16.0,19.5,19.6,90.0000000000000000
CROSS,20,flat,4,0.50000000000000000000,,,,
CROSS,20,moderate,28,0.57142857142857142857,,,,
CROSS,20,steep,46,0.50000000000000000000,17.5,22.0,23.35,120.0000000000000000
CROSS,21,flat,5,0.40000000000000000000,,,,
CROSS,21,moderate,23,0.47826086956521739130,16.0,68.0,16.0,60.0000000000000000
CROSS,21,steep,46,0.52173913043478260870,8.0,25.0,10.7,60.0000000000000000
CROSS,22,flat,5,0.60000000000000000000,,,,
CROSS,22,moderate,33,0.48484848484848484848,,,,
CROSS,22,steep,35,0.42857142857142857143,41.0,22.0,58.1,180.0000000000000000
CROSS,23,flat,3,0.33333333333333333333,,,,
CROSS,23,moderate,30,0.53333333333333333333,95.5,-58.5,167.95,150.0000000000000000
CROSS,23,steep,39,0.38461538461538461538,34.5,28.5,125.89999999999996,210.0000000000000000
CROSS,24,flat,5,0.60000000000000000000,,,,
CROSS,24,moderate,33,0.51515151515151515152,13.0,19.0,13.0,180.0000000000000000
CROSS,24,steep,34,0.44117647058823529412,9.0,29.0,12.6,60.0000000000000000
CROSS,25,flat,4,0.75000000000000000000,,,,
CROSS,25,moderate,25,0.48000000000000000000,,,,
CROSS,25,steep,42,0.47619047619047619048,19.5,24.5,206.69999999999993,195.0000000000000000
CROSS,26,flat,5,0.60000000000000000000,,,,
CROSS,26,moderate,31,0.54838709677419354839,126.5,39.0,238.54999999999998,180.0000000000000000
CROSS,26,steep,36,0.41666666666666666667,25.0,34.0,25.0,180.0000000000000000
CROSS,27,flat,5,0.60000000000000000000,,,,
CROSS,27,moderate,26,0.57692307692307692308,77.0,87.0,77.9,
CROSS,27,steep,30,0.50000000000000000000,28.0,31.0,28.0,240.0000000000000000
CROSS,28,flat,1,1.00000000000000000000,,,,
CROSS,28,moderate,23,0.56521739130434782609,13.0,19.0,13.0,300.0000000000000000
CROSS,28,steep,33,0.36363636363636363636,38.0,50.0,55.4,180.0000000000000000
CROSS,29,flat,2,1.00000000000000000000,,,,
