hour,minute,avg_reaction_size,event_count
0,0,,13
0,1,,14
0,2,,10
0,3,,9
0,4,,10
0,5,,13
0,6,,11
0,7,,10
0,8,,7
0,9,,9
0,10,,7
0,11,,9
0,12,,4
0,13,,5
0,14,,7
0,15,,5
0,16,,8
0,17,,5
0,18,,6
0,19,,7
0,20,,9
0,21,,6
0,22,,7
0,23,,7
0,24,,5
0,25,,10
0,26,,9
0,27,,9
0,28,,4
0,29,,8
0,30,10.0000000000000000,7
0,31,,8
0,32,7.0000000000000000,10
0,33,,9
0,34,,11
0,35,,8
0,36,,5
0,37,,7
0,38,,6
0,39,,4
0,40,15.0000000000000000,6
0,41,9.0000000000000000,7
0,42,4.0000000000000000,7
0,43,30.0000000000000000,7
0,44,,6
0,45,,3
0,46,,3
0,47,,3
0,48,,5
0,49,,4
0,50,,9
0,51,,7
0,52,,5
0,53,,5
0,54,,6
0,55,,10
0,56,,9
0,57,,6
0,58,,5
0,59,,4
1,0,,8
1,1,8.0000000000000000,8
1,2,,7
1,3,,5
1,4,,4
1,5,8.0000000000000000,2
1,6,,6
1,7,,11
1,8,,8
1,9,,5
1,10,,5
1,11,,9
1,12,15.0000000000000000,6
1,13,,7
1,14,,13
1,15,16.0000000000000000,16
1,16,15.0000000000000000,9
1,17,,8
1,18,,8
1,19,,13
1,20,,9
1,21,,8
1,22,,6
1,23,25.0000000000000000,8
1,24,,8
1,25,,6
1,26,,7
1,27,,15
1,28,,10
1,29,,7
1,30,,8
1,31,,5
1,32,,4
1,33,,4
1,34,,5
1,36,,5
1,37,,4
1,38,,5
1,39,,7
1,40,,7
1,41,,9
1,42,,6
1,43,,7
1,44,,9
1,45,,6
1,46,,5
1,47,,3
1,48,,6
1,49,,3
1,50,,6
1,51,,5
1,52,,6
1,53,,7
1,54,,7
1,55,,3
1,56,,3
1,57,,5
1,58,,7
1,59,,2
2,0,,7
2,1,,4
2,2,,2
2,3,,4
2,4,,6
2,5,,4
2,6,,5
2,7,,1
2,8,,2
2,9,,3
2,10,,4
2,11,,5
2,12,,5
2,13,,6
2,14,,4
2,15,,7
2,16,,4
2,17,,4
2,18,,3
2,19,,3
2,20,,5
2,21,,5
2,22,,5
2,23,,2
2,24,,3
2,25,,5
2,26,,3
2,27,,5
2,28,,5
2,29,,8
2,30,,5
2,31,,7
2,32,,4
2,33,,5
2,34,,5
2,35,,2
2,36,,5
2,37,,5
2,38,,4
2,39,,5
2,40,,5
2,41,,5
2,42,,3
2,43,,3
2,44,,6
2,45,,3
2,46,,4
2,47,,6
2,48,,4
2,49,,4
2,50,,3
2,51,,4
2,52,,3
2,53,,4
2,54,,4
2,55,,3
2,56,,2
2,57,,2
2,58,,3
2,59,,2
3,0,,8
3,1,,6
3,2,,8
3,3,,6
3,4,,5
3,5,,7
3,6,50.0000000000000000,11
3,7,38.0000000000000000,6
3,8,8.0000000000000000,3
3,9,39.0000000000000000,5
3,10,,6
3,11,,4
3,12,,10
3,13,,10
3,14,,10
3,15,,10
3,16,,3
3,17,,6
3,18,,7
3,19,,7
3,20,,4
3,21,,5
3,22,,4
3,23,6.0000000000000000,5
3,24,34.0000000000000000,2
3,25,12.0000000000000000,5
3,26,21.0000000000000000,6
3,27,,6
3,28,7.0000000000000000,8
3,29,,5
3,30,,5
3,31,6.0000000000000000,9
3,32,,8
3,33,,3
3,34,42.0000000000000000,2
3,35,,5
3,36,,6
3,37,,6
3,38,,5
3,39,,5
3,40,,5
3,41,,5
3,42,,6
3,43,,4
3,44,,3
3,45,,4
3,46,,6
3,47,44.0000000000000000,9
3,48,,8
3,49,,7
3,50,,7
3,51,26.0000000000000000,6
3,52,,5
3,53,31.0000000000000000,5
3,54,,2
3,55,41.0000000000000000,5
3,56,,3
3,57,60.0000000000000000,2
3,58,33.0000000000000000,7
3,59,30.0000000000000000,6
4,0,,7
4,1,41.0000000000000000,10
4,2,,8
4,3,,8
4,4,,10
4,5,,6
4,6,,4
4,7,,4
4,8,,6
4,9,,2
4,10,,3
4,11,,1
4,12,,2
4,13,,5
4,14,,4
4,15,,4
4,16,,3
4,17,,5
4,18,,6
4,19,,5
4,20,,5
4,21,,7
4,22,,4
4,23,,1
4,24,,3
4,25,,4
4,26,,6
4,27,,4
4,28,,6
4,29,,5
4,30,,5
4,31,,5
4,32,,6
4,33,,3
4,34,,6
4,35,,3
4,36,,2
4,37,,2
4,38,,1
4,39,,2
4,40,,2
4,41,,4
4,42,,4
4,43,,6
4,44,,4
4,45,,4
4,46,,3
4,47,,3
4,48,,4
4,49,,1
4,50,,1
4,51,,3
4,52,,1
4,53,,2
4,55,,3
4,56,,2
4,57,,1
4,59,,1
5,0,,3
5,1,,2
5,2,,3
5,3,,3
5,4,,2
5,5,,4
5,6,,3
5,7,,2
5,8,,3
5,9,,1
5,10,,2
5,11,,5
5,12,,2
5,13,,5
5,14,,4
5,15,,5
5,16,,7
5,17,,5
5,18,,4
5,19,,2
5,20,,3
5,21,,3
5,22,,4
5,23,,2
5,24,,1
5,25,,1
5,26,,3
5,27,,5
5,28,,4
5,29,,2
5,30,,2
5,31,,2
5,32,,5
5,33,,3
5,34,,3
5,35,,5
5,36,,1
5,37,,3
5,38,,3
5,39,,2
5,41,,2
5,42,,4
5,43,,3
5,44,,3
5,45,,2
5,46,,1
5,47,,1
5,48,,4
5,49,,3
5,50,,5
5,51,,5
5,52,,6
5,53,,5
5,54,,4
5,55,,4
5,56,,1
5,57,,2
5,58,,2
5,59,,2
6,0,,3
6,1,,2
6,2,,2
6,3,,3
6,4,,1
6,5,,4
6,6,,4
6,7,,2
6,8,,4
6,9,,5
6,10,,3
6,11,,2
6,12,,7
6,13,,3
6,14,,2
6,15,,3
6,16,,3
6,17,,2
6,18,,3
6,19,,3
6,20,,3
6,21,,2
6,22,,4
6,23,,2
6,24,,4
6,25,,4
6,26,,5
6,27,,2
6,28,,3
6,29,,4
6,30,,3
6,31,,1
6,32,,4
6,33,,4
6,34,,2
6,35,,2
6,36,,2
6,37,,3
6,38,,2
6,39,,5
6,40,,3
6,41,,3
6,42,,3
6,43,,4
6,44,,4
6,45,,5
6,46,24.0000000000000000,5
6,47,,3
6,48,,3
6,49,46.0000000000000000,4
6,50,,1
6,51,,1
6,52,,2
6,53,,2
6,54,,3
6,55,,4
6,56,,3
6,57,,5
6,58,,3
6,59,,1
7,0,,6
7,1,,3
7,2,,4
7,3,,4
7,4,,6
7,5,,5
7,6,,2
7,7,,1
7,8,,1
7,9,,3
7,10,,2
7,11,,4
7,12,,3
7,13,,2
7,14,,3
7,15,,4
7,16,,4
7,17,,3
7,18,,4
7,19,,6
7,20,,3
7,21,,4
7,22,,3
7,23,,3
7,24,,2
7,25,,3
7,26,,2
7,27,,2
7,28,,3
7,29,,5
7,30,,3
7,31,,3
7,32,,2
7,33,,1
7,34,,1
7,35,,1
7,36,,3
7,37,,5
7,39,,1
7,40,,2
7,41,,2
7,42,,1
7,43,,5
7,44,,2
7,45,,5
7,46,,5
7,47,,4
7,48,,4
7,50,,1
7,51,,2
7,52,,3
7,53,,1
7,54,,1
7,55,,2
7,56,,2
7,57,,1
7,58,,3
7,59,,1
8,0,,6
8,1,,4
8,2,,2
8,3,,4
8,4,,1
8,5,,4
8,6,,2
8,7,,4
8,8,,4
8,9,,1
8,10,,3
8,11,,2
8,12,,2
8,13,,5
8,14,,4
8,15,,9
8,16,,2
8,17,,3
8,18,,4
8,19,,2
8,20,,5
8,21,,3
8,22,,1
8,23,,2
8,24,,2
8,25,,3
8,27,,3
8,28,,3
8,29,,5
8,30,,9
8,31,,3
8,32,,1
8,33,,5
8,34,,3
8,35,,1
8,36,,2
8,37,,1
8,38,,1
8,39,,2
8,40,,5
8,42,,2
8,43,,5
8,44,,2
8,45,,3
8,46,,2
8,47,,5
8,48,,3
8,49,,6
8,50,,5
8,51,,4
8,52,,5
8,53,,3
8,54,,5
8,55,,3
8,56,,4
8,57,,6
8,58,,3
8,59,,6
9,0,,8
9,1,,3
9,2,,3
9,3,,2
9,4,,2
9,5,,3
9,6,,4
9,7,,5
9,10,,1
9,11,,1
9,12,,1
9,13,,1
9,14,,3
9,15,,1
9,16,,4
9,17,,1
9,18,,2
9,19,,1
9,20,,5
9,21,,2
9,22,,1
9,23,,2
9,24,,2
9,25,,4
9,26,,1
9,27,,2
9,28,,4
9,29,,2
9,30,,12
9,31,,5
9,32,,6
9,33,,8
9,34,,7
9,35,,6
9,36,,7
9,37,,9
9,38,,7
9,39,,6
9,40,,5
9,41,,6
9,42,,1
9,43,,5
9,44,,8
9,45,,2
9,46,,3
9,47,,4
9,48,,6
9,49,,6
9,50,,2
9,51,,6
9,52,,5
9,53,,6
9,54,,2
9,55,,2
9,56,,5
9,57,,1
9,58,,1
9,59,,3
10,0,,6
10,1,,5
10,2,,5
10,3,,5
10,4,,3
10,5,,3
10,6,,6
10,7,,1
10,8,,2
10,9,,5
10,10,,4
10,11,,4
10,12,,5
10,13,,4
10,15,,1
