event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,54.7619047619047619,32.5,76.25,127.3000000000001,145.1190476190476190,109.5,60.0000000000000000,1911,1.0
CROSS,FROM_ABOVE,180,56.3500000000000000,34.5,76.25,129.1,144.7923076923076923,108.5,104.0625000000000000,1911,3.0
CROSS,FROM_ABOVE,300,64.6881028938906752,39.0,81.0,162.0,146.8713826366559486,109.0,210.5084745762711864,1911,5.0
CROSS,FROM_ABOVE,900,87.5811320754716981,57.5,107.75,194.0,151.4094339622641509,115.5,585.6140350877192982,1911,15.0
CROSS,FROM_ABOVE,1800,119.9378453038674033,83.0,151.0,250.0,153.1312154696132597,117.0,1054.7758887171561051,1911,30.0
CROSS,FROM_BELOW,60,46.0289256198347107,24.0,63.0,108.70000000000002,157.0289256198347107,107.0,60.0000000000000000,1906,1.0
CROSS,FROM_BELOW,180,48.9841897233201581,29.0,66.0,109.80000000000001,159.2411067193675889,107.0,133.7142857142857143,1906,3.0
CROSS,FROM_BELOW,300,52.8633333333333333,33.0,69.75,113.70000000000016,163.3300000000000000,111.0,224.1322314049586777,1906,5.0
CROSS,FROM_BELOW,900,75.9624765478424015,49.0,96.0,182.0,167.4090056285178236,123.0,613.9495798319327731,1906,15.0
CROSS,FROM_BELOW,1800,103.2790055248618785,71.0,139.25,223.0,165.5096685082872928,121.0,1072.0481927710843373,1906,30.0
PIERCE,FROM_ABOVE,60,37.5384615384615385,10.5,44.25,82.8,28.6538461538461538,14.5,60.0000000000000000,461,1.0
PIERCE,FROM_ABOVE,180,43.0357142857142857,23.5,52.5,82.0,34.3035714285714286,20.0,120.0000000000000000,461,3.0
PIERCE,FROM_ABOVE,300,62.1515151515151515,32.0,71.75,113.0,38.7424242424242424,22.5,188.7804878048780488,461,5.0
PIERCE,FROM_ABOVE,900,67.8160919540229885,45.0,80.5,136.40000000000003,56.5402298850574713,40.0,455.0769230769230769,461,15.0
PIERCE,FROM_ABOVE,1800,83.7391304347826087,54.0,108.0,214.00000000000063,67.9043478260869565,56.0,833.2653061224489796,461,30.0
PIERCE,FROM_BELOW,60,59.7619047619047619,39.0,98.0,116.0,84.5238095238095238,31.0,60.0000000000000000,450,1.0
PIERCE,FROM_BELOW,180,64.7391304347826087,53.0,103.0,141.60000000000002,91.0000000000000000,38.0,132.0000000000000000,450,3.0
PIERCE,FROM_BELOW,300,68.7647058823529412,55.0,105.5,145.6,83.4117647058823529,43.0,224.3478260869565217,450,5.0
PIERCE,FROM_BELOW,900,98.9354838709677419,67.0,142.25,216.9,101.6774193548387097,49.0,581.5384615384615385,450,15.0
PIERCE,FROM_BELOW,1800,106.1010101010101010,75.0,145.5,234.40000000000003,89.9393939393939394,51.0,994.4680851063829787,450,30.0
TOUCH,FROM_ABOVE,60,35.9848484848484848,11.0,30.75,76.0,18.6363636363636364,10.5,60.0000000000000000,567,1.0
TOUCH,FROM_ABOVE,180,43.7571428571428571,14.0,41.75,88.80000000000003,24.0857142857142857,15.0,118.0645161290322581,567,3.0
TOUCH,FROM_ABOVE,300,45.0533333333333333,15.0,52.0,96.00000000000013,29.3200000000000000,17.0,190.7692307692307692,567,5.0
TOUCH,FROM_ABOVE,900,74.9830508474576271,47.5,98.0,179.09999999999997,53.0338983050847458,41.5,542.0454545454545455,567,15.0
TOUCH,FROM_ABOVE,1800,81.0135135135135135,58.5,105.5,177.3,64.5135135135135135,52.5,848.6400000000000000,567,30.0
TOUCH,FROM_BELOW,60,48.5405405405405405,16.0,55.0,125.6,34.7027027027027027,17.0,60.0000000000000000,546,1.0
TOUCH,FROM_BELOW,180,56.1951219512195122,25.0,72.0,128.0,44.0731707317073171,24.0,125.7142857142857143,546,3.0
TOUCH,FROM_BELOW,300,61.4615384615384615,31.0,72.75,137.0,51.3846153846153846,35.0,223.6363636363636364,546,5.0
TOUCH,FROM_BELOW,900,84.5494505494505495,61.0,124.0,169.0,75.0219780219780220,56.0,582.7397260273972603,546,15.0
TOUCH,FROM_BELOW,1800,84.2991452991452991,56.0,124.0,178.00000000000006,76.8461538461538462,56.0,870.0000000000000000,546,30.0
