session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2024-12-15,84.393448,64.394508,2.110243,12.801906
2024-12-16,108.159284,164.017224,2.656972,3.708106
2024-12-17,156.844148,336.945796,2.929689,4.970043
2024-12-18,519.038124,1876.206588,2.325744,1.806254
2024-12-19,188.822156,751.511096,2.179504,2.329864
2024-12-20,220.319372,541.509140,3.582462,2.711041
2024-12-22,211.388908,236.000000,2.483202,
2024-12-23,148.277692,240.960084,1.729278,2.646816
2024-12-24,634.450956,85.366368,1.977587,1.224337
2024-12-25,85.666668,68.333332,,
2024-12-26,150.029672,255.391624,3.260354,3.206981
2024-12-27,259.095544,235.750252,3.117276,3.401744
2024-12-29,101.939356,133.760492,5.224717,2.726855
2024-12-30,105.218572,530.797176,1.782342,2.352054
2024-12-31,293.882208,217.004016,3.554046,3.050594
2025-01-01,296.885988,409.857112,1.556226,1.905560
2025-01-02,535.234092,183.271692,2.395144,34.699743
2025-01-03,139.742968,165.613704,3.633956,3.511976
2025-01-05,58.812692,134.553696,1.977506,2.616786
2025-01-06,311.866496,230.330852,2.901658,2.719011
2025-01-07,170.285812,451.946692,0.939035,2.305858
2025-01-08,310.791636,310.383432,4.107857,4.176912
2025-01-09,152.745320,227.940180,5.298339,2.347982
2025-01-10,171.137508,362.999472,1.862724,2.121357
2025-01-11,,,,
2025-01-12,138.666668,345.639604,,2.318650
2025-01-13,697.187896,192.946528,3.703301,5.631333
2025-01-14,350.743960,514.469060,1.425549,1.842261
2025-01-15,169.005620,154.246384,2.162472,2.263582
2025-01-16,269.956612,531.375040,2.748636,3.005563
2025-01-17,98.083648,165.392512,6.868595,2.814857
2025-01-19,167.267208,127.597992,3.802012,1.824345
2025-01-20,494.743364,892.256636,1.213296,2.188147
2025-01-21,378.009520,144.206608,3.209638,3.424425
2025-01-22,88.192100,266.139584,10.194360,3.034118
2025-01-23,297.144460,120.348904,2.621009,3.327006
2025-01-24,205.119480,161.116928,6.970148,2.783417
2025-01-26,215.666668,485.886232,220969.946721,2.145392
2025-01-27,620.084784,328.084972,3.633944,3.472586
2025-01-28,247.739212,174.803240,2.375555,1.778752
2025-01-29,636.128944,413.252448,3.232372,2.516066
2025-01-30,582.418608,405.108168,3.559187,3.946941
2025-01-31,241.724016,593.177472,6.855921,2.101195
2025-02-02,842.000000,518.000000,,
2025-02-03,535.919800,293.491924,3.994964,2.771434
2025-02-04,198.729288,366.243288,3.924687,5.177330
2025-02-05,259.784276,147.554204,3.334735,2.348271
2025-02-06,381.761560,258.065084,2.374941,2.033555
2025-02-07,276.233284,235.504232,9.270127,1.816894
2025-02-09,387.199540,254.333332,1.736359,
2025-02-10,69.991084,303.543020,38.841555,3.775033
2025-02-11,113.555380,162.135200,3.327250,3.310198
2025-02-12,379.046648,114.051920,2.873757,6.209630
2025-02-13,415.100996,231.230224,1.966520,18.366228
2025-02-14,164.641172,83.858704,3.939379,3.101672
2025-02-16,129.700028,61.719364,2.427830,2.629716
2025-02-17,89.496920,71.318284,2.168006,4.269481
2025-02-18,405.624844,169.215368,2.468008,5.042338
2025-02-19,142.923368,338.227484,2.199222,3.373258
2025-02-20,278.076300,123.102208,2.903660,2.155099
2025-02-21,222.687668,350.877804,145.117644,2.362966
2025-02-23,176.979020,198.412988,1.961137,7.096929
2025-02-24,136.299928,623.118320,7.814119,2.197364
2025-02-25,281.278432,263.842676,3.069940,2.981309
2025-02-26,734.949916,230.208416,5.123272,4.588323
2025-02-27,261.056408,948.987984,1.028177,1.695656
2025-02-28,975.196528,221.921152,2.371348,26.095501
2025-03-02,151.025156,402.225860,8.964022,2.155422
2025-03-03,464.022596,1045.064596,2.820756,1.961284
2025-03-04,657.082272,843.999284,2.253705,2.691581
2025-03-05,467.575284,357.759400,2.191563,10.106205
2025-03-06,506.635468,331.966016,4.670731,3.556794
2025-03-07,388.687000,381.185468,2.244889,2.941544
2025-03-08,,,,
2025-03-09,210.346648,415.225232,17.719442,4.546477
2025-03-10,460.976680,1084.489780,3.975116,4.118383
2025-03-11,920.292592,427.021320,1.941311,1.057064
2025-03-12,444.742888,309.257112,7.028493,4.887344
2025-03-13,546.359956,365.253304,2.544532,1.908122
2025-03-14,293.736812,126.911052,3.605401,16.040082
