touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,511,61.8106508875739645,213.8639053254437870
2,411,79.7567567567567568,177.8581081081081081
3,308,66.0317460317460317,161.3492063492063492
4,251,75.1333333333333333,129.0000000000000000
5,214,79.2647058823529412,142.4705882352941176
6,183,62.7647058823529412,117.5882352941176471
7,167,37.8333333333333333,55.6666666666666667
8,153,36.0000000000000000,88.7500000000000000
9,147,33.6250000000000000,121.1250000000000000
10,146,48.8181818181818182,74.8181818181818182
11,146,36.5714285714285714,52.3571428571428571
12,145,37.0000000000000000,35.5000000000000000
13,142,21.8888888888888889,22.5555555555555556
14,136,46.1666666666666667,83.5000000000000000
15,134,35.1428571428571429,42.0714285714285714
16,132,19.6153846153846154,21.2307692307692308
17,131,16.6666666666666667,21.6666666666666667
18,126,24.1250000000000000,17.2500000000000000
19,123,19.0000000000000000,19.5555555555555556
20,117,19.2857142857142857,28.0000000000000000
21,114,16.4285714285714286,22.8571428571428571
22,111,25.4000000000000000,13.6000000000000000
23,110,54.0000000000000000,23.8750000000000000
24,104,10.0000000000000000,26.2500000000000000
25,103,57.4000000000000000,115.6000000000000000
26,99,104.0000000000000000,48.0000000000000000
27,95,92.5000000000000000,51.3750000000000000
28,89,41.1250000000000000,53.1250000000000000
29,86,14.8000000000000000,40.6000000000000000
30,84,31.5000000000000000,79.8333333333333333
31,78,39.2000000000000000,35.2000000000000000
32,72,164.2500000000000000,85.2500000000000000
33,69,45.3333333333333333,36.6666666666666667
34,61,75.3333333333333333,26.3333333333333333
35,56,33.3333333333333333,44.3333333333333333
36,54,59.5000000000000000,61.5000000000000000
37,52,86.5000000000000000,102.1666666666666667
38,49,51.2500000000000000,191.7500000000000000
39,45,42.1250000000000000,120.5000000000000000
40,39,65.1250000000000000,100.5000000000000000
41,36,64.7500000000000000,106.0000000000000000
42,33,73.0000000000000000,24.8333333333333333
43,29,60.2857142857142857,98.4285714285714286
44,26,93.6666666666666667,30.6666666666666667
45,25,88.3333333333333333,40.6666666666666667
46,22,10.0000000000000000,29.0000000000000000
47,20,230.0000000000000000,242.0000000000000000
48,20,134.0000000000000000,162.5000000000000000
49,17,71.0000000000000000,41.0000000000000000
50,17,15.5000000000000000,90.7500000000000000
51,16,11.5000000000000000,34.0000000000000000
52,16,17.0000000000000000,26.0000000000000000
53,16,19.5000000000000000,24.5000000000000000
54,16,23.8000000000000000,24.0000000000000000
55,15,25.8000000000000000,40.4000000000000000
56,13,29.0000000000000000,31.0000000000000000
57,12,46.0000000000000000,86.8000000000000000
58,11,61.3333333333333333,91.6666666666666667
59,9,16.0000000000000000,29.5000000000000000
60,7,52.0000000000000000,13.0000000000000000
61,7,26.3333333333333333,32.0000000000000000
62,6,19.0000000000000000,24.0000000000000000
63,6,18.5000000000000000,21.5000000000000000
64,5,21.0000000000000000,27.0000000000000000
65,4,7.0000000000000000,34.0000000000000000
66,4,11.0000000000000000,20.0000000000000000
67,4,13.0000000000000000,25.0000000000000000
68,4,8.0000000000000000,48.0000000000000000
69,4,7.0000000000000000,41.0000000000000000
70,4,3.0000000000000000,44.0000000000000000
71,4,19.5000000000000000,28.0000000000000000
72,3,58.0000000000000000,13.0000000000000000
73,3,45.0000000000000000,6.5000000000000000
74,3,36.0000000000000000,13.0000000000000000
75,2,8.0000000000000000,17.0000000000000000
76,2,5.0000000000000000,22.0000000000000000
77,2,10.0000000000000000,17.0000000000000000
78,1,,
79,1,,
80,1,,
81,1,,
82,1,,
