date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2024-12-15,2024-12-15 18:00:00-05:00,CROSS,VWAP,FROM_ABOVE,1,22062.279976,0.888043,22058.750000,14.1199040000000000,26.000000,69.000000,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:05:00-05:00,CROSS,VWAP,FROM_BELOW,1,22065.712441,1.856581,22073.500000,31.1502360000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:10:00-05:00,CROSS,VWAP,FROM_ABOVE,2,22066.759091,2.243697,22064.250000,10.0363640000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:11:00-05:00,PIERCE,VWAP,FROM_BELOW,2,22064.680631,7.066045,22061.750000,11.7225240000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:20:00-05:00,PIERCE,VWAP,FROM_BELOW,3,22062.131414,6.901184,22059.750000,9.5256560000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:21:00-05:00,CROSS,VWAP,FROM_BELOW,4,22062.284564,6.763256,22067.250000,19.8617440000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:25:00-05:00,CROSS,VWAP,FROM_BELOW,2,22064.378350,5.041325,22071.250000,27.4866000000000000,32.000000,81.000000,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 18:30:00-05:00,CROSS,VWAP,FROM_BELOW,1,22067.098627,1.257518,22072.000000,19.6054920000000000,29.000000,84.000000,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 20:19:00-05:00,TOUCH,VWAP,FROM_ABOVE,3,22079.085450,12.087422,22079.500000,1.6582000000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 20:20:00-05:00,TOUCH,VWAP,FROM_ABOVE,4,22079.087001,12.071330,22079.500000,1.6519960000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 20:20:00-05:00,TOUCH,VWAP,FROM_ABOVE,3,22079.092186,11.430778,22079.500000,1.6312560000000000,,,84.393448,64.394508,RTH,5m,2.0
2024-12-15,2024-12-15 20:21:00-05:00,TOUCH,VWAP,FROM_ABOVE,5,22079.094281,12.042376,22080.750000,6.6228760000000000,,,84.393448,64.394508,RTH,5m,2.0
