event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,19,0.42105263157894736842,46.5,127.0,66.0,
CROSS,1,moderate,117,0.43589743589743589744,42.5,181.5,303.24999999999966,300.0000000000000000
CROSS,1,steep,335,0.38208955223880597015,72.0,203.0,257.7,300.0000000000000000
CROSS,2,flat,14,0.35714285714285714286,43.0,123.5,75.25,300.0000000000000000
CROSS,2,moderate,92,0.38043478260869565217,38.0,184.5,141.44999999999996,300.0000000000000000
CROSS,2,steep,249,0.36947791164658634538,67.0,189.0,267.19999999999965,296.8421052631578947
CROSS,3,flat,9,0.22222222222222222222,69.5,172.5,100.19999999999999,300.0000000000000000
CROSS,3,moderate,62,0.33870967741935483871,35.0,166.0,158.79999999999998,300.0000000000000000
CROSS,3,steep,151,0.40397350993377483444,36.0,156.0,243.79999999999959,300.0000000000000000
CROSS,4,flat,9,0.44444444444444444444,60.0,72.0,65.4,300.0000000000000000
CROSS,4,moderate,44,0.45454545454545454545,24.0,131.0,331.5,300.0000000000000000
CROSS,4,steep,117,0.43589743589743589744,52.0,153.0,278.5,276.9230769230769231
CROSS,5,flat,5,0.60000000000000000000,48.0,72.0,48.0,
CROSS,5,moderate,33,0.39393939393939393939,23.0,272.0,32.9,
CROSS,5,steep,94,0.42553191489361702128,36.0,127.0,402.8999999999989,253.3333333333333333
CROSS,6,flat,4,0.50000000000000000000,,,,
CROSS,6,moderate,32,0.37500000000000000000,40.5,48.5,88.59999999999998,300.0000000000000000
CROSS,6,steep,76,0.44736842105263157895,56.5,142.0,302.9999999999999,280.0000000000000000
CROSS,7,flat,4,0.50000000000000000000,,,,
CROSS,7,moderate,23,0.34782608695652173913,25.5,155.5,101.79999999999997,300.0000000000000000
CROSS,7,steep,71,0.49295774647887323944,34.0,51.0,195.1,240.0000000000000000
CROSS,8,flat,5,0.60000000000000000000,,,,
CROSS,8,moderate,27,0.51851851851851851852,6.5,133.5,7.85,300.0000000000000000
CROSS,8,steep,61,0.45901639344262295082,42.0,57.0,68.1,180.0000000000000000
CROSS,9,flat,5,0.60000000000000000000,,,,
CROSS,9,moderate,16,0.37500000000000000000,,,,
CROSS,9,steep,54,0.48148148148148148148,27.0,28.0,27.0,120.0000000000000000
CROSS,10,flat,4,0.50000000000000000000,,,,
CROSS,10,moderate,17,0.47058823529411764706,,,,
CROSS,10,steep,64,0.42187500000000000000,29.0,58.5,123.69999999999996,180.0000000000000000
CROSS,11,flat,1,0E-20,,,,
