hour,minute,avg_reaction_size,event_count
0,0,,23
0,1,,23
0,2,,19
0,3,,15
0,4,,16
0,5,,13
0,6,,18
0,7,,13
0,8,,13
0,9,,14
0,10,,16
0,11,,9
0,12,,6
0,13,,11
0,14,,14
0,15,,14
0,16,,10
0,17,,8
0,18,,10
0,19,,11
0,20,,8
0,21,,11
0,22,,9
0,23,,10
0,24,,10
0,25,,11
0,26,,16
0,27,,17
0,28,,12
0,29,,11
0,30,,16
0,31,,16
0,32,,10
0,33,,8
0,34,,9
0,35,,12
0,36,,11
0,37,,15
0,38,,8
0,39,,8
0,40,,12
0,41,,10
0,42,,12
0,43,,10
0,44,,9
0,45,,13
0,46,,14
0,47,,11
0,48,,9
0,49,,11
0,50,,12
0,51,,9
0,52,,9
0,53,,7
0,54,,10
0,55,,9
0,56,,8
0,57,,12
0,58,,7
0,59,,10
1,0,,10
1,1,,11
1,2,,9
1,3,,5
1,4,,5
1,5,,8
1,6,,13
1,7,,10
1,8,,6
1,9,,8
1,10,,12
1,11,,9
1,12,,9
1,13,,8
1,14,,6
1,15,,9
1,16,,8
1,17,,11
1,18,,9
1,19,,5
1,20,,6
1,21,,10
1,22,,11
1,23,,9
1,24,,9
1,25,,8
1,26,,9
1,27,,7
1,28,,9
1,29,,6
1,30,,14
1,31,,8
1,32,,13
1,33,,13
1,34,,14
1,35,,10
1,36,,8
1,37,,7
1,38,,4
1,39,,1
1,40,,6
1,41,,5
1,42,,4
1,43,,8
1,44,,6
1,45,,9
1,46,,9
1,47,,7
1,48,,6
1,49,,7
1,50,,6
1,51,,5
1,52,,5
1,53,,5
1,54,,2
1,55,,1
1,56,,5
1,57,,1
1,58,,2
2,0,,6
2,1,,5
2,2,,4
2,3,,5
2,4,,5
2,5,,3
2,6,,6
2,7,,6
2,8,,3
2,9,,7
2,10,,4
2,11,,5
2,12,,4
2,13,,4
2,14,,6
2,15,,6
2,16,,5
2,17,,5
2,18,,6
2,19,,5
2,20,,6
2,21,,6
2,22,,8
2,23,,3
2,24,,9
2,25,,7
2,26,,9
2,27,,8
2,28,,5
2,29,,4
2,30,,14
2,31,,12
2,32,,11
2,33,,4
2,34,,9
2,35,,9
2,36,,10
2,37,,7
2,38,,8
2,39,,5
2,40,,10
2,41,,5
2,42,,7
2,43,,7
2,44,,4
2,45,,3
2,46,,4
2,47,,4
2,48,,4
2,49,,10
2,50,,6
2,51,,5
2,52,,4
2,53,,5
2,54,,5
2,55,,5
2,56,,7
2,57,,5
2,58,,6
2,59,,6
3,0,,7
3,1,,13
3,2,,5
3,3,,4
3,4,,2
3,5,,6
3,6,,6
3,7,,8
3,8,,4
3,9,,6
3,10,,6
3,11,,3
3,12,,5
3,13,,9
3,14,,6
3,15,,5
3,16,,7
3,17,,6
3,18,,7
3,19,,5
3,20,,8
3,21,,4
3,22,,8
3,23,,7
3,24,,5
3,25,,6
3,26,,5
3,27,,6
3,28,,2
3,29,,5
3,30,,4
3,31,,3
3,32,,4
3,33,,5
3,34,,4
3,35,,2
3,36,,3
3,37,,2
3,38,,4
3,39,,3
3,40,,5
3,41,,6
3,42,,3
3,43,,6
3,44,,2
3,45,,7
3,46,,6
3,47,,5
3,48,,6
3,49,,3
3,50,,6
3,51,,3
3,52,,2
3,53,,4
3,54,,4
3,55,,6
3,56,,6
3,57,,4
3,58,,5
3,59,,2
4,0,,5
4,1,,7
4,2,,6
4,3,,6
4,4,,4
4,5,,9
4,6,,4
4,7,,3
4,8,,4
4,9,,5
4,10,,5
4,11,,3
4,12,,2
4,13,,3
4,14,,6
4,15,,2
4,16,,3
4,17,,1
4,18,,4
4,19,,2
4,20,,5
4,21,,3
4,22,,4
4,23,,2
4,24,,2
4,25,,2
4,26,,4
4,27,,9
4,28,,6
4,29,,4
4,30,,2
4,31,,3
4,32,,3
4,33,,2
4,34,,4
4,35,,5
4,36,,5
4,37,,5
4,38,,4
4,39,,5
4,40,,3
4,41,,3
4,42,,5
4,43,,4
4,44,,6
4,45,,3
4,46,,2
4,47,,2
