touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,536,83.1436781609195402,296.5689655172413793
2,443,87.2073170731707317,227.9390243902439024
3,314,75.8589743589743590,196.8076923076923077
4,247,81.5000000000000000,158.3695652173913043
5,210,108.4000000000000000,187.6666666666666667
6,181,77.5555555555555556,151.1111111111111111
7,162,78.2000000000000000,100.6000000000000000
8,148,31.0000000000000000,102.0000000000000000
9,139,68.0000000000000000,51.0000000000000000
10,136,46.4000000000000000,54.0000000000000000
11,134,24.0000000000000000,60.6666666666666667
12,130,65.5000000000000000,122.5000000000000000
13,128,58.0000000000000000,55.0000000000000000
14,127,41.0000000000000000,110.0000000000000000
15,124,25.5000000000000000,145.0000000000000000
16,120,110.0000000000000000,330.5000000000000000
17,117,27.5000000000000000,127.5000000000000000
18,116,11.0000000000000000,113.0000000000000000
19,114,396.0000000000000000,551.0000000000000000
20,111,307.5000000000000000,448.0000000000000000
21,109,392.0000000000000000,186.0000000000000000
22,104,304.5000000000000000,71.0000000000000000
23,103,124.0000000000000000,200.6666666666666667
24,101,42.0000000000000000,7.0000000000000000
25,98,87.0000000000000000,278.0000000000000000
26,96,45.5000000000000000,155.0000000000000000
27,94,136.7500000000000000,17.5000000000000000
28,93,49.0000000000000000,183.0000000000000000
29,91,153.0000000000000000,102.0000000000000000
30,82,43.0000000000000000,141.6666666666666667
31,80,104.6000000000000000,175.4000000000000000
32,75,129.7142857142857143,81.8571428571428571
33,67,33.0000000000000000,43.0000000000000000
34,63,23.0000000000000000,127.6666666666666667
35,57,85.4285714285714286,45.7142857142857143
36,54,85.8888888888888889,79.1111111111111111
37,54,72.2000000000000000,63.7000000000000000
38,45,47.4285714285714286,110.2857142857142857
39,42,49.5000000000000000,40.2500000000000000
40,40,31.0000000000000000,51.5000000000000000
41,39,27.5000000000000000,61.0000000000000000
42,36,32.5000000000000000,86.5000000000000000
43,35,21.4000000000000000,28.6000000000000000
44,34,13.5000000000000000,34.6666666666666667
45,30,28.5000000000000000,184.2500000000000000
46,26,17.2500000000000000,146.2500000000000000
47,25,230.6000000000000000,403.6000000000000000
48,24,41.2500000000000000,34.0000000000000000
49,21,38.0000000000000000,49.8000000000000000
50,18,44.0000000000000000,139.2000000000000000
51,17,48.5000000000000000,149.7500000000000000
52,16,30.0000000000000000,16.0000000000000000
53,15,46.5000000000000000,79.0000000000000000
54,14,178.0000000000000000,39.0000000000000000
55,12,,
56,9,,
57,9,,
58,7,57.3333333333333333,20.3333333333333333
59,7,40.0000000000000000,14.0000000000000000
60,7,30.0000000000000000,53.0000000000000000
61,6,,
62,6,14.0000000000000000,17.0000000000000000
63,6,,
64,6,25.0000000000000000,34.0000000000000000
65,6,,
66,6,21.2500000000000000,88.5000000000000000
67,6,47.3333333333333333,41.6666666666666667
68,6,4.5000000000000000,57.0000000000000000
69,6,50.0000000000000000,25.0000000000000000
70,5,17.0000000000000000,38.6666666666666667
71,5,25.0000000000000000,18.0000000000000000
72,5,14.0000000000000000,21.5000000000000000
73,4,9.0000000000000000,51.0000000000000000
74,3,64.0000000000000000,43.0000000000000000
75,3,55.0000000000000000,52.0000000000000000
76,2,68.0000000000000000,39.0000000000000000
77,2,,
78,2,,
79,2,,
80,2,,
81,2,,
82,2,22.0000000000000000,37.0000000000000000
83,2,,
84,2,35.0000000000000000,12.0000000000000000
85,2,35.0000000000000000,6.0000000000000000
86,2,14.0000000000000000,13.0000000000000000
87,2,8.0000000000000000,19.0000000000000000
88,2,8.0000000000000000,22.0000000000000000
89,2,8.0000000000000000,24.0000000000000000
90,2,23.5000000000000000,54.5000000000000000
91,2,43.5000000000000000,17.5000000000000000
92,1,25.0000000000000000,18.0000000000000000
