event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,62.9810606060606061,31.0,79.0,146.80000000000007,209.0719696969696970,147.5,60.0000000000000000,2004,1.0
CROSS,FROM_ABOVE,180,72.2811387900355872,38.0,83.0,171.0,210.1387900355871886,144.0,113.7931034482758621,2004,3.0
CROSS,FROM_ABOVE,300,76.8621700879765396,43.0,92.0,172.0,205.1114369501466276,146.0,223.0000000000000000,2004,5.0
CROSS,FROM_ABOVE,900,102.9945848375451264,59.0,131.0,246.79999999999995,205.7761732851985560,145.5,569.8203592814371257,2004,15.0
CROSS,FROM_ABOVE,1800,141.5117565698478562,92.0,185.5,328.0,207.5200553250345781,146.0,1063.9874411302982732,2004,30.0
CROSS,FROM_BELOW,60,71.1782608695652174,37.0,98.75,154.29999999999993,224.3739130434782609,151.5,60.0000000000000000,2009,1.0
CROSS,FROM_BELOW,180,74.5123966942148760,38.5,99.0,166.0,225.4008264462809917,151.5,131.5384615384615385,2009,3.0
CROSS,FROM_BELOW,300,81.3862068965517241,47.5,103.75,194.10000000000048,228.9862068965517241,152.0,228.8235294117647059,2009,5.0
CROSS,FROM_BELOW,900,109.0498084291187739,67.0,124.0,286.80000000000007,219.1877394636015326,150.0,638.8130563798219585,2009,15.0
CROSS,FROM_BELOW,1800,141.3471074380165289,91.0,175.75,323.5,214.8292011019283747,147.5,1087.8538812785388128,2009,30.0
PIERCE,FROM_ABOVE,60,90.6470588235294118,23.0,85.0,188.4,28.7058823529411765,18.0,60.0000000000000000,411,1.0
PIERCE,FROM_ABOVE,180,87.2105263157894737,28.0,74.0,182.2,32.8421052631578947,30.0,140.0000000000000000,411,3.0
PIERCE,FROM_ABOVE,300,91.0000000000000000,44.0,81.5,200.8,43.0434782608695652,38.0,212.7272727272727273,411,5.0
PIERCE,FROM_ABOVE,900,120.3725490196078431,71.0,132.5,221.0,38.9019607843137255,50.0,607.6923076923076923,411,15.0
PIERCE,FROM_ABOVE,1800,129.6493506493506494,71.0,150.0,306.80000000000007,55.1428571428571429,56.0,1055.4929577464788732,411,30.0
PIERCE,FROM_BELOW,60,51.8076923076923077,20.0,74.75,143.0,48.8846153846153846,21.0,60.0000000000000000,423,1.0
PIERCE,FROM_BELOW,180,68.4137931034482759,28.0,91.0,147.4,59.2068965517241379,40.0,105.0000000000000000,423,3.0
PIERCE,FROM_BELOW,300,73.3235294117647059,48.0,106.5,150.9,63.6470588235294118,46.5,158.1818181818181818,423,5.0
PIERCE,FROM_BELOW,900,82.2786885245901639,56.0,116.0,181.0,90.0655737704918033,65.0,522.8571428571428571,423,15.0
PIERCE,FROM_BELOW,1800,97.1538461538461538,69.0,140.0,198.0,103.9450549450549451,78.0,908.4705882352941176,423,30.0
TOUCH,FROM_ABOVE,60,51.4347826086956522,17.0,38.0,179.80000000000007,54.6086956521739130,15.0,60.0000000000000000,463,1.0
TOUCH,FROM_ABOVE,180,54.0740740740740741,17.0,46.0,185.20000000000005,56.6666666666666667,26.0,133.3333333333333333,463,3.0
TOUCH,FROM_ABOVE,300,62.1428571428571429,26.0,69.0,172.8,61.8285714285714286,37.0,216.6666666666666667,463,5.0
TOUCH,FROM_ABOVE,900,77.3269230769230769,46.0,100.5,199.19999999999996,76.1730769230769231,53.0,483.3333333333333333,463,15.0
TOUCH,FROM_ABOVE,1800,78.9204545454545455,50.0,98.25,208.29999999999995,86.8636363636363636,61.0,1003.0769230769230769,463,30.0
TOUCH,FROM_BELOW,60,60.6785714285714286,18.5,50.0,181.0,46.8571428571428571,29.0,60.0000000000000000,488,1.0
TOUCH,FROM_BELOW,180,63.6333333333333333,24.5,55.75,177.00000000000003,55.6000000000000000,43.0,137.1428571428571429,488,3.0
TOUCH,FROM_BELOW,300,91.3333333333333333,37.0,119.5,204.80000000000013,70.6666666666666667,62.0,235.0000000000000000,488,5.0
TOUCH,FROM_BELOW,900,86.8676470588235294,64.0,107.5,152.60000000000014,117.7352941176470588,70.5,519.6226415094339623,488,15.0
TOUCH,FROM_BELOW,1800,104.7708333333333333,82.0,141.25,191.5,139.0937500000000000,97.5,949.7727272727272727,488,30.0
