session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-03-16,195.333256,176.985960,4.118993,2.005803
2025-03-17,336.401352,343.028144,1.678428,1.904811
2025-03-18,324.535628,208.487492,5.048040,5.051108
2025-03-19,755.326724,324.151628,2.746686,7.239247
2025-03-20,256.321260,207.718548,2.818198,3.750013
2025-03-21,418.433636,215.467692,3.514089,7.342768
2025-03-22,,,,
2025-03-23,191.925452,71.594336,2.135656,2.182582
2025-03-24,209.899372,101.517168,2.715124,4.697009
2025-03-25,317.112596,90.525012,2.230774,3.250230
2025-03-26,171.326672,363.448456,3.629297,4.552972
2025-03-27,277.838800,446.004452,3.530190,3.382655
2025-03-28,160.879560,326.125684,4.942402,3.739045
2025-03-29,,,,
2025-03-30,187.542108,369.402788,39.993216,2.248209
2025-03-31,511.840684,283.076924,2.206115,1.300768
2025-04-01,784.398848,324.359160,2.968534,1.841590
2025-04-02,1465.264084,2926.525604,6.113508,2.769736
2025-04-03,261.804872,664.525188,1.977046,2.578612
2025-04-04,694.441648,1148.679460,2.521840,2.960370
2025-04-06,1136.333332,796.949924,,4.253829
2025-04-07,854.552960,913.147556,2.727131,3.274872
2025-04-08,528.580464,1916.150684,5.858231,2.160189
2025-04-09,1695.749016,1286.562480,2.309556,4.142594
2025-04-10,716.872148,1509.070296,2.629616,4.029898
2025-04-11,472.463332,641.536668,6.955671,9.444793
2025-04-13,449.077220,326.154860,14.514149,2.548012
2025-04-14,436.538404,741.828156,1.995955,3.339813
2025-04-15,199.346368,1070.020304,2.778697,2.763844
2025-04-16,687.310120,766.862260,2.105774,2.161014
2025-04-17,261.616060,390.680984,2.305295,2.421148
2025-04-20,269.333332,389.666668,,
2025-04-21,823.371296,147.494972,2.477341,5.278243
2025-04-22,1676.805988,300.999424,3.578843,1.573157
2025-04-23,278.900408,497.754028,1.415339,2.430467
2025-04-24,619.415688,196.212468,2.785482,2.522044
2025-04-25,427.989068,307.149908,3.404961,4.263607
2025-04-27,95.600804,236.540012,4.908173,2.545182
2025-04-28,557.850852,291.259672,1.975636,4.856265
2025-04-29,168.999352,470.284928,4.921952,3.391078
2025-04-30,1406.017256,229.410352,2.768595,1.013691
2025-05-01,192.363712,826.230688,3.008644,3.603592
2025-05-02,183.932324,247.887048,4.828083,3.169792
2025-05-03,,,,
2025-05-04,103.000000,232.450128,,2.245355
2025-05-05,161.821200,488.377336,5.596128,2.312505
2025-05-06,875.370288,397.742380,3.907392,3.158065
2025-05-07,812.555412,463.963760,3.288362,3.107319
2025-05-08,255.920516,625.609824,1.800799,2.709066
2025-05-09,188.353748,182.023152,4.480624,6.077480
2025-05-11,283.080828,223.333332,3.260217,
2025-05-12,307.206752,231.391372,3.892716,3.755276
2025-05-13,169.502240,207.497760,2.779887,3.403025
2025-05-14,196.227928,140.247408,3.665419,5.725566
2025-05-15,139.118248,432.773164,0.947276,2.530022
2025-05-16,152.104948,350.577732,2.376356,4.552733
2025-05-17,,,,
2025-05-18,262.258276,272.515204,2.601564,2.137473
2025-05-19,271.504220,167.232080,3.694786,2.533700
2025-05-20,255.488452,323.235240,2.087500,2.814112
2025-05-21,343.536812,555.149268,4.586398,2.982934
2025-05-22,198.506736,501.600644,1.431414,2.685565
2025-05-23,143.282124,364.274508,18.207484,2.999903
2025-05-24,,,,
2025-05-25,433.432428,637.567572,4.360354,6.413964
2025-05-26,93.279512,134.656664,4.619419,2.131037
2025-05-27,119.724788,158.098260,2.386707,3.190781
2025-05-28,1213.292752,469.081300,2.249530,2.782584
2025-05-29,260.931488,264.479772,3.402520,3.199320
2025-05-30,482.714068,151.830380,1.641053,1.192646
2025-06-01,110.692776,134.634596,8.639835,2.463537
2025-06-02,285.526648,167.644192,2.178642,1.320280
2025-06-03,113.026864,258.327924,1.970887,3.355058
2025-06-04,69.347248,258.414224,3.642358,4.977590
2025-06-05,154.764580,685.357564,7.819559,2.998190
2025-06-06,150.168992,187.161392,2.415731,2.089392
2025-06-08,158.897652,132.102348,4.090681,3.400859
2025-06-09,114.976988,199.010848,1.451491,2.428854
2025-06-10,350.186148,144.975412,1.892425,4.495188
2025-06-11,249.474476,344.979264,9.164437,1.815180
2025-06-12,88.325600,1114.329208,29.463513,1.920098
2025-06-13,262.599416,386.417992,1.919022,1.871146
