session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2024-07-01,223.740740,199.056628,3.854149,3.035431
2024-07-02,168.394864,66.103108,2.436208,8.781600
2024-07-03,44.333332,46.903592,,2.120526
2024-07-04,76.521468,48.666668,2.459722,49863.389344
2024-07-05,82.189780,94.064756,2.559157,2.785293
2024-07-07,61.131656,62.405308,2.366994,2.203553
2024-07-08,377.416532,125.528208,3.242620,2.684963
2024-07-09,179.630004,56.912940,3.437014,2.468378
2024-07-10,160.041144,75.706940,3.354575,1.624025
2024-07-11,240.641180,149.154648,2.188723,2.142125
2024-07-12,139.788188,542.121520,3.069066,2.083775
2024-07-14,134.410812,110.899772,2.372336,2.470699
2024-07-15,228.034856,327.877484,2.866799,4.358003
2024-07-16,241.447500,120.174680,1.999684,5.019230
2024-07-17,157.281004,272.178672,2.014544,3.950940
2024-07-18,452.539184,380.934180,2.972301,2.834202
2024-07-19,267.413244,143.012096,2.591073,2.329989
2024-07-21,215.023028,112.521188,1.983554,1.074159
2024-07-22,142.128284,308.998708,2.590452,4.206418
2024-07-23,154.185016,663.397880,2.364339,4.380878
2024-07-24,151.160948,407.197200,0.911411,2.367525
2024-07-25,145.522788,887.636816,0.784452,2.581874
2024-07-26,307.158700,313.906680,6.806711,3.771021
2024-07-28,286.553216,109.224384,2.152113,37.414478
2024-07-29,128.319364,423.904196,1.464128,3.927863
2024-07-30,598.793972,796.789236,2.675258,4.617886
2024-07-31,839.310908,237.135244,3.107697,1.137917
2024-08-01,438.258504,439.386580,2.854298,2.869616
2024-08-02,355.694788,219.678012,3.290384,2.199663
2024-08-04,202.526868,425.406148,2.448044,2.062191
2024-08-05,1137.111100,497.850436,2.523617,1.880867
2024-08-06,245.274444,1192.632436,2.981126,3.141038
2024-08-07,223.182288,1182.347360,1.037097,3.070785
2024-08-08,429.987508,360.956412,3.358962,3.858752
2024-08-09,107.061304,210.850632,1.272740,2.229150
2024-08-11,293.120812,282.879188,5.733265,5.532945
2024-08-12,233.986680,175.698452,4.558385,3.000916
2024-08-13,218.866284,182.755720,2.970850,3.837851
2024-08-14,333.241564,144.971516,2.861516,3.556434
2024-08-15,244.700248,136.789300,5.041272,4.560812
2024-08-16,71.815436,147.207884,2.027060,3.104613
2024-08-18,116.823376,99.535984,4.263220,2.619501
2024-08-19,406.871632,66.042536,2.181781,9.249867
2024-08-20,175.056220,174.236164,1.829216,2.466235
2024-08-21,193.834160,254.483648,2.158481,2.849581
2024-08-22,165.708064,318.051024,5.612792,2.570385
2024-08-23,225.221648,162.713628,3.481655,5.888325
2024-08-25,185.576440,235.771312,1.738807,1.957800
2024-08-26,228.333896,204.323232,2.529287,2.168413
2024-08-27,87.291936,357.421536,2.733545,3.672806
2024-08-28,385.513952,874.666004,1.943993,2.983767
2024-08-29,124.170812,580.991212,10.058158,1.776148
2024-08-30,444.676848,110.544280,2.393955,2.519681
2024-09-01,88.717092,113.078256,2.471990,2.876724
2024-09-02,55.191564,272.695292,3.032871,1.889592
2024-09-03,133.779416,707.039324,5.572293,2.807093
2024-09-04,166.203500,330.497788,1.442695,2.805142
2024-09-05,244.505352,504.722240,2.438263,3.222716
2024-09-06,223.469100,407.672464,2.875563,4.222364
2024-09-08,249.411600,125.101864,2.159496,2.540848
2024-09-09,407.500760,255.613008,2.811679,1.998943
2024-09-10,217.424948,119.687336,1.956562,1.161858
2024-09-11,656.351728,105.781048,2.264712,5.568534
2024-09-12,140.496152,342.383372,2.105228,4.810264
2024-09-13,125.610060,167.389940,2.414875,3.218101
