event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,35,0.34285714285714285714,27.0,164.0,110.5,
CROSS,1,moderate,102,0.43137254901960784314,40.0,117.5,142.89999999999998,300.0000000000000000
CROSS,1,steep,225,0.36000000000000000000,43.0,186.0,141.89999999999998,300.0000000000000000
CROSS,2,flat,28,0.35714285714285714286,35.0,116.5,118.84999999999998,300.0000000000000000
CROSS,2,moderate,81,0.38271604938271604938,49.0,98.0,99.30000000000007,300.0000000000000000
CROSS,2,steep,152,0.34868421052631578947,41.0,174.0,240.84999999999994,300.0000000000000000
CROSS,3,flat,13,0.38461538461538461538,50.0,100.0,111.35,300.0000000000000000
CROSS,3,moderate,73,0.41095890410958904110,48.0,104.0,101.5,300.0000000000000000
CROSS,3,steep,104,0.42307692307692307692,38.0,152.0,282.79999999999995,300.0000000000000000
CROSS,4,flat,13,0.46153846153846153846,58.0,120.0,80.5,300.0000000000000000
CROSS,4,moderate,51,0.35294117647058823529,17.5,92.5,218.20000000000005,300.0000000000000000
CROSS,4,steep,76,0.47368421052631578947,38.0,131.0,159.2999999999999,248.5714285714285714
CROSS,5,flat,6,0.33333333333333333333,83.5,239.5,145.15,
CROSS,5,moderate,35,0.51428571428571428571,25.0,87.0,48.599999999999994,300.0000000000000000
CROSS,5,steep,67,0.49253731343283582090,64.0,135.0,132.6,240.0000000000000000
CROSS,6,flat,4,0.25000000000000000000,,,,
CROSS,6,moderate,34,0.38235294117647058824,21.0,117.0,102.69999999999993,180.0000000000000000
CROSS,6,steep,50,0.44000000000000000000,26.0,148.0,126.6,300.0000000000000000
CROSS,7,flat,8,0.50000000000000000000,5.0,70.0,5.0,
CROSS,7,moderate,30,0.40000000000000000000,12.5,54.5,54.5,300.0000000000000000
CROSS,7,steep,48,0.45833333333333333333,51.0,82.5,96.09999999999998,
CROSS,8,flat,8,0.37500000000000000000,,,,
CROSS,8,moderate,23,0.43478260869565217391,27.0,29.0,27.0,300.0000000000000000
CROSS,8,steep,29,0.65517241379310344828,40.0,201.0,40.0,
CROSS,9,flat,8,0.50000000000000000000,,,,
CROSS,9,moderate,20,0.30000000000000000000,,,,
CROSS,9,steep,43,0.39534883720930232558,2.0,35.0,2.0,
CROSS,10,flat,7,0.71428571428571428571,39.0,18.0,39.0,300.0000000000000000
CROSS,10,moderate,16,0.50000000000000000000,5.0,45.0,5.0,
