touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,435,57.6143790849673203,173.1503267973856209
2,363,62.1349206349206349,166.7063492063492063
3,279,59.9722222222222222,131.5972222222222222
4,224,52.0416666666666667,133.4375000000000000
5,185,63.0740740740740741,120.8888888888888889
6,162,44.2727272727272727,101.8636363636363636
7,146,30.6666666666666667,71.2500000000000000
8,133,60.6000000000000000,84.0000000000000000
9,128,2.0000000000000000,35.0000000000000000
10,123,44.5000000000000000,53.7500000000000000
11,121,59.3333333333333333,49.0000000000000000
12,118,92.0000000000000000,14.0000000000000000
13,117,150.0000000000000000,93.7500000000000000
14,115,44.4000000000000000,20.4000000000000000
15,110,33.8571428571428571,41.8571428571428571
16,109,28.1250000000000000,31.6250000000000000
17,106,33.5000000000000000,33.1250000000000000
18,104,42.2857142857142857,25.8571428571428571
19,102,44.8888888888888889,72.0000000000000000
20,99,19.3750000000000000,25.2500000000000000
21,96,17.2500000000000000,25.8750000000000000
22,93,19.5714285714285714,20.5714285714285714
23,91,33.3750000000000000,28.5000000000000000
24,84,21.1428571428571429,38.4285714285714286
25,81,37.0000000000000000,62.8571428571428571
26,79,33.0000000000000000,52.0000000000000000
27,76,47.0000000000000000,29.2857142857142857
28,73,21.5714285714285714,46.4285714285714286
29,68,25.0000000000000000,5.3333333333333333
30,64,49.0000000000000000,80.0000000000000000
31,61,14.0000000000000000,39.6666666666666667
32,58,129.0000000000000000,50.5000000000000000
33,56,50.0000000000000000,53.7500000000000000
34,53,56.3333333333333333,132.0000000000000000
35,52,14.0000000000000000,161.0000000000000000
36,51,69.0000000000000000,177.0000000000000000
37,49,93.3333333333333333,215.0000000000000000
38,47,84.3333333333333333,224.6666666666666667
39,46,87.0000000000000000,27.0000000000000000
40,45,57.0000000000000000,57.0000000000000000
41,45,42.6666666666666667,87.3333333333333333
42,44,49.5000000000000000,58.0000000000000000
43,41,29.5000000000000000,80.0000000000000000
44,41,48.7500000000000000,67.2500000000000000
45,39,60.6666666666666667,79.0000000000000000
46,38,45.4000000000000000,48.4000000000000000
47,35,57.0000000000000000,35.2000000000000000
48,34,20.8571428571428571,39.8571428571428571
49,31,25.8000000000000000,43.6000000000000000
50,31,21.6666666666666667,18.3333333333333333
51,29,18.2500000000000000,28.2500000000000000
52,26,36.2000000000000000,22.8000000000000000
53,24,18.0000000000000000,32.6666666666666667
54,23,14.5000000000000000,26.3333333333333333
55,23,25.5555555555555556,33.6666666666666667
56,22,12.6666666666666667,34.3333333333333333
57,21,13.6666666666666667,26.5000000000000000
58,18,9.2500000000000000,32.5000000000000000
59,18,17.1666666666666667,22.1666666666666667
60,16,13.7500000000000000,24.5000000000000000
61,15,13.5000000000000000,68.7500000000000000
62,14,15.3333333333333333,21.3333333333333333
63,12,90.5000000000000000,21.0000000000000000
64,11,,
65,10,,
66,9,59.0000000000000000,84.0000000000000000
67,8,36.5000000000000000,63.0000000000000000
68,8,-45.0000000000000000,101.0000000000000000
69,8,,
70,8,,
71,7,,
72,7,35.0000000000000000,52.0000000000000000
73,7,,
74,6,,
75,6,109.0000000000000000,108.0000000000000000
76,6,29.0000000000000000,28.0000000000000000
77,6,8.0000000000000000,63.0000000000000000
78,6,6.0000000000000000,46.0000000000000000
79,5,,
80,5,,
81,5,,
82,4,,
83,4,,
84,4,,
85,3,,
86,2,,
87,2,,
88,2,,
89,2,,
90,2,,
91,2,,
92,2,,
93,2,,
94,2,,
95,2,,
96,2,,
97,2,,
98,2,,
99,2,,
100,2,,
101,2,,
102,2,,
103,2,15.0000000000000000,33.0000000000000000
104,2,,
105,2,,
106,2,,
107,2,25.0000000000000000,6.0000000000000000
108,2,18.0000000000000000,13.0000000000000000
109,1,,
110,1,,
111,1,,
112,1,,
113,1,,
114,1,,
115,1,,
116,1,,
117,1,,
118,1,36.0000000000000000,12.0000000000000000
119,1,37.0000000000000000,11.0000000000000000
120,1,37.0000000000000000,11.0000000000000000
121,1,,
122,1,,
123,1,,
124,1,,
125,1,,
126,1,,
127,1,,
128,1,11.0000000000000000,20.0000000000000000
129,1,10.0000000000000000,21.0000000000000000
130,1,9.0000000000000000,22.0000000000000000
