hour,minute,avg_reaction_size,event_count
0,0,1.00000000000000000000,8
0,1,22.0000000000000000,11
0,2,,8
0,3,,9
0,4,,8
0,5,,15
0,6,,10
0,7,,6
0,8,,6
0,9,,6
0,10,,10
0,11,,6
0,12,,11
0,13,20.0000000000000000,8
0,14,8.0000000000000000,6
0,15,13.0000000000000000,6
0,16,16.0000000000000000,3
0,17,,6
0,18,26.0000000000000000,14
0,19,28.0000000000000000,12
0,20,57.0000000000000000,8
0,21,,9
0,22,,10
0,23,8.0000000000000000,10
0,24,20.0000000000000000,8
0,25,,7
0,26,,7
0,27,,7
0,28,,6
0,29,,7
0,30,,5
0,31,,11
0,32,,9
0,33,,5
0,34,,10
0,35,,7
0,36,,4
0,37,,4
0,38,,7
0,39,,7
0,40,,5
0,41,,3
0,42,,6
0,43,,4
0,44,,5
0,45,,6
0,46,,8
0,47,,5
0,48,,2
0,49,,5
0,50,,6
0,51,,6
0,52,3.0000000000000000,8
0,53,,4
0,54,,5
0,55,,5
0,56,,4
0,57,,8
0,58,17.0000000000000000,7
0,59,,5
1,0,,7
1,1,,5
1,2,4.0000000000000000,5
1,3,,7
1,4,21.0000000000000000,7
1,5,,7
1,6,13.0000000000000000,8
1,7,,6
1,8,,5
1,9,,7
1,10,,9
1,11,,6
1,12,,7
1,13,,9
1,14,,5
1,15,,7
1,16,11.0000000000000000,5
1,17,,8
1,18,,8
1,19,,7
1,20,,9
1,21,,5
1,22,,3
1,23,,6
1,24,,4
1,25,,4
1,26,,4
1,27,,5
1,28,,4
1,29,,1
1,30,,6
1,31,,2
1,32,,2
1,33,,5
1,34,,3
1,35,,4
1,36,,1
1,37,,2
1,38,,4
1,39,,5
1,40,,4
1,41,,6
1,42,,5
1,43,,5
1,44,,6
1,45,,6
1,46,10.0000000000000000,8
1,47,26.0000000000000000,5
1,48,16.0000000000000000,6
1,49,,5
1,50,15.0000000000000000,5
1,51,,3
1,52,17.0000000000000000,3
1,53,,5
1,54,,2
1,55,7.0000000000000000,3
1,56,,2
1,57,33.0000000000000000,4
1,58,41.0000000000000000,5
1,59,42.0000000000000000,3
2,0,,3
2,1,19.0000000000000000,6
2,2,,4
2,3,,3
2,4,,5
2,5,,3
2,6,,4
2,7,,6
2,8,,2
2,9,,2
2,10,,3
2,11,,2
2,12,,3
2,13,,3
2,14,,3
2,15,,3
2,16,,3
2,17,,5
2,18,,4
2,19,,5
2,20,,4
2,21,,3
2,22,,3
2,23,,1
2,24,,2
2,25,,3
2,26,,2
2,27,,1
2,28,,2
2,29,,4
2,30,,3
2,31,,4
2,32,,4
2,33,,3
2,34,,3
2,35,,3
2,36,,3
2,37,,1
2,38,,2
2,39,,4
2,40,,1
2,41,,2
2,42,,2
2,43,,2
2,44,,1
2,45,,3
2,46,,4
2,47,,5
2,48,,3
2,49,,5
2,50,,5
2,51,,5
2,52,,6
2,53,,1
2,54,,5
2,55,,1
2,56,,1
2,57,,5
2,58,,4
2,59,,3
3,0,,7
3,1,,7
3,2,,5
3,3,,6
3,4,,4
3,5,,6
3,6,,5
3,7,,3
3,8,,6
3,9,,3
3,10,,4
3,11,,5
3,12,,3
3,13,,5
3,14,,5
3,15,,1
3,16,,4
3,17,,3
3,18,,5
3,19,,2
3,20,,1
3,21,,3
3,23,,3
3,24,,2
3,25,,2
3,26,,3
3,27,,2
3,28,,1
3,29,,1
3,30,,5
3,31,,2
3,32,,3
3,33,,3
3,34,,4
3,35,,4
3,36,,3
3,37,,3
3,38,,3
3,39,,3
3,40,,6
3,41,,4
3,42,,4
3,43,,3
3,44,,2
3,45,,2
3,46,,3
3,47,,3
3,48,,3
3,49,,4
3,50,,1
3,51,,2
3,52,,1
3,53,,4
3,54,,2
3,55,,1
3,56,,1
3,57,,3
3,58,,1
3,59,,3
4,0,,4
4,1,,3
4,2,,3
4,3,,2
4,4,,4
4,5,,3
4,6,,3
4,7,,5
4,8,,1
4,10,,3
4,11,,4
4,12,,4
4,13,,4
4,14,,4
4,15,,5
4,16,,1
4,17,,2
4,18,,2
4,19,,2
4,20,,2
4,21,,4
