event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,40.1728395061728395,23.0,47.0,94.80000000000001,106.4567901234567901,79.0,60.0000000000000000,1265,1.0
CROSS,FROM_ABOVE,180,41.8470588235294118,24.5,52.0,95.0,105.7352941176470588,79.0,127.5000000000000000,1265,3.0
CROSS,FROM_ABOVE,300,43.5252525252525253,27.5,57.0,93.60000000000002,104.2272727272727273,81.0,218.5714285714285714,1265,5.0
CROSS,FROM_ABOVE,900,65.8358662613981763,37.0,73.0,134.99999999999994,106.6899696048632219,87.0,596.7326732673267327,1265,15.0
CROSS,FROM_ABOVE,1800,84.7489177489177489,53.0,93.75,205.0,107.4437229437229437,86.5,1094.0740740740740741,1265,30.0
CROSS,FROM_BELOW,60,35.5220125786163522,27.0,56.0,73.20000000000002,107.7735849056603774,82.0,60.0000000000000000,1277,1.0
CROSS,FROM_BELOW,180,36.7090909090909091,30.0,56.0,73.6,107.7575757575757576,82.0,123.2432432432432432,1277,3.0
CROSS,FROM_BELOW,300,40.1542288557213930,34.0,57.0,79.0,106.0348258706467662,82.0,234.3243243243243243,1277,5.0
CROSS,FROM_BELOW,900,54.0376811594202899,44.0,71.0,112.60000000000002,113.7043478260869565,82.0,621.0000000000000000,1277,15.0
CROSS,FROM_BELOW,1800,75.9219409282700422,55.0,95.75,150.7,112.7067510548523207,81.0,1106.8055555555555556,1277,30.0
PIERCE,FROM_ABOVE,60,40.4848484848484848,15.0,52.0,94.0,32.8787878787878788,14.0,60.0000000000000000,367,1.0
PIERCE,FROM_ABOVE,180,42.6486486486486486,24.0,52.0,92.0,34.2702702702702703,17.0,116.6666666666666667,367,3.0
PIERCE,FROM_ABOVE,300,43.0487804878048780,29.0,54.0,92.0,38.1707317073170732,26.0,163.6363636363636364,367,5.0
PIERCE,FROM_ABOVE,900,53.9016393442622951,44.0,63.0,96.0,51.9672131147540984,42.0,514.0909090909090909,367,15.0
PIERCE,FROM_ABOVE,1800,60.3932584269662921,46.0,77.0,115.80000000000007,57.1235955056179775,51.0,901.5789473684210526,367,30.0
PIERCE,FROM_BELOW,60,27.2894736842105263,13.5,33.75,73.0,21.2894736842105263,14.5,60.0000000000000000,403,1.0
PIERCE,FROM_BELOW,180,37.4000000000000000,17.0,47.0,97.4,27.2250000000000000,15.5,112.9411764705882353,403,3.0
PIERCE,FROM_BELOW,300,52.7000000000000000,27.5,72.75,102.70000000000002,34.7000000000000000,17.5,227.2727272727272727,403,5.0
PIERCE,FROM_BELOW,900,62.8840579710144928,46.0,81.0,119.60000000000002,43.4202898550724638,32.0,541.0909090909090909,403,15.0
PIERCE,FROM_BELOW,1800,75.1086956521739130,51.0,96.25,148.90000000000006,57.1739130434782609,43.0,966.3529411764705882,403,30.0
TOUCH,FROM_ABOVE,60,38.4186046511627907,12.0,32.5,83.80000000000003,32.6046511627906977,13.0,60.0000000000000000,559,1.0
TOUCH,FROM_ABOVE,180,43.9333333333333333,20.0,38.0,99.00000000000001,33.6888888888888889,18.0,130.4347826086956522,559,3.0
TOUCH,FROM_ABOVE,300,54.1785714285714286,26.5,62.25,104.0,35.9464285714285714,20.0,211.7647058823529412,559,5.0
TOUCH,FROM_ABOVE,900,58.8481012658227848,41.0,70.5,106.80000000000003,40.9620253164556962,34.0,477.9661016949152542,559,15.0
TOUCH,FROM_ABOVE,1800,62.4587155963302752,46.0,78.0,115.00000000000001,55.4770642201834862,47.0,872.8421052631578947,559,30.0
TOUCH,FROM_BELOW,60,22.4130434782608696,11.0,19.75,69.5,24.7391304347826087,14.0,60.0000000000000000,444,1.0
TOUCH,FROM_BELOW,180,25.4468085106382979,12.0,32.0,77.4,27.8297872340425532,20.0,123.0000000000000000,444,3.0
TOUCH,FROM_BELOW,300,34.6481481481481481,17.0,42.5,88.60000000000002,30.2777777777777778,21.0,216.0000000000000000,444,5.0
TOUCH,FROM_BELOW,900,51.2987012987012987,40.0,77.0,104.4,50.0000000000000000,40.0,518.3606557377049180,444,15.0
TOUCH,FROM_BELOW,1800,57.4285714285714286,41.0,82.0,116.6000000000001,58.0285714285714286,44.0,960.0000000000000000,444,30.0
