hour,minute,avg_reaction_size,event_count
0,0,,14
0,1,,18
0,2,10.0000000000000000,21
0,3,,15
0,4,,13
0,5,6.0000000000000000,14
0,6,16.0000000000000000,15
0,7,,10
0,8,,9
0,9,,10
0,10,,7
0,11,,9
0,12,,10
0,13,,6
0,14,,10
0,15,,10
0,16,,10
0,17,,12
0,18,,13
0,19,,12
0,20,,14
0,21,,11
0,22,,10
0,23,,15
0,24,,10
0,25,,15
0,26,,13
0,27,,9
0,28,,12
0,29,,8
0,30,,18
0,31,,15
0,32,,9
0,33,,8
0,34,,5
0,35,,12
0,36,,9
0,37,,11
0,38,,12
0,39,,8
0,40,,17
0,41,,7
0,42,,12
0,43,,11
0,44,,13
0,45,,12
0,46,,7
0,47,,7
0,48,,8
0,49,,7
0,50,,4
0,51,,7
0,52,,2
0,53,,3
0,54,,2
0,55,,2
0,56,,3
0,57,,5
0,58,,6
0,59,,7
1,0,,8
1,1,,8
1,2,,9
1,3,,7
1,4,,9
1,5,,9
1,6,,7
1,7,,12
1,8,,9
1,9,,7
1,10,,9
1,11,,10
1,12,,7
1,13,,8
1,14,,7
1,15,,6
1,16,,8
1,17,,6
1,18,,7
1,19,,10
1,20,,10
1,21,,5
1,22,,7
1,23,,6
1,24,,7
1,25,,7
1,26,,7
1,27,,5
1,28,,9
1,29,,7
1,30,,7
1,31,,5
1,32,,9
1,33,,6
1,34,,7
1,35,,6
1,36,6.0000000000000000,14
1,37,,5
1,38,,6
1,39,,5
1,40,,7
1,41,,8
1,42,11.0000000000000000,4
1,43,,5
1,44,,6
1,45,,2
1,46,,6
1,47,,3
1,48,,7
1,49,,6
1,50,,4
1,51,,7
1,52,,8
1,53,,6
1,54,,6
1,55,,6
1,56,,6
1,57,,6
1,58,,7
1,59,,5
2,0,,5
2,1,,4
2,2,,9
2,3,,8
2,4,,9
2,5,,6
2,6,,7
2,7,,6
2,8,,3
2,9,,6
2,10,,5
2,11,,5
2,12,,5
2,13,,5
2,14,,5
2,15,,5
2,16,,4
2,17,,6
2,18,,5
2,19,,8
2,20,,7
2,21,,8
2,22,,5
