session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2024-09-16,154.103892,125.299776,4.385734,5.528398
2024-09-17,215.750472,292.895724,3.426819,10.284647
2024-09-18,458.155448,687.708756,1.934686,2.967488
2024-09-19,138.255944,371.798412,2.544493,2.363992
2024-09-20,312.201136,175.055140,2.376879,2.478435
2024-09-22,275.748316,109.132944,1.832582,17.010114
2024-09-23,79.172028,120.827972,6.280559,9.585042
2024-09-24,148.739012,174.091912,2.521325,2.700133
2024-09-25,451.104256,171.222852,3.155052,139.325187
2024-09-26,227.193856,89.190240,2.109510,0.888593
2024-09-27,199.143148,256.805264,2.986319,4.248513
2024-09-28,,,,
2024-09-29,189.183660,203.352152,1.868619,24.129720
2024-09-30,513.506376,319.907508,2.895284,2.271393
2024-10-01,279.630968,445.194692,1.671943,2.642152
2024-10-02,183.207916,231.971744,5.491388,11.591333
2024-10-03,251.518532,135.626980,3.711056,115.369483
2024-10-04,332.993192,170.517872,2.165527,13.827443
2024-10-06,90.719240,142.375260,3.883506,2.458200
2024-10-07,149.987752,481.363316,1.532222,2.444654
2024-10-08,263.922284,111.078708,2.210016,4.632628
2024-10-09,203.916580,161.374364,2.522809,12.521001
2024-10-10,181.657260,207.560616,3.817500,12.192940
2024-10-11,144.650156,198.496076,2.664068,3.221537
2024-10-12,,,,
2024-10-13,68.704544,82.829092,3.507827,18.324031
2024-10-14,175.450484,126.981216,5.062948,3.440320
2024-10-15,160.924100,307.118376,1.523442,2.786293
2024-10-16,143.299272,265.494268,2.472909,4.171376
2024-10-17,200.764992,337.076084,1.764512,2.780791
2024-10-18,86.124668,143.875332,14.097462,23.550478
2024-10-20,45.683336,58.774052,2.399414,2.919191
2024-10-21,260.710252,106.950300,3.205963,3.264564
2024-10-22,184.305612,212.947960,5.002078,3.583202
2024-10-23,637.911324,195.451348,2.791288,2.754643
2024-10-24,174.219208,87.518608,2.641281,11.758228
2024-10-25,196.575784,241.839968,7.239977,6.777448
2024-10-26,,,,
2024-10-27,172.188436,158.879356,2.559349,3.280697
2024-10-28,67.807880,192.972644,4.483767,3.103085
2024-10-29,259.921028,74.958692,2.720582,0.974060
2024-10-30,146.527120,590.919292,6.666146,2.761705
2024-10-31,320.790988,171.209012,6.501722,3.470027
2024-11-01,209.975340,174.914304,5.285793,3.388844
2024-11-03,244.733120,200.587488,2.691263,18.155297
2024-11-04,93.925260,294.286892,4.906341,2.597753
2024-11-05,357.391932,119.904316,2.976676,5.619935
2024-11-06,180.634512,125.205036,2.501835,1.761995
2024-11-07,196.011212,139.455460,2.438614,3.045910
2024-11-08,73.846652,118.367676,7.062426,2.711985
2024-11-10,86.666668,117.498680,,2.553684
2024-11-11,239.414664,122.797140,2.692491,5.511055
2024-11-12,119.470868,184.627252,2.388956,3.193455
2024-11-13,104.257028,291.861616,1.792009,2.618053
2024-11-14,164.204792,522.227520,5.119511,2.899822
2024-11-15,220.165504,142.598740,2.303201,6.571258
2024-11-17,256.193252,187.487272,1.708410,4.886537
2024-11-18,129.763456,173.718984,2.763247,22.969174
2024-11-19,294.753040,179.935412,3.898521,3.208989
2024-11-20,520.730148,242.269852,2.054501,0.955857
2024-11-21,136.883036,307.957232,2.535056,3.693807
2024-11-22,169.846452,155.514408,3.370705,3.246131
2024-11-23,,,,
2024-11-24,80.037316,95.143028,2.405345,14.938766
2024-11-25,279.130952,389.101964,3.593357,3.429559
2024-11-26,222.279048,154.668712,2.399047,2.581802
2024-11-27,189.527720,138.698652,4.495091,8.065368
2024-11-28,74.566788,155.585032,1.225141,2.464853
2024-11-29,394.470880,269.739624,1.709558,2.463663
2024-11-30,,,,
2024-12-01,91.598748,107.217708,3.668734,2.883004
2024-12-02,120.589308,98.408956,2.813232,3.578642
2024-12-03,295.949288,60.291368,2.449451,372.380414
2024-12-04,186.403800,127.846144,1.970698,12.788840
2024-12-05,91.283324,241.607916,14.618599,3.852695
2024-12-06,96.481340,104.677676,2.343868,2.276178
2024-12-08,73.438024,88.069644,3.095699,4.618068
2024-12-09,85.624872,209.923508,9.629722,2.114674
2024-12-10,109.491708,245.440804,0.981709,2.143814
2024-12-11,79.230376,185.094372,3.532913,2.744768
2024-12-12,360.414488,285.255724,3.429028,3.905857
2024-12-13,152.060492,155.738976,1.987174,2.123698
