touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,511,67.6941176470588235,182.1882352941176471
2,425,65.4896551724137931,151.8551724137931034
3,345,55.0000000000000000,148.8518518518518519
4,277,64.6909090909090909,118.6181818181818182
5,237,44.2571428571428571,84.3142857142857143
6,205,34.3043478260869565,95.5217391304347826
7,186,46.7142857142857143,72.7619047619047619
8,172,51.8235294117647059,53.2941176470588235
9,168,43.4705882352941176,70.7058823529411765
10,162,46.9166666666666667,43.9166666666666667
11,158,63.3333333333333333,61.6111111111111111
12,152,43.4444444444444444,39.0000000000000000
13,143,30.5714285714285714,35.0000000000000000
14,137,39.9090909090909091,65.5454545454545455
15,132,29.2727272727272727,63.0000000000000000
16,126,49.5714285714285714,60.5000000000000000
17,122,61.6000000000000000,31.8000000000000000
18,118,45.7000000000000000,47.5000000000000000
19,114,56.6000000000000000,76.9000000000000000
20,110,37.1250000000000000,45.5000000000000000
21,108,50.1250000000000000,47.7500000000000000
22,104,37.1250000000000000,44.7500000000000000
23,102,42.6000000000000000,46.6000000000000000
24,96,34.7142857142857143,46.7142857142857143
25,91,51.0000000000000000,37.1111111111111111
26,87,47.7777777777777778,71.2222222222222222
27,84,39.1250000000000000,61.2500000000000000
28,79,36.5000000000000000,71.2500000000000000
29,74,39.2857142857142857,97.4285714285714286
30,71,45.6000000000000000,119.2000000000000000
31,67,70.1111111111111111,56.3333333333333333
32,61,53.0000000000000000,66.3000000000000000
33,57,34.7000000000000000,48.0000000000000000
34,54,73.1111111111111111,58.4444444444444444
35,52,11.8750000000000000,34.1250000000000000
36,49,20.5714285714285714,20.2857142857142857
37,47,32.8750000000000000,32.0000000000000000
38,44,59.9000000000000000,75.4000000000000000
39,43,60.2000000000000000,47.8000000000000000
40,38,28.7500000000000000,48.1250000000000000
41,36,52.1666666666666667,20.8333333333333333
42,34,53.8000000000000000,34.2000000000000000
43,29,21.2000000000000000,45.2000000000000000
44,26,28.4000000000000000,96.2000000000000000
45,25,19.6666666666666667,49.0000000000000000
46,25,23.0000000000000000,17.0000000000000000
47,24,39.5000000000000000,16.5000000000000000
48,23,35.3333333333333333,19.6666666666666667
49,23,34.2500000000000000,25.0000000000000000
50,22,19.2500000000000000,19.2500000000000000
51,21,18.0000000000000000,22.3333333333333333
52,21,12.3333333333333333,22.3333333333333333
53,20,24.0000000000000000,26.0000000000000000
54,19,36.2500000000000000,7.5000000000000000
55,18,45.1666666666666667,27.5000000000000000
56,17,79.2000000000000000,47.2000000000000000
57,17,32.5000000000000000,34.5000000000000000
58,14,23.0000000000000000,15.3333333333333333
59,14,38.0000000000000000,20.7500000000000000
60,13,24.2000000000000000,22.4000000000000000
61,13,20.2857142857142857,34.4285714285714286
62,12,34.4285714285714286,16.5714285714285714
63,11,31.5000000000000000,41.1666666666666667
64,11,65.6000000000000000,25.6000000000000000
65,11,21.2500000000000000,16.0000000000000000
66,9,46.2500000000000000,45.5000000000000000
67,8,19.2500000000000000,81.0000000000000000
68,8,20.2500000000000000,65.2500000000000000
69,7,64.4000000000000000,94.2000000000000000
70,7,34.2500000000000000,64.2500000000000000
71,6,20.6666666666666667,20.3333333333333333
72,4,15.0000000000000000,17.0000000000000000
73,4,18.5000000000000000,8.5000000000000000
74,2,29.0000000000000000,13.0000000000000000
75,2,27.0000000000000000,18.0000000000000000
76,2,17.0000000000000000,21.0000000000000000
77,2,14.0000000000000000,15.0000000000000000
78,1,,
79,1,,
80,1,,
