event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,44.0906040268456376,24.0,51.0,116.60000000000002,109.1308724832214765,84.0,60.0000000000000000,1947,1.0
CROSS,FROM_ABOVE,180,46.6797385620915033,29.0,52.75,120.0,111.2483660130718954,85.0,114.2168674698795181,1947,3.0
CROSS,FROM_ABOVE,300,53.8876712328767123,36.0,67.0,134.60000000000002,119.9698630136986301,90.0,212.6174496644295302,1947,5.0
CROSS,FROM_ABOVE,900,64.1276948590381426,44.0,82.5,140.0,127.7993366500829187,99.0,610.6598984771573604,1947,15.0
CROSS,FROM_ABOVE,1800,93.3131313131313131,61.0,114.25,211.5999999999999,138.1755050505050505,105.0,1053.9655172413793103,1947,30.0
CROSS,FROM_BELOW,60,44.6835016835016835,27.0,52.0,100.0,128.2222222222222222,73.0,60.0000000000000000,1966,1.0
CROSS,FROM_BELOW,180,49.6601307189542484,29.5,58.75,102.5,129.0359477124183007,73.5,120.0000000000000000,1966,3.0
CROSS,FROM_BELOW,300,53.8407821229050279,32.0,65.5,116.30000000000001,134.0446927374301676,82.5,218.8732394366197183,1966,5.0
CROSS,FROM_BELOW,900,70.7897350993377483,42.0,86.25,153.0,137.7764900662251656,95.0,601.2090680100755668,1966,15.0
CROSS,FROM_BELOW,1800,93.8257107540173053,56.0,108.0,217.20000000000005,139.4264524103831891,96.0,1045.7262569832402235,1966,30.0
PIERCE,FROM_ABOVE,60,47.2439024390243902,15.0,72.0,139.0,24.0487804878048780,20.0,60.0000000000000000,482,1.0
PIERCE,FROM_ABOVE,180,49.2093023255813953,24.0,67.5,129.80000000000018,28.7906976744186047,24.0,116.4705882352941176,482,3.0
PIERCE,FROM_ABOVE,300,55.8000000000000000,36.0,76.0,137.0,34.2545454545454545,26.0,211.8750000000000000,482,5.0
PIERCE,FROM_ABOVE,900,75.3000000000000000,53.5,86.5,155.50000000000006,63.8888888888888889,43.0,588.0000000000000000,482,15.0
PIERCE,FROM_ABOVE,1800,80.6370967741935484,62.0,91.5,150.20000000000005,76.1693548387096774,48.5,933.5135135135135135,482,30.0
PIERCE,FROM_BELOW,60,27.0888888888888889,16.0,22.0,77.2,27.4888888888888889,13.0,60.0000000000000000,427,1.0
PIERCE,FROM_BELOW,180,31.7916666666666667,18.0,35.0,79.20000000000002,26.9583333333333333,13.5,133.6363636363636364,427,3.0
PIERCE,FROM_BELOW,300,38.6206896551724138,22.0,53.0,85.80000000000003,35.1724137931034483,22.5,216.0000000000000000,427,5.0
PIERCE,FROM_BELOW,900,68.0649350649350649,33.0,78.0,137.60000000000002,58.5714285714285714,37.0,505.0000000000000000,427,15.0
PIERCE,FROM_BELOW,1800,75.4600000000000000,43.5,89.25,141.0,78.7300000000000000,42.5,962.6966292134831461,427,30.0
TOUCH,FROM_ABOVE,60,40.6956521739130435,12.0,40.0,107.00000000000006,22.6231884057971014,11.0,60.0000000000000000,604,1.0
TOUCH,FROM_ABOVE,180,50.0128205128205128,22.0,57.75,131.69999999999993,29.1025641025641026,14.5,142.5000000000000000,604,3.0
TOUCH,FROM_ABOVE,300,56.3222222222222222,29.0,71.5,135.80000000000015,35.0111111111111111,20.0,217.2413793103448276,604,5.0
TOUCH,FROM_ABOVE,900,67.5038167938931298,44.0,85.0,153.0,46.9236641221374046,38.0,521.5384615384615385,604,15.0
TOUCH,FROM_ABOVE,1800,73.1828571428571429,50.0,87.0,154.2,66.4400000000000000,47.0,875.5414012738853503,604,30.0
TOUCH,FROM_BELOW,60,31.4500000000000000,14.5,22.75,53.60000000000002,27.9166666666666667,15.0,60.0000000000000000,545,1.0
TOUCH,FROM_BELOW,180,34.1451612903225806,17.0,24.0,75.19999999999999,31.2419354838709677,17.5,111.7241379310344828,545,3.0
TOUCH,FROM_BELOW,300,39.0909090909090909,18.0,29.75,110.0,33.0000000000000000,24.5,183.1578947368421053,545,5.0
TOUCH,FROM_BELOW,900,57.5979381443298969,34.0,62.0,151.4,55.3917525773195876,36.0,588.6486486486486486,545,15.0
TOUCH,FROM_BELOW,1800,59.1690140845070423,36.5,70.25,135.9,70.3732394366197183,43.0,1051.1811023622047244,545,30.0
