event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,33,0.39393939393939393939,21.0,126.0,101.35,300.0000000000000000
CROSS,1,moderate,184,0.36413043478260869565,41.0,134.0,132.59999999999997,292.5000000000000000
CROSS,1,steep,216,0.39814814814814814815,55.5,200.5,199.6,300.0000000000000000
CROSS,2,flat,33,0.36363636363636363636,20.0,79.0,39.79999999999998,300.0000000000000000
CROSS,2,moderate,139,0.40287769784172661871,42.5,105.0,207.5,265.7142857142857143
CROSS,2,steep,147,0.39455782312925170068,45.5,159.5,219.39999999999998,300.0000000000000000
CROSS,3,flat,21,0.28571428571428571429,9.0,108.0,17.25,
CROSS,3,moderate,113,0.42477876106194690265,34.0,110.0,144.14999999999998,265.7142857142857143
CROSS,3,steep,115,0.34782608695652173913,38.0,206.0,183.9,300.0000000000000000
CROSS,4,flat,13,0.53846153846153846154,23.0,83.5,37.5,300.0000000000000000
CROSS,4,moderate,91,0.37362637362637362637,30.0,94.0,231.79999999999944,280.0000000000000000
CROSS,4,steep,73,0.49315068493150684932,50.0,92.0,269.4,300.0000000000000000
CROSS,5,flat,13,0.53846153846153846154,81.5,53.5,115.25,300.0000000000000000
CROSS,5,moderate,72,0.37500000000000000000,19.5,82.0,56.75,282.8571428571428571
CROSS,5,steep,63,0.39682539682539682540,28.0,86.0,104.79999999999995,300.0000000000000000
CROSS,6,flat,16,0.56250000000000000000,13.5,72.0,62.25,300.0000000000000000
CROSS,6,moderate,59,0.47457627118644067797,17.0,79.5,91.29999999999995,220.0000000000000000
CROSS,6,steep,52,0.40384615384615384615,23.0,119.0,81.5,
CROSS,7,flat,12,0.58333333333333333333,43.5,56.0,60.349999999999994,300.0000000000000000
CROSS,7,moderate,51,0.47058823529411764706,34.0,66.5,106.49999999999994,180.0000000000000000
CROSS,7,steep,56,0.51785714285714285714,39.5,69.5,50.85,300.0000000000000000
CROSS,8,flat,7,0.57142857142857142857,77.0,66.0,77.0,240.0000000000000000
CROSS,8,moderate,37,0.54054054054054054054,119.5,119.5,176.64999999999998,300.0000000000000000
CROSS,8,steep,50,0.56000000000000000000,45.5,66.5,52.25,180.0000000000000000
CROSS,9,flat,9,0.66666666666666666667,13.0,50.0,33.7,300.0000000000000000
CROSS,9,moderate,41,0.36585365853658536585,30.0,51.0,97.39999999999999,240.0000000000000000
CROSS,9,steep,47,0.55319148936170212766,18.0,81.0,74.39999999999998,150.0000000000000000
CROSS,10,flat,10,0.40000000000000000000,3.0,52.0,3.0,
CROSS,10,moderate,38,0.50000000000000000000,36.5,31.0,106.29999999999998,160.0000000000000000
CROSS,10,steep,50,0.50000000000000000000,74.0,83.0,97.4,120.0000000000000000
CROSS,11,flat,11,0.36363636363636363636,32.5,75.5,56.7,260.0000000000000000
CROSS,11,moderate,42,0.42857142857142857143,26.0,22.0,38.8,260.0000000000000000
