date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2025-09-14,2025-09-14 18:00:00-04:00,CROSS,VWAP,FROM_ABOVE,1,24354.245606,0.104713,24352.250000,7.9824240000000000,23.000000,47.000000,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:01:00-04:00,TOUCH,VWAP,FROM_BELOW,1,24352.003143,3.059048,24346.000000,24.0125720000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:07:00-04:00,CROSS,VWAP,FROM_BELOW,2,24346.706198,5.590852,24348.250000,6.1752080000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:08:00-04:00,PIERCE,VWAP,FROM_ABOVE,2,24347.310104,5.760003,24357.500000,40.7595840000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:10:00-04:00,CROSS,VWAP,FROM_BELOW,1,24347.791435,5.163106,24355.250000,29.8342600000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:15:00-04:00,PIERCE,VWAP,FROM_ABOVE,1,24351.228232,7.522014,24366.750000,62.0870720000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:15:00-04:00,CROSS,VWAP,FROM_BELOW,1,24356.563691,1.096491,24366.750000,40.7452360000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:24:00-04:00,PIERCE,VWAP,FROM_ABOVE,3,24352.698669,7.434772,24356.250000,14.2053240000000000,,,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:25:00-04:00,PIERCE,VWAP,FROM_ABOVE,2,24352.994288,7.425815,24357.000000,16.0228480000000000,81.000000,43.000000,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 18:30:00-04:00,CROSS,VWAP,FROM_BELOW,1,24354.613447,0.139077,24359.500000,19.5462120000000000,33.000000,91.000000,52.546212,80.578836,RTH,30m,2.0
2025-09-14,2025-09-14 19:00:00-04:00,PIERCE,VWAP,FROM_ABOVE,1,24358.932850,2.659694,24364.750000,23.2686000000000000,36.000000,8.000000,52.546212,80.578836,RTH,30m,2.0
