touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,147,28.5310344827586207,36.7724137931034483
2,143,24.4893617021276596,31.4326241134751773
3,140,24.8848920863309353,26.7122302158273381
4,137,21.9705882352941176,24.7867647058823529
5,134,24.2105263157894737,25.9022556390977444
6,131,23.1846153846153846,27.6076923076923077
7,130,23.5813953488372093,24.2093023255813953
8,128,21.2125984251968504,26.2047244094488189
9,127,19.9370078740157480,25.3779527559055118
10,125,22.4080000000000000,23.5520000000000000
11,125,18.8640000000000000,27.7280000000000000
12,122,23.0573770491803279,28.9098360655737705
13,119,26.2352941176470588,26.2689075630252101
14,115,22.1652173913043478,29.6695652173913043
15,113,27.3716814159292035,27.7787610619469027
16,109,23.8073394495412844,28.8715596330275229
17,109,26.5779816513761468,32.1467889908256881
18,106,29.5094339622641509,31.7358490566037736
19,104,24.2692307692307692,29.2500000000000000
20,102,34.3921568627450980,35.6568627450980392
21,100,24.1500000000000000,35.1200000000000000
22,98,28.6020408163265306,32.7551020408163265
23,94,25.8936170212765957,31.0425531914893617
24,91,27.2307692307692308,31.9120879120879121
25,89,29.1573033707865169,32.5955056179775281
26,84,31.6309523809523810,32.3690476190476190
27,81,29.9135802469135802,36.5925925925925926
28,78,30.3589743589743590,34.0512820512820513
29,74,36.1216216216216216,35.4054054054054054
30,70,32.8285714285714286,43.9428571428571429
31,65,26.1846153846153846,33.8769230769230769
32,61,31.4918032786885246,36.6065573770491803
33,61,37.1475409836065574,35.1311475409836066
34,58,31.7068965517241379,39.1206896551724138
35,55,29.9636363636363636,41.2727272727272727
36,52,22.1923076923076923,42.6923076923076923
37,49,31.1632653061224490,32.4489795918367347
38,46,33.6304347826086957,38.4347826086956522
39,45,35.3333333333333333,44.9777777777777778
40,42,33.0714285714285714,39.3333333333333333
41,40,34.1250000000000000,57.3000000000000000
42,40,32.3750000000000000,43.8250000000000000
43,39,38.1794871794871795,39.0000000000000000
44,37,42.2972972972972973,43.2702702702702703
45,35,47.4571428571428571,42.2857142857142857
46,31,58.5161290322580645,38.0645161290322581
47,28,39.6071428571428571,46.9642857142857143
48,25,34.3200000000000000,42.5600000000000000
49,23,36.3478260869565217,45.0434782608695652
50,23,36.6086956521739130,43.7391304347826087
51,20,50.2000000000000000,53.1500000000000000
52,19,33.7368421052631579,45.0526315789473684
53,17,37.0588235294117647,40.5882352941176471
54,16,40.7500000000000000,37.7500000000000000
55,15,36.9333333333333333,44.1333333333333333
56,11,43.2727272727272727,54.9090909090909091
57,11,35.5454545454545455,43.6363636363636364
58,11,39.2727272727272727,42.0909090909090909
59,10,28.3000000000000000,69.6000000000000000
60,8,49.2500000000000000,58.6250000000000000
61,8,44.2500000000000000,54.7500000000000000
62,7,26.5714285714285714,88.0000000000000000
63,7,49.5714285714285714,33.4285714285714286
64,7,34.0000000000000000,59.2857142857142857
65,7,24.8571428571428571,46.7142857142857143
66,5,32.8000000000000000,50.8000000000000000
67,5,38.8000000000000000,49.6000000000000000
68,5,45.6000000000000000,60.0000000000000000
69,5,50.0000000000000000,37.4000000000000000
70,5,39.8000000000000000,66.6000000000000000
71,4,28.2500000000000000,63.5000000000000000
72,4,147.2500000000000000,150.7500000000000000
73,3,45.0000000000000000,31.6666666666666667
74,3,34.3333333333333333,33.0000000000000000
75,2,85.5000000000000000,20.0000000000000000
76,2,71.5000000000000000,11.0000000000000000
77,2,56.5000000000000000,34.0000000000000000
