session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-09-16,231.817648,227.233412,2.013408,1.985601
2025-09-17,578.474964,760.527012,2.257952,2.970958
2025-09-18,480.875496,291.681180,2.251523,1.577948
2025-09-19,436.785500,204.937468,2.520674,3.199547
2025-09-21,57.813728,72.792196,1.635234,1.809208
2025-09-22,475.523368,342.981400,1.664836,3.030068
2025-09-23,105.375696,658.001664,2.980785,3.738459
2025-09-24,219.257540,712.785340,2.349072,2.833208
2025-09-25,424.458716,756.302964,1.219637,1.912927
2025-09-26,470.103468,501.864884,3.107048,2.676244
2025-09-28,96.652828,37.280192,2.259486,37.824870
2025-09-29,358.511068,379.157516,1.949015,2.042293
2025-09-30,439.565264,293.472192,3.139606,2.568391
2025-10-01,704.750100,512.956132,1.867644,2.675671
2025-10-02,322.418820,338.293112,2.127101,2.032432
2025-10-03,147.526768,711.481156,2.246267,3.481052
2025-10-05,159.808236,80.562232,1.964872,5.835487
2025-10-06,479.766636,182.654912,2.625265,1.124285
2025-10-07,369.938424,703.585316,2.434783,2.301128
2025-10-08,139.084944,22.847932,2.583899,1.457197
2025-10-12,330.476548,529.482256,2.567068,8.823187
2025-10-13,478.450804,411.499192,2.366605,2.484539
2025-10-14,1035.283616,991.764356,1.937652,1.792302
2025-10-15,635.577520,1190.158588,2.176993,3.127097
2025-10-16,507.225668,1297.127128,2.244571,2.577698
2025-10-17,1080.969116,922.729160,1.927778,2.155760
2025-10-19,73.316668,250.043016,9.459908,2.780499
2025-10-20,594.896124,142.887436,1.735495,0.831174
2025-10-21,282.829728,276.622816,2.316339,2.294829
2025-10-22,296.546452,1212.483280,2.819323,2.378911
2025-10-23,597.772420,439.335880,1.879772,2.395658
2025-10-24,649.959792,116.852900,4.258617,0.439704
2025-10-26,138.088324,103.106860,7.112631,3.058550
2025-10-27,550.329380,65.963552,2.226422,1.866271
2025-10-28,614.967156,111.911292,2.331536,3.116016
2025-10-29,569.908348,808.149400,2.738433,4.884695
2025-10-30,490.354984,973.364740,1.134656,2.227911
2025-10-31,330.973092,845.824352,3.460258,2.560288
2025-11-02,121.414092,50.566036,1.947866,3.242804
2025-11-03,558.979540,486.283256,2.734981,2.028870
2025-11-04,401.524532,902.992540,1.120792,2.136437
2025-11-05,1035.882976,444.311236,1.834928,1.869850
2025-11-06,439.633432,1224.120896,2.306073,1.834194
2025-11-07,909.374764,1216.176340,1.465157,1.816581
2025-11-09,148.911332,163.331680,5.248695,2.918223
2025-11-10,719.195828,372.104224,1.960265,1.167635
2025-11-11,415.469616,473.238540,1.737521,1.948813
2025-11-12,345.109192,626.782096,2.695059,1.825544
2025-11-13,457.004148,1323.789204,2.214367,1.932443
2025-11-14,136.818172,336.015844,3.009388,2.653894
2025-11-16,321.994812,196.166264,1.965050,1.930823
2025-11-17,430.573400,1368.956368,2.077773,2.616216
2025-11-18,626.533156,1130.786856,1.303984,2.625474
2025-11-19,1540.271680,873.743312,3.068807,1.714230
2025-11-20,486.038416,2870.835752,2.228081,1.788074
2025-11-21,1613.184608,893.103720,2.815953,2.620146
2025-11-23,199.444920,206.555080,7.438997,7.704195
2025-11-24,1072.715520,445.469344,1.650229,2.906809
2025-11-25,1033.748924,961.441980,2.206943,2.620796
2025-11-26,634.517332,256.214204,2.882141,1.693335
2025-11-27,98.570308,103.684132,2.218115,2.726217
2025-11-28,368.467172,154.170728,2.578124,1.895912
2025-11-30,163.333332,194.666668,,
2025-12-01,644.440508,458.921892,2.491926,2.002798
2025-12-02,572.783576,509.337064,2.250426,1.526269
2025-12-03,450.039360,745.515252,1.761748,2.998474
2025-12-04,316.673844,458.431132,3.373531,2.757044
2025-12-05,550.758944,437.046776,2.153445,2.705452
2025-12-06,0.666668,0.333332,,
2025-12-07,61.954348,89.205172,13.204398,2.214076
2025-12-08,260.862236,575.244156,2.383098,2.017474
2025-12-09,310.016292,368.716760,2.073039,2.434270
2025-12-10,818.472444,421.402028,3.004248,2.538314
2025-12-11,1126.048064,824.880600,3.164990,2.184305
2025-12-12,147.833844,1233.943328,2.883702,2.070909
