hour,minute,avg_reaction_size,event_count
0,1,51.2962962962962963,27
0,2,32.5806451612903226,31
0,3,30.3157894736842105,19
0,4,27.2272727272727273,22
0,5,39.0666666666666667,15
0,6,35.4545454545454545,22
0,7,26.2000000000000000,15
0,8,30.7058823529411765,17
0,9,42.4000000000000000,10
0,10,35.4000000000000000,10
0,11,33.4545454545454545,11
0,12,23.8181818181818182,11
0,13,16.8823529411764706,17
0,14,21.2307692307692308,13
0,15,37.4210526315789474,19
0,16,29.5714285714285714,14
0,17,23.6923076923076923,13
0,18,23.6000000000000000,15
0,19,15.3333333333333333,6
0,20,20.3333333333333333,9
0,21,21.4545454545454545,11
0,22,14.9166666666666667,12
0,23,14.8571428571428571,7
0,24,24.8000000000000000,5
0,25,30.5000000000000000,8
0,26,48.1111111111111111,9
0,27,39.1428571428571429,14
0,28,29.5000000000000000,8
0,29,34.7142857142857143,7
0,30,20.8750000000000000,8
0,31,12.4166666666666667,12
0,32,21.9090909090909091,11
0,33,22.6666666666666667,6
0,34,24.0000000000000000,10
0,35,25.2857142857142857,7
0,36,15.5714285714285714,7
0,37,25.0000000000000000,6
0,38,29.6666666666666667,6
0,39,15.2857142857142857,7
0,40,16.0000000000000000,7
0,41,33.3333333333333333,6
0,42,25.0000000000000000,6
0,43,19.6666666666666667,6
0,44,15.6666666666666667,6
0,45,21.3000000000000000,10
0,46,25.6000000000000000,5
0,47,21.8333333333333333,6
0,48,26.4444444444444444,9
0,49,14.4000000000000000,5
0,50,18.6666666666666667,9
0,51,15.7500000000000000,8
0,52,22.4285714285714286,7
0,53,27.6666666666666667,6
0,54,14.6000000000000000,5
0,55,19.2727272727272727,11
0,56,42.5454545454545455,11
0,57,17.8571428571428571,7
0,58,26.4000000000000000,5
0,59,39.1428571428571429,7
1,0,49.3333333333333333,6
1,1,47.6666666666666667,9
1,2,60.5000000000000000,10
1,3,42.7777777777777778,9
1,4,72.0000000000000000,8
1,5,42.3750000000000000,8
1,6,56.3636363636363636,11
1,7,24.2500000000000000,8
1,8,27.6666666666666667,6
1,9,25.6000000000000000,5
1,10,20.0000000000000000,8
1,11,21.8750000000000000,8
1,12,37.8000000000000000,5
1,13,26.6000000000000000,5
1,14,27.0000000000000000,6
1,15,54.0000000000000000,6
1,16,21.0000000000000000,8
1,17,48.3750000000000000,8
1,18,19.0000000000000000,6
1,19,17.2000000000000000,5
1,20,15.2857142857142857,7
1,21,23.0000000000000000,6
1,22,14.3333333333333333,6
1,23,25.3333333333333333,6
1,24,29.6666666666666667,3
1,25,35.5000000000000000,4
1,26,19.8571428571428571,7
1,27,16.5714285714285714,7
1,28,10.1666666666666667,6
1,29,18.0000000000000000,6
1,30,19.2500000000000000,4
1,31,20.0000000000000000,7
1,32,19.8000000000000000,5
1,33,14.9090909090909091,11
1,34,21.6000000000000000,10
1,35,33.1666666666666667,6
1,36,13.2857142857142857,7
1,37,27.0000000000000000,5
1,38,17.0000000000000000,6
1,39,16.0000000000000000,7
1,40,18.0000000000000000,8
1,41,18.2222222222222222,9
1,42,19.5000000000000000,8
1,43,16.4285714285714286,7
1,44,7.0000000000000000,2
1,45,20.4000000000000000,5
1,46,16.3333333333333333,6
1,47,37.3333333333333333,3
1,48,43.6666666666666667,3
1,49,45.4000000000000000,5
1,50,20.6666666666666667,3
1,51,8.0000000000000000,2
1,52,45.5000000000000000,8
1,53,65.2500000000000000,4
1,54,42.0000000000000000,5
1,55,68.5000000000000000,4
1,56,20.2000000000000000,5
1,57,39.6000000000000000,5
1,58,41.7500000000000000,4
1,59,5.0000000000000000,3
2,0,103.0000000000000000,3
2,1,34.6666666666666667,6
2,2,26.0000000000000000,2
2,3,17.5000000000000000,4
2,4,11.0000000000000000,4
2,5,28.2500000000000000,4
2,6,17.0000000000000000,2
2,7,14.3333333333333333,3
2,8,14.2000000000000000,5
2,9,66.3333333333333333,3
2,10,16.5000000000000000,6
2,11,23.0000000000000000,3
2,12,23.2500000000000000,4
2,13,14.2500000000000000,4
2,14,34.2500000000000000,4
2,15,49.2500000000000000,4
2,16,30.0000000000000000,3
2,17,13.3333333333333333,3
2,18,16.6000000000000000,5
2,19,25.6666666666666667,3
2,20,25.0000000000000000,3
2,21,9.3333333333333333,3
2,22,16.2500000000000000,4
2,23,21.0000000000000000,4
2,24,8.0000000000000000,4
2,25,19.4000000000000000,5
2,26,20.6666666666666667,3
2,27,19.6666666666666667,3
2,28,15.8333333333333333,6
2,29,24.5714285714285714,7
2,30,31.3333333333333333,6
2,31,39.0000000000000000,10
2,32,16.1428571428571429,7
2,33,46.0000000000000000,1
2,34,41.6000000000000000,5
2,35,31.3333333333333333,3
2,36,33.6000000000000000,5
2,37,10.2500000000000000,4
2,38,19.0000000000000000,4
2,39,22.0000000000000000,4
2,40,9.4000000000000000,5
2,41,16.0000000000000000,4
2,42,8.0000000000000000,5
2,43,21.0000000000000000,1
2,45,73.3333333333333333,3
2,46,40.4000000000000000,5
2,47,18.5000000000000000,2
2,48,13.0000000000000000,3
2,49,4.7500000000000000,4
2,50,10.6666666666666667,3
2,51,16.1666666666666667,6
2,52,20.6666666666666667,6
2,53,20.5000000000000000,6
2,54,22.4000000000000000,5
2,55,35.1666666666666667,6
2,56,14.0000000000000000,2
2,57,26.2000000000000000,5
2,58,14.0000000000000000,3
2,59,32.3333333333333333,3
3,0,35.0000000000000000,3
3,1,11.0000000000000000,5
3,2,16.0000000000000000,2
3,3,11.5000000000000000,6
3,4,29.2857142857142857,7
3,5,20.5000000000000000,6
3,6,33.2000000000000000,5
3,7,10.4000000000000000,5
3,8,34.7500000000000000,4
3,9,22.0000000000000000,3
3,10,11.6666666666666667,3
3,11,29.8333333333333333,6
3,12,4.3333333333333333,3
3,13,36.4000000000000000,5
3,14,6.2500000000000000,4
3,15,22.0000000000000000,1
3,16,37.0000000000000000,1
3,17,6.5000000000000000,2
3,18,28.5000000000000000,2
3,19,20.0000000000000000,3
3,20,35.5000000000000000,2
3,21,44.0000000000000000,4
3,22,25.0000000000000000,3
3,23,28.2000000000000000,5
3,24,11.6666666666666667,3
3,26,20.5000000000000000,2
3,27,19.0000000000000000,4
3,28,17.0000000000000000,2
3,29,32.5000000000000000,4
3,30,14.0000000000000000,1
3,31,46.1250000000000000,8
3,32,23.0000000000000000,7
3,33,52.5000000000000000,2
3,34,20.0000000000000000,3
3,35,48.8333333333333333,6
3,36,61.2500000000000000,4
3,37,24.5000000000000000,2
3,38,23.2500000000000000,4
3,39,20.5000000000000000,6
3,40,9.8000000000000000,5
3,41,24.0000000000000000,3
3,42,6.0000000000000000,3
3,43,19.5000000000000000,4
3,44,7.0000000000000000,1
3,46,8.0000000000000000,3
3,47,113.0000000000000000,1
3,48,14.5000000000000000,2
3,49,13.2000000000000000,5
3,50,65.0000000000000000,3
3,51,12.6666666666666667,3
3,52,9.0000000000000000,2
3,53,17.5000000000000000,2
3,54,23.3333333333333333,3
3,55,14.5000000000000000,2
3,56,6.0000000000000000,1
3,57,39.0000000000000000,2
3,58,10.0000000000000000,1
3,59,23.0000000000000000,3
4,0,88.0000000000000000,1
4,1,85.0000000000000000,1
4,2,9.0000000000000000,1
4,3,16.5000000000000000,2
4,4,33.0000000000000000,2
4,5,21.0000000000000000,2
4,6,9.0000000000000000,3
4,7,5.6666666666666667,3
4,8,36.5000000000000000,2
4,9,420.0000000000000000,1
4,11,41.0000000000000000,2
4,12,38.0000000000000000,3
4,13,16.5000000000000000,2
4,14,11.0000000000000000,1
4,15,14.3333333333333333,3
4,16,17.2500000000000000,4
4,17,17.3333333333333333,3
4,18,18.0000000000000000,1
4,19,16.0000000000000000,3
4,20,31.0000000000000000,1
4,21,3.0000000000000000,1
4,22,4.5000000000000000,2
4,23,47.6666666666666667,3
4,24,14.0000000000000000,3
4,25,33.0000000000000000,1
4,27,36.5000000000000000,2
4,28,42.0000000000000000,1
4,29,26.6666666666666667,3
4,30,31.0000000000000000,1
4,31,12.0000000000000000,1
4,33,10.5000000000000000,2
4,34,14.0000000000000000,1
4,35,20.0000000000000000,2
4,37,16.0000000000000000,1
4,38,25.2500000000000000,4
