event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,23.5922014622258327,14.0,29.0,54.0,39.6986190089358245,27.0,60.0000000000000000,1231,1.0
CROSS,FROM_ABOVE,180,38.7904142973192526,22.0,48.0,97.0,47.0333062550771730,32.0,121.9979188345473465,1231,3.0
CROSS,FROM_ABOVE,300,48.5775792038992689,28.0,60.0,113.0,53.9398862713241267,35.0,182.4901185770750988,1231,5.0
CROSS,FROM_ABOVE,900,80.0682372055239643,49.0,99.0,194.0,78.2623883021933387,49.0,478.6752529898804048,1231,15.0
CROSS,FROM_ABOVE,1800,113.4524776604386677,66.0,134.0,288.0,101.5767668562144598,65.0,920.1066666666666667,1231,30.0
CROSS,FROM_BELOW,60,21.9775280898876404,13.0,26.0,47.0,39.9783306581059390,27.0,60.0000000000000000,1246,1.0
CROSS,FROM_BELOW,180,34.1067415730337079,20.0,38.0,77.0,48.3756019261637239,32.0,125.5612770339855819,1246,3.0
CROSS,FROM_BELOW,300,42.6468699839486356,25.0,50.0,101.0,55.9558587479935795,36.0,187.7101449275362319,1246,5.0
CROSS,FROM_BELOW,900,71.5280898876404494,41.0,87.75,169.5,82.8491171749598716,52.0,499.1250000000000000,1246,15.0
CROSS,FROM_BELOW,1800,94.8964686998394864,59.0,114.0,214.5,111.7174959871589085,68.0,951.2157534246575342,1246,30.0
PIERCE,FROM_ABOVE,60,18.5895765472312704,13.0,22.0,38.80000000000007,16.1074918566775244,11.0,60.0000000000000000,307,1.0
PIERCE,FROM_ABOVE,180,25.8566775244299674,16.0,31.0,58.600000000000136,24.9771986970684039,18.0,130.7027027027027027,307,3.0
PIERCE,FROM_ABOVE,300,33.9185667752442997,20.0,40.0,82.40000000000003,33.4299674267100977,21.0,196.3366336633663366,307,5.0
PIERCE,FROM_ABOVE,900,54.9185667752442997,36.0,69.5,124.20000000000027,53.6547231270358306,32.0,513.9669421487603306,307,15.0
PIERCE,FROM_ABOVE,1800,76.8045602605863192,46.0,92.5,176.00000000000017,71.7850162866449511,44.0,981.1627906976744186,307,30.0
PIERCE,FROM_BELOW,60,19.2492211838006231,13.0,23.0,42.0,21.0903426791277259,15.0,60.0000000000000000,321,1.0
PIERCE,FROM_BELOW,180,25.8442367601246106,18.0,32.0,59.0,30.0529595015576324,20.0,130.6930693069306931,321,3.0
PIERCE,FROM_BELOW,300,31.1651090342679128,22.0,39.0,73.0,36.2741433021806854,24.0,197.1818181818181818,321,5.0
PIERCE,FROM_BELOW,900,54.0218068535825545,35.0,66.0,116.0,60.6510903426791277,41.0,521.9305019305019305,321,15.0
PIERCE,FROM_BELOW,1800,72.3738317757009346,48.0,89.0,157.0,84.7352024922118380,53.0,966.9565217391304348,321,30.0
TOUCH,FROM_ABOVE,60,16.6295336787564767,11.0,20.0,34.0,16.8937823834196891,12.0,60.0000000000000000,386,1.0
TOUCH,FROM_ABOVE,180,25.0414507772020725,16.0,28.75,50.5,24.0259067357512953,16.0,133.3054393305439331,386,3.0
TOUCH,FROM_ABOVE,300,30.7383419689119171,19.0,36.0,64.0,29.2564766839378238,18.0,201.2030075187969925,386,5.0
TOUCH,FROM_ABOVE,900,54.9119170984455959,29.0,62.0,124.5,46.3497409326424870,30.5,482.3376623376623377,386,15.0
TOUCH,FROM_ABOVE,1800,79.8056994818652850,41.5,89.5,191.0,62.5906735751295337,41.0,952.2935779816513761,386,30.0
TOUCH,FROM_BELOW,60,17.6036269430051813,12.0,21.75,38.5,18.7357512953367876,13.0,60.0000000000000000,386,1.0
TOUCH,FROM_BELOW,180,24.4067357512953368,16.5,30.75,51.0,28.4533678756476684,19.0,127.0588235294117647,386,3.0
TOUCH,FROM_BELOW,300,29.9792746113989637,21.0,36.0,60.0,35.8963730569948187,23.0,198.1690140845070423,386,5.0
TOUCH,FROM_BELOW,900,51.2253886010362694,34.0,58.75,114.5,56.1528497409326425,35.0,527.6417910447761194,386,15.0
TOUCH,FROM_BELOW,1800,69.7616580310880829,48.0,88.0,141.0,74.4974093264248705,47.0,987.5862068965517241,386,30.0
