session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2024-11-24,123.801720,401.545140,15.322450,2.639778
2024-11-25,171.679160,454.528440,2.855309,2.057041
2024-11-26,161.962990,127.047500,2.194125,2.593117
2024-11-27,99.724220,249.274240,2.665994,3.742054
2024-11-28,213.343910,63.872840,2.992032,1.067396
2024-11-29,45.127150,111.859900,1.750086,3.173291
2024-11-30,0.000000,0.000000,,
2024-12-01,12.520290,214.984660,1.033837,1.823967
2024-12-02,164.069010,50.676010,2.077515,2.086203
2024-12-03,113.628860,95.754320,2.353151,1.967774
2024-12-04,137.846670,114.125710,2.378876,2.862352
2024-12-05,57.766020,278.079550,2.389794,2.977393
2024-12-06,55.202970,144.797090,2.477255,3.638952
2024-12-08,134.238110,97.458940,2.888914,1.897581
2024-12-09,209.769290,28.401780,1.971141,0.256728
2024-12-10,318.117670,76.609010,2.097117,2.845104
2024-12-11,257.118040,108.932520,2.900227,2.293898
2024-12-12,56.004100,314.636450,2.620661,2.248975
2024-12-13,29.608100,240.959170,1.877589,2.029433
2024-12-15,63.335010,64.713600,2.434706,2.740439
2024-12-16,89.944550,89.402520,2.518542,2.243039
2024-12-17,87.369280,142.142830,1.324226,2.008376
2024-12-18,40.804140,444.159050,2.234561,2.156779
2024-12-19,124.692450,200.538890,2.248673,2.050839
2024-12-20,261.830470,39.819850,2.312156,1.435927
2024-12-22,30.177850,66.227400,1.178837,2.443293
2024-12-23,61.957250,128.009250,2.874936,3.079668
2024-12-24,56.543780,62.543440,2.203603,2.662743
2024-12-25,94.818420,16.125480,2.247435,1.287222
2024-12-26,112.330130,51.698200,2.831980,2.361318
2024-12-27,32.765230,172.365320,1.933563,2.372889
2024-12-29,75.582770,33.014570,2.690239,1.779691
2024-12-30,59.361960,177.711100,1.252191,2.349320
2024-12-31,157.214650,49.803890,2.707791,1.374614
2025-01-01,67.978720,25.228260,2.507974,2.241870
2025-01-02,198.292740,38.186900,2.003577,3.107210
2025-01-03,29.968830,144.398340,2.096186,1.888086
2025-01-05,70.524060,81.427770,2.946227,2.530315
2025-01-06,173.912010,211.628770,3.080843,2.269592
2025-01-07,190.371880,80.772030,2.091082,0.859579
2025-01-08,154.887290,69.022450,2.509182,0.877996
2025-01-09,134.794930,40.951060,2.362862,0.682251
2025-01-10,277.713450,158.027820,2.707437,3.098409
2025-01-12,65.595170,74.038750,3.213087,2.542728
2025-01-13,34.112640,229.445990,2.850738,2.540163
2025-01-14,178.520260,110.695710,4.032453,3.341753
2025-01-15,225.618380,80.442130,2.659745,1.291165
2025-01-16,185.414380,52.906750,1.914388,2.573691
2025-01-17,176.135860,99.390360,2.624764,2.066146
2025-01-19,82.208930,96.850690,2.156029,2.990632
2025-01-20,94.549390,234.864330,1.041307,2.542084
2025-01-21,214.740010,148.156890,2.049087,3.367620
2025-01-22,73.835010,79.152600,2.300327,2.334080
2025-01-23,267.128000,138.853630,2.935844,2.358950
2025-01-24,108.115540,84.320600,2.574737,1.975604
2025-01-26,40.149370,133.329280,1.524165,2.603235
2025-01-27,131.338060,258.756570,2.439194,2.460777
2025-01-28,350.743860,151.222210,3.424173,2.259679
