event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,4.4203152364273205,3.0,6.0,10.0,39.2574430823117338,7.0,60.0000000000000000,1142,1.0
CROSS,FROM_ABOVE,180,7.2819614711033275,5.0,10.0,16.0,41.0586690017513135,9.0,120.5667060212514758,1142,3.0
CROSS,FROM_ABOVE,300,9.4824868651488616,7.0,12.0,20.0,42.6725043782837128,10.0,180.1991150442477876,1142,5.0
CROSS,FROM_ABOVE,900,15.7854640980735552,11.0,21.0,32.0,48.7373029772329247,14.0,467.6152304609218437,1142,15.0
CROSS,FROM_ABOVE,1800,21.8082311733800350,15.0,29.0,46.90000000000009,55.4544658493870403,20.0,886.5447545717035611,1142,30.0
CROSS,FROM_BELOW,60,7.1614035087719298,3.0,6.0,10.0,36.7701754385964912,8.0,60.0000000000000000,1140,1.0
CROSS,FROM_BELOW,180,9.8140350877192982,5.0,10.0,15.100000000000136,38.4780701754385965,9.0,121.4911242603550296,1140,3.0
CROSS,FROM_BELOW,300,11.7666666666666667,7.0,12.0,20.0,39.9587719298245614,10.0,183.5064935064935065,1140,5.0
CROSS,FROM_BELOW,900,18.6614035087719298,12.0,22.0,35.0,45.3087719298245614,15.0,500.9617271835132483,1140,15.0
CROSS,FROM_BELOW,1800,25.5394736842105263,17.0,32.0,50.0,50.8982456140350877,18.0,975.6373937677053824,1140,30.0
PIERCE,FROM_ABOVE,60,6.2934027777777778,4.0,7.0,10.0,7.4583333333333333,4.0,60.0000000000000000,576,1.0
PIERCE,FROM_ABOVE,180,8.2656250000000000,6.0,9.0,15.0,9.7621527777777778,6.0,135.4770318021201413,576,3.0
PIERCE,FROM_ABOVE,300,9.8194444444444444,7.0,12.0,17.0,11.3263888888888889,7.0,197.6068376068376068,576,5.0
PIERCE,FROM_ABOVE,900,14.9305555555555556,11.0,18.0,29.0,17.8177083333333333,12.0,506.7857142857142857,576,15.0
PIERCE,FROM_ABOVE,1800,20.6909722222222222,15.0,28.0,43.0,24.1388888888888889,17.0,1011.1578947368421053,576,30.0
PIERCE,FROM_BELOW,60,5.4944356120826709,4.0,7.0,11.0,4.5675675675675676,3.0,60.0000000000000000,629,1.0
PIERCE,FROM_BELOW,180,7.5135135135135135,6.0,10.0,15.0,7.3068362480127186,5.0,129.3750000000000000,629,3.0
PIERCE,FROM_BELOW,300,9.2273449920508744,7.0,12.0,19.0,9.2861685214626391,7.0,199.1767554479418886,629,5.0
PIERCE,FROM_BELOW,900,15.2082670906200318,12.0,21.0,31.0,14.5691573926868045,11.0,522.3952095808383234,629,15.0
PIERCE,FROM_BELOW,1800,22.5993640699523052,17.0,29.0,48.0,20.0906200317965024,15.0,1063.3519553072625698,629,30.0
TOUCH,FROM_ABOVE,60,4.5950554134697357,4.0,6.0,9.0,7.3350383631713555,4.0,60.0000000000000000,1173,1.0
TOUCH,FROM_ABOVE,180,6.7109974424552430,5.0,8.0,14.0,9.5038363171355499,5.0,126.4730290456431535,1173,3.0
TOUCH,FROM_ABOVE,300,8.3444160272804774,7.0,10.0,17.0,11.1449275362318841,7.0,191.2635379061371841,1173,5.0
TOUCH,FROM_ABOVE,900,13.6248934356351236,10.0,18.0,27.0,17.7485080988917306,11.0,492.0244150559511699,1173,15.0
TOUCH,FROM_ABOVE,1800,19.0903665814151748,14.0,25.0,40.0,25.1670929241261722,16.0,915.4054054054054054,1173,30.0
TOUCH,FROM_BELOW,60,4.5810936051899907,4.0,6.0,9.0,4.6431881371640408,4.0,60.0000000000000000,1079,1.0
TOUCH,FROM_BELOW,180,6.9453197405004634,5.0,9.0,14.0,6.7868396663577386,5.0,131.4705882352941176,1079,3.0
TOUCH,FROM_BELOW,300,8.6719184430027804,7.0,12.0,18.0,8.3466172381835032,7.0,196.6970091027308192,1079,5.0
TOUCH,FROM_BELOW,900,14.5894346617238184,11.0,20.0,31.0,13.7238183503243744,10.0,533.3698030634573304,1079,15.0
TOUCH,FROM_BELOW,1800,21.6645041705282669,17.0,29.0,47.0,19.5069508804448563,13.0,1034.0585774058577406,1079,30.0
