event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,45,0.37777777777777777778,7.0,9.0,21.0,176.5714285714285714
CROSS,1,moderate,4,0E-20,10.0,18.5,47.999999999999986,195.0000000000000000
CROSS,2,flat,52,0.32692307692307692308,6.5,8.0,15.0,189.3333333333333333
CROSS,2,moderate,3,0.33333333333333333333,10.0,6.0,12.7,240.0000000000000000
CROSS,3,flat,38,0.23684210526315789474,6.5,8.0,19.15,178.1818181818181818
CROSS,3,moderate,4,0.50000000000000000000,11.0,24.0,15.249999999999998,240.0000000000000000
CROSS,4,flat,46,0.23913043478260869565,5.0,7.5,19.25,170.2702702702702703
CROSS,4,moderate,2,0E-20,21.5,8.0,33.65,300.0000000000000000
CROSS,5,flat,36,0.13888888888888888889,6.0,7.5,16.5,158.5714285714285714
CROSS,5,moderate,2,0E-20,7.0,5.5,7.0,180.0000000000000000
CROSS,6,flat,37,0.40540540540540540541,4.0,12.0,26.99999999999998,168.0000000000000000
CROSS,6,moderate,3,0E-20,12.0,9.0,50.699999999999996,240.0000000000000000
CROSS,7,flat,32,0.18750000000000000000,5.5,8.5,22.349999999999998,177.7777777777777778
CROSS,7,moderate,3,0.33333333333333333333,8.0,6.0,14.299999999999999,90.0000000000000000
CROSS,8,flat,24,0.16666666666666666667,6.5,8.0,18.549999999999994,195.0000000000000000
CROSS,8,moderate,1,1.00000000000000000000,0.0,13.0,0.0,
CROSS,9,flat,36,0.16666666666666666667,6.5,8.0,17.5,159.3103448275862069
CROSS,9,moderate,2,0E-20,13.0,13.0,17.5,150.0000000000000000
CROSS,10,flat,37,0.37837837837837837838,5.0,8.0,18.199999999999996,186.6666666666666667
CROSS,10,moderate,4,0.25000000000000000000,16.0,3.0,62.34999999999998,225.0000000000000000
CROSS,11,flat,33,0.33333333333333333333,6.0,8.0,19.0,208.9655172413793103
CROSS,11,moderate,5,0.40000000000000000000,2.0,16.0,11.2,180.0000000000000000
CROSS,12,flat,36,0.22222222222222222222,5.0,9.5,17.25,157.2413793103448276
CROSS,12,moderate,2,0.50000000000000000000,3.0,8.5,3.9,60.0000000000000000
CROSS,13,flat,37,0.40540540540540540541,5.0,8.0,18.199999999999996,197.7777777777777778
CROSS,13,moderate,4,0.25000000000000000000,5.0,13.0,14.349999999999996,195.0000000000000000
CROSS,14,flat,42,0.38095238095238095238,4.5,7.5,21.799999999999983,181.8750000000000000
CROSS,14,moderate,5,0.20000000000000000000,5.0,12.0,9.399999999999999,240.0000000000000000
CROSS,15,flat,32,0.15625000000000000000,7.5,7.0,26.45,192.0000000000000000
CROSS,15,moderate,4,0E-20,8.0,9.5,12.249999999999998,195.0000000000000000
CROSS,16,flat,35,0.20000000000000000000,5.0,7.0,23.499999999999986,163.1250000000000000
CROSS,16,moderate,2,0.50000000000000000000,7.5,14.0,10.649999999999999,300.0000000000000000
CROSS,17,flat,36,0.19444444444444444444,7.0,7.0,17.25,196.5517241379310345
CROSS,17,moderate,4,0E-20,7.5,8.5,23.299999999999994,165.0000000000000000
CROSS,18,flat,42,0.28571428571428571429,5.5,10.0,26.799999999999983,168.0000000000000000
CROSS,18,moderate,2,0.50000000000000000000,10.5,13.0,14.549999999999999,240.0000000000000000
CROSS,19,flat,31,0.29032258064516129032,6.0,8.0,35.5,182.2222222222222222
CROSS,19,moderate,2,0E-20,10.0,9.5,10.9,180.0000000000000000
CROSS,20,flat,35,0.20000000000000000000,5.0,9.0,15.599999999999994,192.0000000000000000
CROSS,20,moderate,2,0E-20,22.0,3.5,30.099999999999998,240.0000000000000000
CROSS,21,flat,32,0.21875000000000000000,5.0,8.5,20.349999999999998,189.6000000000000000
CROSS,21,moderate,3,0.33333333333333333333,9.0,4.0,19.799999999999997,210.0000000000000000
