date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2024-03-13,2024-03-12 18:01:00-04:00,TOUCH,VWAP,FROM_BELOW,1,2164.150820,0.086124,2164.000000,1.5082000000000000,1.000000,4.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:01:00-04:00,TOUCH,VWAP,FROM_BELOW,1,2164.150820,0.086124,2164.000000,1.5082000000000000,1.000000,4.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:02:00-04:00,TOUCH,VWAP,FROM_BELOW,2,2164.122685,0.103313,2164.000000,1.2268500000000000,2.000000,4.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:02:00-04:00,TOUCH,VWAP,FROM_BELOW,2,2164.122685,0.103313,2164.000000,1.2268500000000000,2.000000,4.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:03:00-04:00,TOUCH,VWAP,FROM_BELOW,3,2164.079920,0.145705,2163.700000,3.7992000000000000,8.000000,1.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:03:00-04:00,TOUCH,VWAP,FROM_BELOW,3,2164.079920,0.145705,2163.700000,3.7992000000000000,8.000000,1.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:06:00-04:00,TOUCH,VWAP,FROM_BELOW,4,2164.003492,0.200472,2163.900000,1.0349200000000000,7.000000,1.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:06:00-04:00,TOUCH,VWAP,FROM_BELOW,4,2164.003492,0.200472,2163.900000,1.0349200000000000,7.000000,1.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:07:00-04:00,CROSS,VWAP,FROM_BELOW,5,2164.011574,0.171698,2164.100000,0.88426000000000000000,5.000000,3.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:07:00-04:00,CROSS,VWAP,FROM_BELOW,5,2164.011574,0.171698,2164.100000,0.88426000000000000000,5.000000,3.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:08:00-04:00,TOUCH,VWAP,FROM_ABOVE,1,2164.026490,0.180805,2164.400000,3.7351000000000000,3.000000,2.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:08:00-04:00,TOUCH,VWAP,FROM_ABOVE,1,2164.026490,0.180805,2164.400000,3.7351000000000000,3.000000,2.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:11:00-04:00,PIERCE,VWAP,FROM_ABOVE,2,2164.116580,0.234088,2164.600000,4.8342000000000000,5.000000,12.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:11:00-04:00,PIERCE,VWAP,FROM_ABOVE,2,2164.116580,0.234088,2164.600000,4.8342000000000000,5.000000,12.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:12:00-04:00,TOUCH,VWAP,FROM_ABOVE,3,2164.129268,0.232763,2164.400000,2.7073200000000000,15.000000,14.000000,27.487620,28.298190,RTH,1m,2.0
2024-03-13,2024-03-12 18:12:00-04:00,TOUCH,VWAP,FROM_ABOVE,3,2164.129268,0.232763,2164.400000,2.7073200000000000,15.000000,14.000000,149.110500,28.298190,RTH,1m,2.0
2024-03-12,2024-03-12 18:13:00-04:00,TOUCH,VWAP,FROM_ABOVE,4,2164.135659,0.229120,2164.200000,0.64341000000000000000,16.000000,16.000000,27.487620,28.298190,RTH,1m,2.0
