event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,2.5335968379446640,2.0,3.0,6.0,5.2766798418972332,4.0,60.0000000000000000,253,1.0
CROSS,FROM_ABOVE,180,4.5494071146245059,3.0,7.0,11.0,6.5770750988142292,5.0,128.6206896551724138,253,3.0
CROSS,FROM_ABOVE,300,6.0039525691699605,4.0,8.0,14.800000000000011,7.5217391304347826,6.0,191.9354838709677419,253,5.0
CROSS,FROM_ABOVE,900,10.3043478260869565,8.0,14.0,22.0,11.5217391304347826,9.0,471.6666666666666667,253,15.0
CROSS,FROM_ABOVE,1800,14.5375494071146245,11.0,20.0,28.80000000000001,15.5375494071146245,12.0,891.3913043478260870,253,30.0
CROSS,FROM_BELOW,60,2.5450980392156863,2.0,4.0,6.0,4.5529411764705882,4.0,60.0000000000000000,255,1.0
CROSS,FROM_BELOW,180,4.3725490196078431,4.0,6.0,10.0,5.9411764705882353,5.0,122.3076923076923077,255,3.0
CROSS,FROM_BELOW,300,5.7686274509803922,4.0,8.0,13.0,7.1607843137254902,6.0,179.0476190476190476,255,5.0
CROSS,FROM_BELOW,900,10.3529411764705882,7.0,13.0,19.0,11.5411764705882353,9.0,449.0410958904109589,255,15.0
CROSS,FROM_BELOW,1800,14.4705882352941176,10.0,17.0,26.599999999999994,15.9568627450980392,12.0,900.0000000000000000,255,30.0
PIERCE,FROM_ABOVE,60,4.1428571428571429,4.0,5.0,7.0,2.9017857142857143,2.0,60.0000000000000000,112,1.0
PIERCE,FROM_ABOVE,180,5.5535714285714286,5.0,7.0,10.0,4.7946428571428571,3.5,132.4528301886792453,112,3.0
PIERCE,FROM_ABOVE,300,6.9285714285714286,5.5,9.0,13.900000000000006,6.4017857142857143,4.5,195.0000000000000000,112,5.0
PIERCE,FROM_ABOVE,900,12.0625000000000000,8.0,17.0,26.0,11.0803571428571429,8.0,511.0843373493975904,112,15.0
PIERCE,FROM_ABOVE,1800,15.0089285714285714,12.0,19.25,32.0,15.0714285714285714,10.5,843.9560439560439560,112,30.0
PIERCE,FROM_BELOW,60,4.2796610169491525,3.0,5.0,8.0,2.8389830508474576,2.0,60.0000000000000000,118,1.0
PIERCE,FROM_BELOW,180,5.8050847457627119,5.0,7.0,10.0,4.0423728813559322,3.0,131.4705882352941176,118,3.0
PIERCE,FROM_BELOW,300,6.7542372881355932,6.0,9.0,11.0,5.6271186440677966,4.0,188.4615384615384615,118,5.0
PIERCE,FROM_BELOW,900,10.9406779661016949,9.0,13.0,19.599999999999994,10.4745762711864407,7.5,486.1224489795918367,118,15.0
PIERCE,FROM_BELOW,1800,15.2033898305084746,11.5,18.75,25.299999999999997,15.5762711864406780,11.0,863.7623762376237624,118,30.0
TOUCH,FROM_ABOVE,60,2.5613207547169811,2.0,4.0,6.0,2.8419811320754717,2.0,60.0000000000000000,424,1.0
TOUCH,FROM_ABOVE,180,3.9952830188679245,3.0,6.0,9.0,4.4528301886792453,3.0,124.7899159663865546,424,3.0
TOUCH,FROM_ABOVE,300,5.3750000000000000,4.0,7.0,13.0,5.4080188679245283,4.0,197.6595744680851064,424,5.0
TOUCH,FROM_ABOVE,900,9.4787735849056604,6.0,13.0,19.69999999999999,9.3773584905660377,7.0,495.5015197568389058,424,15.0
TOUCH,FROM_ABOVE,1800,13.5896226415094340,10.0,17.0,30.0,13.9882075471698113,10.0,919.8885793871866295,424,30.0
TOUCH,FROM_BELOW,60,2.6496815286624204,2.0,4.0,6.0,2.7356687898089172,2.0,60.0000000000000000,314,1.0
TOUCH,FROM_BELOW,180,4.0159235668789809,3.0,6.0,8.699999999999989,4.4585987261146497,3.0,127.3015873015873016,314,3.0
TOUCH,FROM_BELOW,300,5.0796178343949045,4.0,7.0,10.0,5.5668789808917197,4.0,191.0377358490566038,314,5.0
TOUCH,FROM_BELOW,900,8.6242038216560510,7.0,12.0,18.69999999999999,10.1210191082802548,8.0,478.8593155893536122,314,15.0
TOUCH,FROM_BELOW,1800,12.5636942675159236,9.5,17.75,24.0,15.0891719745222930,11.0,892.0879120879120879,314,30.0
