event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,43,0.30232558139534883721,7.0,11.0,27.9,167.6470588235294118
CROSS,1,moderate,6,0.66666666666666666667,3.0,8.0,10.0,180.0000000000000000
CROSS,2,flat,36,0.19444444444444444444,8.5,9.0,32.25,176.1290322580645161
CROSS,2,moderate,3,0.33333333333333333333,4.0,6.0,8.5,180.0000000000000000
CROSS,3,flat,36,0.36111111111111111111,9.0,9.5,25.25,191.6129032258064516
CROSS,3,moderate,4,0.25000000000000000000,4.0,14.0,18.599999999999994,240.0000000000000000
CROSS,4,flat,34,0.26470588235294117647,5.5,9.5,31.099999999999987,211.1111111111111111
CROSS,4,moderate,2,0.50000000000000000000,6.5,9.5,9.649999999999999,300.0000000000000000
CROSS,5,flat,35,0.31428571428571428571,4.0,11.0,21.19999999999999,168.0000000000000000
CROSS,5,moderate,4,0.25000000000000000000,8.0,7.0,12.399999999999999,180.0000000000000000
CROSS,6,flat,32,0.25000000000000000000,8.5,10.0,24.249999999999996,165.0000000000000000
CROSS,6,moderate,2,0E-20,4.5,7.5,4.95,270.0000000000000000
CROSS,7,flat,42,0.30952380952380952381,8.5,10.0,30.89999999999999,191.6666666666666667
CROSS,7,moderate,4,0.25000000000000000000,10.5,4.0,16.4,200.0000000000000000
CROSS,8,flat,41,0.39024390243902439024,7.0,10.0,30.0,166.8750000000000000
CROSS,8,moderate,4,0E-20,12.5,7.5,25.749999999999993,160.0000000000000000
CROSS,9,flat,35,0.25714285714285714286,6.0,10.0,24.09999999999998,215.0000000000000000
CROSS,9,moderate,4,0.25000000000000000000,11.0,7.5,30.049999999999997,200.0000000000000000
CROSS,10,flat,35,0.34285714285714285714,7.0,11.0,30.399999999999977,182.5000000000000000
CROSS,10,moderate,4,0.25000000000000000000,2.5,10.0,12.349999999999996,210.0000000000000000
CROSS,11,flat,38,0.31578947368421052632,7.0,10.5,24.94999999999998,153.7500000000000000
CROSS,11,moderate,3,0.33333333333333333333,12.0,11.0,13.8,200.0000000000000000
CROSS,12,flat,35,0.20000000000000000000,7.0,10.0,27.299999999999997,195.0000000000000000
CROSS,12,moderate,4,0.50000000000000000000,3.5,16.0,16.049999999999997,140.0000000000000000
CROSS,13,flat,23,0.34782608695652173913,12.0,8.0,28.499999999999993,196.6666666666666667
CROSS,13,moderate,2,0E-20,24.0,21.5,35.7,150.0000000000000000
CROSS,14,flat,31,0.22580645161290322581,6.0,11.0,39.5,161.3793103448275862
CROSS,14,moderate,7,0.28571428571428571429,6.0,12.0,13.299999999999994,130.0000000000000000
CROSS,15,flat,36,0.16666666666666666667,8.0,13.0,23.75,174.1935483870967742
CROSS,15,moderate,3,0E-20,3.0,13.0,3.9,90.0000000000000000
CROSS,16,flat,28,0.28571428571428571429,6.5,12.0,19.299999999999997,177.1428571428571429
CROSS,16,moderate,4,0.25000000000000000000,9.5,7.5,19.349999999999994,210.0000000000000000
CROSS,17,flat,31,0.35483870967741935484,8.0,13.0,31.0,189.4736842105263158
CROSS,17,moderate,3,0.33333333333333333333,8.0,6.0,9.8,240.0000000000000000
CROSS,18,flat,41,0.29268292682926829268,9.0,11.0,27.0,185.2941176470588235
CROSS,18,moderate,2,0E-20,2.5,10.5,2.95,60.0000000000000000
CROSS,19,flat,32,0.21875000000000000000,9.0,9.0,27.0,177.8571428571428571
CROSS,19,moderate,4,0.25000000000000000000,4.0,8.0,18.599999999999994,180.0000000000000000
CROSS,20,flat,28,0.21428571428571428571,7.0,13.5,32.599999999999994,204.0000000000000000
CROSS,20,moderate,2,0.50000000000000000000,2.5,15.5,2.95,60.0000000000000000
CROSS,21,flat,45,0.33333333333333333333,7.0,12.0,35.199999999999974,170.6250000000000000
CROSS,21,moderate,5,0.20000000000000000000,5.0,10.0,17.799999999999997,150.0000000000000000
CROSS,22,flat,33,0.24242424242424242424,5.0,9.0,31.599999999999994,192.0000000000000000
CROSS,22,moderate,5,0E-20,5.0,6.0,14.399999999999999,165.0000000000000000
CROSS,23,flat,35,0.25714285714285714286,8.0,15.0,30.89999999999999,173.3333333333333333
CROSS,23,moderate,5,0.60000000000000000000,7.0,6.0,21.2,204.0000000000000000
CROSS,24,flat,31,0.32258064516129032258,6.0,11.0,30.0,212.7272727272727273
CROSS,24,moderate,5,0.20000000000000000000,10.0,8.0,14.0,210.0000000000000000
CROSS,25,flat,37,0.37837837837837837838,9.0,11.0,38.199999999999974,208.8888888888888889
CROSS,25,moderate,4,0E-20,13.5,9.0,30.999999999999993,255.0000000000000000
CROSS,26,flat,37,0.29729729729729729730,10.0,14.0,38.79999999999998,194.5454545454545455
CROSS,26,moderate,2,0.50000000000000000000,3.5,7.0,4.85,150.0000000000000000
CROSS,27,flat,40,0.30000000000000000000,10.5,18.0,29.649999999999963,164.5714285714285714
CROSS,27,moderate,2,0E-20,6.0,8.0,6.9,150.0000000000000000
CROSS,28,flat,35,0.28571428571428571429,8.0,12.0,32.0,176.0000000000000000
CROSS,28,moderate,2,0.50000000000000000000,4.5,4.5,5.85,180.0000000000000000
CROSS,29,flat,37,0.27027027027027027027,9.0,12.0,26.799999999999983,158.0000000000000000
CROSS,29,moderate,4,0.25000000000000000000,3.0,10.5,6.399999999999999,120.0000000000000000
CROSS,30,flat,32,0.18750000000000000000,11.0,10.5,35.49999999999999,174.0000000000000000
CROSS,30,moderate,2,0E-20,2.0,14.0,3.8,60.0000000000000000
CROSS,31,flat,30,0.20000000000000000000,10.0,12.5,35.89999999999995,205.3846153846153846
CROSS,31,moderate,1,0E-20,8.0,8.0,8.0,300.0000000000000000
CROSS,32,flat,31,0.25806451612903225806,10.0,14.0,28.5,166.4516129032258065
CROSS,32,moderate,5,0.60000000000000000000,3.0,14.0,17.599999999999998,300.0000000000000000
CROSS,33,flat,28,0.28571428571428571429,9.0,16.5,29.19999999999999,200.8695652173913043
CROSS,33,moderate,2,0.50000000000000000000,10.0,14.5,16.299999999999997,120.0000000000000000
CROSS,34,flat,41,0.31707317073170731707,9.0,14.0,30.0,180.0000000000000000
CROSS,34,moderate,4,0.25000000000000000000,4.0,11.5,7.399999999999999,200.0000000000000000
CROSS,35,flat,29,0.34482758620689655172,10.0,14.0,30.199999999999964,192.0000000000000000
CROSS,35,moderate,2,0E-20,6.5,13.0,8.75,150.0000000000000000
CROSS,36,flat,36,0.25000000000000000000,10.5,17.5,37.75,180.0000000000000000
CROSS,36,moderate,3,0.33333333333333333333,6.0,10.0,17.7,180.0000000000000000
CROSS,37,flat,31,0.19354838709677419355,13.0,19.0,33.5,212.3076923076923077
CROSS,37,moderate,4,0.50000000000000000000,4.5,8.0,5.85,150.0000000000000000
CROSS,38,flat,27,0.44444444444444444444,9.0,12.0,32.3,188.1818181818181818
CROSS,38,moderate,1,1.00000000000000000000,18.0,15.0,18.0,300.0000000000000000
CROSS,39,flat,28,0.25000000000000000000,10.0,12.0,36.65,195.0000000000000000
CROSS,39,moderate,3,0.33333333333333333333,6.0,7.0,15.0,200.0000000000000000
CROSS,40,flat,23,0.26086956521739130435,9.0,19.0,23.799999999999997,176.6666666666666667
CROSS,40,moderate,3,0.33333333333333333333,5.0,10.0,9.5,240.0000000000000000
CROSS,41,flat,25,0.24000000000000000000,8.0,14.0,32.59999999999995,188.5714285714285714
CROSS,41,moderate,2,0.50000000000000000000,1.5,8.5,1.95,60.0000000000000000
CROSS,42,flat,27,0.37037037037037037037,10.0,13.0,25.199999999999996,211.3043478260869565
CROSS,42,moderate,4,0.25000000000000000000,7.5,9.5,23.599999999999994,210.0000000000000000
CROSS,43,flat,30,0.26666666666666666667,8.0,17.0,24.549999999999997,188.1818181818181818
CROSS,43,moderate,2,0.50000000000000000000,8.0,9.5,11.6,240.0000000000000000
CROSS,44,flat,25,0.28000000000000000000,7.0,14.0,27.199999999999974,144.0000000000000000
