session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-01-29,63.140490,113.435350,2.045668,3.412878
2025-01-30,316.579220,22.218200,1.954894,1.309495
2025-01-31,141.798510,199.232640,3.337304,2.701628
2025-02-02,283.225630,248.791860,6.270315,2.504467
2025-02-03,334.304780,47.737590,2.103678,2.265705
2025-02-04,227.506450,73.257120,1.771262,2.320703
2025-02-05,155.982960,105.155580,2.501549,1.799658
2025-02-06,137.542950,245.189560,1.576496,2.690212
2025-02-07,183.248470,147.522620,2.354534,1.865595
2025-02-09,117.698790,54.654540,2.242786,2.961954
2025-02-10,369.507240,22.218210,2.889818,0.252354
2025-02-11,70.821940,256.478570,2.518637,2.229753
2025-02-12,301.630300,243.080750,2.413580,3.486818
2025-02-13,185.437860,100.015300,3.132623,3.074235
2025-02-14,48.420360,397.573120,2.402299,1.832945
2025-02-16,159.237250,81.429270,2.232703,2.250875
2025-02-17,128.257370,102.187400,3.275077,2.550800
2025-02-18,213.419200,28.251860,1.994443,1.040384
2025-02-19,137.920910,174.489310,2.911911,2.742092
2025-02-20,96.799670,219.244470,2.833779,2.683788
2025-02-21,148.223220,120.985970,2.824892,3.175829
2025-02-23,98.512610,109.753370,2.037058,2.578155
2025-02-24,150.495930,134.648130,2.466155,2.131719
2025-02-25,91.070130,434.507610,1.469865,2.823086
2025-02-26,129.335950,201.263850,1.679985,3.645951
2025-02-27,57.767160,270.038840,1.148266,3.039782
2025-02-28,72.892870,219.084430,0.849494,2.521386
2025-03-02,187.421870,79.670460,2.509002,1.146211
2025-03-03,195.432640,58.186520,2.187753,0.896598
2025-03-04,230.637730,92.109850,1.688894,0.715983
2025-03-05,174.747990,201.533500,2.269460,2.896794
2025-03-06,158.112240,197.854630,2.008516,2.265525
2025-03-07,135.959470,147.920260,2.438083,2.408223
2025-03-08,0.000000,0.000000,,
2025-03-09,49.833890,68.099360,2.208129,2.539115
2025-03-10,68.212530,251.882230,1.529083,3.294684
2025-03-11,161.509740,42.166980,2.016313,3.103021
2025-03-12,254.362250,106.253510,2.228198,3.154156
2025-03-13,310.330300,77.849850,1.983697,2.273988
2025-03-14,149.840690,134.614620,2.864953,2.430921
2025-03-15,0.000000,0.000000,,
2025-03-16,51.882190,34.843680,2.362460,1.848196
2025-03-17,208.784520,68.502990,2.921819,1.512062
2025-03-18,160.023230,41.584080,1.977111,1.990177
2025-03-19,193.041150,121.595770,2.572111,2.640153
2025-03-20,73.842860,190.971350,1.100974,2.452791
2025-03-21,71.344070,271.765060,2.066100,2.394317
2025-03-22,0.000000,0.000000,,
2025-03-23,47.834860,72.586240,2.267687,3.038344
2025-03-24,104.599880,161.542550,2.350141,2.245433
2025-03-25,173.911290,63.387290,2.608205,1.011314
2025-03-26,309.777140,196.432390,4.496521,2.903847
