touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,99,10.3131313131313131,12.1515151515151515
2,99,11.8484848484848485,10.4747474747474747
3,98,10.1326530612244898,11.2551020408163265
4,98,9.4387755102040816,10.2142857142857143
5,98,9.0408163265306122,10.1938775510204082
6,98,9.9285714285714286,9.3061224489795918
7,98,10.2448979591836735,9.6224489795918367
8,98,10.0816326530612245,12.1530612244897959
9,98,9.8265306122448980,12.6224489795918367
10,98,8.7244897959183673,17.3265306122448980
11,98,9.3265306122448980,16.7551020408163265
12,98,9.1632653061224490,15.7448979591836735
13,97,11.1134020618556701,15.3917525773195876
14,96,11.5000000000000000,14.7916666666666667
15,94,9.4255319148936170,17.3191489361702128
16,94,9.5957446808510638,16.7340425531914894
17,94,10.0319148936170213,16.9148936170212766
18,94,10.1595744680851064,17.3723404255319149
19,92,10.0217391304347826,18.1847826086956522
20,92,9.9891304347826087,17.6521739130434783
21,91,10.7142857142857143,18.1538461538461538
22,91,11.2747252747252747,17.2307692307692308
23,88,11.2727272727272727,17.8977272727272727
24,88,11.9431818181818182,18.3977272727272727
25,85,12.5176470588235294,18.4705882352941176
26,84,11.6785714285714286,18.8690476190476190
27,84,10.5833333333333333,20.2142857142857143
28,84,11.9761904761904762,19.8809523809523810
29,83,12.5903614457831325,18.8433734939759036
30,82,11.2804878048780488,19.2439024390243902
31,81,12.5061728395061728,18.2592592592592593
32,79,10.9367088607594937,20.0379746835443038
33,77,10.7662337662337662,20.5974025974025974
34,76,11.7105263157894737,21.7236842105263158
35,70,12.7142857142857143,20.8857142857142857
36,69,13.6666666666666667,21.5942028985507246
37,68,11.5735294117647059,22.2794117647058824
38,66,11.4242424242424242,24.4090909090909091
39,61,14.4098360655737705,21.9508196721311475
40,59,11.4406779661016949,23.8474576271186441
41,55,11.7454545454545455,23.2909090909090909
42,55,13.1818181818181818,22.7090909090909091
43,54,11.3888888888888889,25.1666666666666667
44,52,12.3461538461538462,24.8461538461538462
45,49,11.3877551020408163,26.4489795918367347
