session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2024-03-26,312.654180,230.223590,2.849143,2.251861
2024-03-27,133.388110,31.797240,3.415941,0.539476
2024-03-28,269.502780,42.801610,2.952670,1.525833
2024-03-31,210.502190,25.678720,1.754995,2.596176
2024-04-01,79.951000,216.834870,0.835708,2.292402
2024-04-02,260.992530,98.785980,3.270639,1.499352
2024-04-03,218.198200,122.509990,2.294085,2.117400
2024-04-04,128.748580,242.101340,2.667661,3.769353
2024-04-05,293.844420,49.976640,2.191263,0.821106
2024-04-07,332.832880,184.626770,3.081134,3.571315
2024-04-08,146.878340,162.206990,2.173371,2.566333
2024-04-09,132.234040,145.769980,2.119179,2.489052
2024-04-10,131.439060,216.402310,1.257964,1.972347
2024-04-11,435.265270,124.136660,2.367545,2.527489
2024-04-12,302.617780,553.900660,2.617266,2.478970
2024-04-14,203.707330,88.200390,3.004839,1.252828
2024-04-15,374.692650,277.187800,2.673011,3.487812
2024-04-16,210.195990,159.257730,2.559153,2.143576
2024-04-17,122.714720,272.569130,2.454916,3.175221
2024-04-18,346.365220,102.745600,3.629063,1.956580
2024-04-19,172.243180,122.287570,2.989682,3.187312
2024-04-21,21.222680,212.567690,2.347875,2.441254
2024-04-22,55.793320,460.504530,1.911997,2.904996
2024-04-23,242.015140,142.401800,2.871050,3.406883
2024-04-24,159.331690,186.014970,2.887478,3.177222
2024-04-25,206.870440,120.692720,2.871394,2.280685
2024-04-26,106.178200,139.063340,2.018553,2.625249
2024-04-28,19.054400,123.234700,2.174400,2.377690
2024-04-29,121.177640,95.141740,2.589564,1.870696
2024-04-30,22.822330,219.681700,2.029864,1.922140
2024-05-01,269.749050,25.772990,2.494807,0.326517
2024-05-02,69.396710,209.025130,0.706118,2.022745
2024-05-03,184.647280,249.202820,4.250828,2.988930
2024-05-04,0.000000,0.000000,,
2024-05-05,139.717170,74.102230,2.780666,2.627815
2024-05-06,131.733880,39.371860,2.323286,0.726028
2024-05-07,50.556680,114.769110,1.062630,2.651863
2024-05-08,76.304350,111.428470,1.896323,2.810887
2024-05-09,303.530430,54.039820,2.437415,1.767826
2024-05-10,147.328230,91.881710,1.817798,1.416737
2024-05-12,7.585820,82.688890,2.973490,2.342418
2024-05-13,13.485050,144.955590,0.204729,2.213670
2024-05-14,133.886240,57.805450,2.957104,1.766244
2024-05-15,248.322680,138.454330,2.241896,2.166047
2024-05-16,40.222330,132.145300,2.087694,2.452403
2024-05-17,239.992520,8.447470,2.211765,0.238406
2024-05-19,176.440580,32.769080,3.127452,1.796963
2024-05-20,111.945780,273.214700,2.133610,2.777652
2024-05-21,127.219190,97.497710,2.670560,1.761329
2024-05-22,35.631150,321.968240,1.204861,2.155528
2024-05-23,53.532200,276.705540,1.218420,2.305006
2024-05-24,90.092080,65.740150,2.528756,1.867744
2024-05-26,109.667610,25.495320,3.347639,2.091903
2024-05-27,116.758810,46.116020,2.276635,2.934306
2024-05-28,295.936590,138.826720,4.092742,3.241565
