event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,46,0.45652173913043478261,4.5,7.0,21.75,197.8378378378378378
CROSS,1,moderate,5,0.40000000000000000000,5.0,7.0,10.0,195.0000000000000000
CROSS,2,flat,36,0.22222222222222222222,6.0,7.5,24.0,180.0000000000000000
CROSS,2,moderate,1,0E-20,12.0,4.0,12.0,300.0000000000000000
CROSS,3,flat,36,0.30555555555555555556,6.0,6.0,27.0,205.1612903225806452
CROSS,3,moderate,1,0E-20,21.0,3.0,21.0,300.0000000000000000
CROSS,4,flat,37,0.40540540540540540541,3.0,7.0,17.39999999999999,182.3076923076923077
CROSS,4,moderate,3,0.66666666666666666667,2.0,7.0,14.599999999999998,120.0000000000000000
CROSS,5,flat,36,0.33333333333333333333,5.0,7.0,17.0,201.4285714285714286
CROSS,5,moderate,3,0E-20,14.0,7.0,17.6,160.0000000000000000
CROSS,6,flat,35,0.31428571428571428571,5.0,8.0,25.499999999999986,169.6551724137931034
CROSS,7,flat,35,0.22857142857142857143,5.0,4.0,16.19999999999999,208.0000000000000000
CROSS,7,moderate,2,0.50000000000000000000,1.5,12.5,2.8499999999999996,120.0000000000000000
CROSS,8,flat,28,0.32142857142857142857,5.0,6.5,16.65,201.0000000000000000
CROSS,8,moderate,2,0E-20,8.0,5.5,13.399999999999999,180.0000000000000000
CROSS,9,flat,27,0.14814814814814814815,4.0,7.0,15.399999999999999,177.3913043478260870
CROSS,9,moderate,3,0.33333333333333333333,6.0,4.0,6.9,90.0000000000000000
CROSS,10,flat,30,0.36666666666666666667,3.0,7.5,21.549999999999997,157.1428571428571429
CROSS,10,moderate,4,0.25000000000000000000,7.5,8.5,14.7,240.0000000000000000
CROSS,11,flat,26,0.30769230769230769231,4.5,8.5,19.25,176.4705882352941176
CROSS,11,moderate,3,0.33333333333333333333,3.0,7.0,3.0,180.0000000000000000
CROSS,12,flat,25,0.24000000000000000000,5.0,6.0,26.19999999999999,185.7142857142857143
CROSS,12,moderate,1,0E-20,4.0,12.0,4.0,240.0000000000000000
CROSS,13,flat,23,0.26086956521739130435,5.0,6.0,13.899999999999999,183.5294117647058824
CROSS,13,moderate,4,0.75000000000000000000,4.0,9.5,14.199999999999996,195.0000000000000000
CROSS,14,flat,34,0.35294117647058823529,5.0,7.0,17.349999999999998,188.8888888888888889
CROSS,14,moderate,3,0E-20,7.0,9.0,11.5,300.0000000000000000
CROSS,15,flat,34,0.35294117647058823529,5.5,7.5,18.699999999999996,195.5555555555555556
CROSS,15,moderate,4,0.25000000000000000000,4.0,5.5,4.85,120.0000000000000000
CROSS,16,flat,25,0.20000000000000000000,5.0,8.0,10.0,169.4117647058823529
CROSS,16,moderate,2,0E-20,4.0,5.5,5.8,240.0000000000000000
CROSS,17,flat,33,0.48484848484848484848,5.0,6.0,16.4,201.4285714285714286
