event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,3.8594420600858369,2.0,5.0,9.0,7.3261802575107296,6.0,60.0000000000000000,932,1.0
CROSS,FROM_ABOVE,180,6.1770386266094421,4.0,8.0,13.0,9.1974248927038627,7.0,120.3625377643504532,932,3.0
CROSS,FROM_ABOVE,300,7.9442060085836910,5.0,10.0,17.0,10.7854077253218884,8.0,182.5000000000000000,932,5.0
CROSS,FROM_ABOVE,900,14.5858369098712446,10.0,19.0,34.0,16.5965665236051502,12.0,480.1485148514851485,932,15.0
CROSS,FROM_ABOVE,1800,20.1663090128755365,14.0,28.0,44.0,22.9871244635193133,17.0,888.7500000000000000,932,30.0
CROSS,FROM_BELOW,60,3.7150480256136606,3.0,5.0,8.0,7.4621131270010672,6.0,60.0000000000000000,937,1.0
CROSS,FROM_BELOW,180,6.4204909284951974,5.0,9.0,13.0,8.8964781216648879,7.0,126.3739376770538244,937,3.0
CROSS,FROM_BELOW,300,8.3927427961579509,6.0,11.0,17.0,10.1344717182497332,8.0,189.0039840637450199,937,5.0
CROSS,FROM_BELOW,900,14.8559231590181430,10.0,18.0,31.0,15.8249733191035219,11.0,491.9856459330143541,937,15.0
CROSS,FROM_BELOW,1800,21.5336179295624333,15.0,27.0,44.0,20.9295624332977588,14.0,948.0412371134020619,937,30.0
PIERCE,FROM_ABOVE,60,5.0293542074363992,4.0,6.0,9.0,4.0352250489236791,3.0,60.0000000000000000,511,1.0
PIERCE,FROM_ABOVE,180,6.9902152641878669,5.0,9.0,13.0,6.2407045009784736,5.0,130.3676470588235294,511,3.0
PIERCE,FROM_ABOVE,300,8.3268101761252446,6.0,11.0,16.0,7.8180039138943249,5.0,191.6932907348242812,511,5.0
PIERCE,FROM_ABOVE,900,13.1076320939334638,9.0,17.0,28.0,14.1819960861056751,10.0,497.8125000000000000,511,15.0
PIERCE,FROM_ABOVE,1800,18.5303326810176125,13.0,27.0,39.0,20.8708414872798434,15.0,975.0357995226730310,511,30.0
PIERCE,FROM_BELOW,60,4.9277343750000000,4.0,6.0,9.0,3.9355468750000000,3.0,60.0000000000000000,512,1.0
PIERCE,FROM_BELOW,180,6.9980468750000000,6.0,9.0,14.0,6.0683593750000000,5.0,135.1648351648351648,512,3.0
PIERCE,FROM_BELOW,300,8.7890625000000000,6.5,11.0,17.0,7.7050781250000000,6.0,203.5031847133757962,512,5.0
PIERCE,FROM_BELOW,900,14.3613281250000000,11.0,19.0,29.0,13.2851562500000000,9.0,523.3915211970074813,512,15.0
PIERCE,FROM_BELOW,1800,21.2089843750000000,16.0,28.0,47.0,18.3750000000000000,12.0,1054.9541284403669725,512,30.0
TOUCH,FROM_ABOVE,60,4.0852490421455939,3.0,5.0,8.0,4.1465517241379310,3.0,60.0000000000000000,1044,1.0
TOUCH,FROM_ABOVE,180,5.9243295019157088,4.0,8.0,12.0,6.3314176245210728,5.0,123.1478537360890302,1044,3.0
TOUCH,FROM_ABOVE,300,7.2164750957854406,5.0,10.0,15.0,8.0593869731800766,6.0,185.4624277456647399,1044,5.0
TOUCH,FROM_ABOVE,900,11.6666666666666667,8.0,15.0,26.0,14.1810344827586207,10.0,474.7536945812807882,1044,15.0
TOUCH,FROM_ABOVE,1800,17.1484674329501916,11.0,23.0,41.0,20.1503831417624521,15.0,946.5237020316027088,1044,30.0
TOUCH,FROM_BELOW,60,3.7781919850885368,3.0,5.0,8.0,3.9338303821062442,3.0,60.0000000000000000,1073,1.0
TOUCH,FROM_BELOW,180,5.7763280521901212,4.0,8.0,12.0,5.8005591798695247,5.0,129.6656534954407295,1073,3.0
TOUCH,FROM_BELOW,300,7.2637465051258155,6.0,10.0,15.0,7.2861136999068034,6.0,193.1404958677685950,1073,5.0
TOUCH,FROM_BELOW,900,11.8760484622553588,9.0,17.0,24.0,12.2730661696178938,9.0,519.8835855646100116,1073,15.0
TOUCH,FROM_BELOW,1800,17.4631873252562908,13.0,24.0,36.0,16.6803355079217148,12.0,1011.8004338394793926,1073,30.0
