touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,104,11.5000000000000000,13.6250000000000000
2,103,12.8058252427184466,12.8543689320388350
3,102,12.4215686274509804,12.6078431372549020
4,102,12.0980392156862745,13.5882352941176471
5,102,11.1078431372549020,13.8529411764705882
6,101,12.1683168316831683,14.7920792079207921
7,100,12.9000000000000000,14.6200000000000000
8,100,10.7700000000000000,14.1300000000000000
9,100,10.8800000000000000,14.2700000000000000
10,98,11.1122448979591837,14.5714285714285714
11,98,14.7755102040816327,12.5306122448979592
12,98,15.0816326530612245,12.2653061224489796
13,98,14.9795918367346939,11.7448979591836735
14,98,15.6326530612244898,12.7244897959183673
15,98,15.3367346938775510,13.1632653061224490
16,98,14.0102040816326531,13.6836734693877551
17,95,12.5368421052631579,15.8421052631578947
18,92,15.0326086956521739,14.4891304347826087
19,92,13.8804347826086957,15.0760869565217391
20,89,13.0449438202247191,15.9887640449438202
21,89,14.0898876404494382,14.9213483146067416
22,85,15.5058823529411765,19.0352941176470588
23,83,16.2771084337349398,17.3493975903614458
24,82,17.8780487804878049,16.0243902439024390
25,79,15.8987341772151899,15.8734177215189873
26,79,16.0126582278481013,16.1265822784810127
27,75,16.8266666666666667,17.0133333333333333
28,74,15.6486486486486486,18.1621621621621622
29,70,15.1428571428571429,17.0285714285714286
30,68,14.0735294117647059,17.3382352941176471
31,66,13.9393939393939394,18.3636363636363636
32,63,14.4920634920634921,20.0952380952380952
33,60,14.8000000000000000,19.2833333333333333
34,56,15.4285714285714286,17.1964285714285714
35,54,14.1851851851851852,17.6481481481481481
36,52,15.7115384615384615,16.4615384615384615
37,52,15.1730769230769231,17.3461538461538462
38,48,16.9791666666666667,20.7083333333333333
39,46,14.2173913043478261,17.6956521739130435
40,44,18.2045454545454545,15.9772727272727273
41,41,15.3902439024390244,15.6097560975609756
42,39,16.8717948717948718,13.6410256410256410
43,37,15.9459459459459459,11.7027027027027027
44,34,13.6470588235294118,12.1176470588235294
45,33,11.6060606060606061,16.5757575757575758
46,32,12.4375000000000000,15.6562500000000000
47,30,14.2666666666666667,12.8333333333333333
48,28,13.6785714285714286,13.0357142857142857
49,27,18.3333333333333333,15.6666666666666667
50,26,13.1923076923076923,19.1538461538461538
51,25,14.6400000000000000,15.5600000000000000
52,24,20.5000000000000000,22.0000000000000000
53,23,20.6521739130434783,20.0434782608695652
54,21,27.2857142857142857,23.0476190476190476
55,19,19.3157894736842105,17.4736842105263158
56,19,17.2105263157894737,16.4210526315789474
57,17,14.7647058823529412,17.5882352941176471
58,16,10.8750000000000000,15.8125000000000000
59,15,11.4666666666666667,20.1333333333333333
60,13,11.0000000000000000,17.0000000000000000
61,12,11.7500000000000000,13.2500000000000000
62,11,14.2727272727272727,13.6363636363636364
63,9,16.2222222222222222,15.6666666666666667
64,7,16.4285714285714286,15.8571428571428571
65,7,10.1428571428571429,15.1428571428571429
66,7,11.4285714285714286,16.8571428571428571
67,5,8.6000000000000000,11.0000000000000000
68,5,9.4000000000000000,13.2000000000000000
69,5,10.8000000000000000,12.0000000000000000
70,5,18.0000000000000000,6.0000000000000000
71,5,17.0000000000000000,6.4000000000000000
72,5,15.8000000000000000,11.4000000000000000
73,3,18.0000000000000000,12.3333333333333333
74,3,11.6666666666666667,13.3333333333333333
75,3,13.6666666666666667,6.3333333333333333
76,3,13.6666666666666667,6.3333333333333333
77,3,9.0000000000000000,5.6666666666666667
78,3,3.0000000000000000,8.0000000000000000
79,3,4.0000000000000000,9.3333333333333333
80,3,11.3333333333333333,4.3333333333333333
81,3,4.6666666666666667,9.0000000000000000
82,2,7.0000000000000000,15.5000000000000000
83,2,10.5000000000000000,8.5000000000000000
84,2,12.5000000000000000,20.0000000000000000
85,2,36.5000000000000000,12.0000000000000000
86,2,25.0000000000000000,14.0000000000000000
87,2,14.0000000000000000,20.0000000000000000
88,2,5.0000000000000000,35.0000000000000000
89,2,7.0000000000000000,11.0000000000000000
90,2,20.0000000000000000,5.0000000000000000
91,2,16.0000000000000000,7.0000000000000000
92,2,17.5000000000000000,6.0000000000000000
93,2,26.0000000000000000,5.5000000000000000
94,1,19.0000000000000000,5.0000000000000000
95,1,33.0000000000000000,4.0000000000000000
96,1,32.0000000000000000,1.00000000000000000000
97,1,27.0000000000000000,4.0000000000000000
