session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-05-28,175.664620,513.014400,2.148751,2.896641
2025-05-29,316.174700,138.158330,1.740800,0.825704
2025-05-30,121.023400,242.704680,2.598368,3.603855
2025-06-01,149.359860,51.002890,1.991929,0.750755
2025-06-02,364.802730,26.449960,1.768519,2.163437
2025-06-03,177.062470,236.063050,2.258818,3.219703
2025-06-04,275.854340,129.698670,3.392192,2.713331
2025-06-05,250.346750,383.374460,2.078891,2.842628
2025-06-06,42.394590,372.432110,2.742724,2.857533
2025-06-08,85.457500,155.084870,3.145022,2.543801
2025-06-09,180.727950,193.656880,2.662161,2.346633
2025-06-10,222.838750,130.987820,1.821556,1.276711
2025-06-11,330.999620,196.117930,3.508515,2.579281
2025-06-12,567.643420,279.010060,2.443955,2.756219
2025-06-13,222.768380,155.292920,2.512565,3.095234
2025-06-15,215.711020,122.637090,6.410011,2.240051
2025-06-16,30.538480,333.464950,0.503249,2.557739
2025-06-17,125.330950,218.654290,2.250210,3.364018
2025-06-18,109.223020,235.662400,1.960464,3.515406
2025-06-19,165.361990,200.270510,1.926096,2.696930
2025-06-20,218.653400,93.033600,3.152518,2.002623
2025-06-22,219.039380,202.755170,1.927910,2.266449
2025-06-23,242.343560,387.613130,2.087701,2.867840
2025-06-24,167.327300,269.948890,1.397269,2.256639
2025-06-25,153.785940,139.829970,2.289842,2.517668
2025-06-26,103.809700,339.508700,2.141960,2.764357
2025-06-27,45.083420,295.399220,1.514574,2.521850
2025-06-28,0.000000,0.000000,,
2025-06-29,165.568040,280.289030,1.864187,2.753632
2025-06-30,295.289000,122.139260,2.757562,2.217283
2025-07-01,191.457190,151.680050,1.935128,1.778625
2025-07-02,232.361520,95.341950,3.124344,2.377806
2025-07-03,108.214040,338.204350,2.292016,2.416737
2025-07-04,40.565980,82.001290,2.565825,2.767385
2025-07-06,52.307670,183.826770,2.221123,2.033740
2025-07-07,313.980480,129.926170,2.764072,3.432998
2025-07-08,65.537700,319.983920,2.694689,2.298649
2025-07-09,251.102650,93.125950,2.207915,2.870331
2025-07-10,160.256750,126.055020,3.148124,3.008097
2025-07-11,234.422530,61.244440,2.274724,1.664403
2025-07-13,89.160660,103.843710,1.828431,2.057381
2025-07-14,116.243480,212.213800,2.584541,2.321055
2025-07-15,53.593920,289.544180,2.305227,2.368271
2025-07-16,366.775080,146.567960,2.512153,2.547348
2025-07-17,171.024570,197.784120,1.812145,2.783561
2025-07-18,148.305670,47.350480,1.828555,2.452088
2025-07-19,0.000000,0.000000,,
2025-07-20,87.608580,38.351780,2.456760,3.006622
2025-07-21,307.963680,36.784770,1.920823,1.997265
2025-07-22,291.675420,61.093360,1.964929,2.227479
2025-07-23,81.508400,372.902810,2.797480,2.056864
2025-07-24,84.665630,189.368630,1.004334,2.147108
2025-07-25,25.013200,188.878320,1.798366,1.999702
