date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2024-07-25,2024-07-24 23:56:00-04:00,PIERCE,VWAP,FROM_ABOVE,1,2372.506854,0.164550,2372.800000,2.9314600000000000,3.000000,482.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-24 23:57:00-04:00,TOUCH,VWAP,FROM_ABOVE,2,2372.623246,0.226434,2372.800000,1.7675400000000000,5.000000,482.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-24 23:58:00-04:00,PIERCE,VWAP,FROM_ABOVE,3,2372.954215,0.434624,2373.600000,6.4578500000000000,13.000000,474.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 00:00:00-04:00,CROSS,VWAP,FROM_ABOVE,4,2376.520753,6.431974,2373.200000,33.2075300000000000,9.000000,480.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 00:10:00-04:00,CROSS,VWAP,FROM_BELOW,1,2384.900058,8.871708,2420.300000,353.9994200000000000,11.000000,479.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 00:11:00-04:00,CROSS,VWAP,FROM_ABOVE,5,2385.082609,8.728148,2373.800000,112.8260900000000000,10.000000,482.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 00:43:00-04:00,CROSS,VWAP,FROM_BELOW,2,2387.556867,7.216852,2422.100000,345.4313300000000000,6.000000,476.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 00:44:00-04:00,CROSS,VWAP,FROM_ABOVE,6,2387.590022,7.181706,2374.800000,127.9002200000000000,3.000000,479.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:08:00-04:00,CROSS,VWAP,FROM_BELOW,3,2388.496008,6.746156,2422.000000,335.0399200000000000,4.000000,486.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:09:00-04:00,CROSS,VWAP,FROM_ABOVE,7,2388.518673,6.696423,2374.100000,144.1867300000000000,7.000000,483.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:29:00-04:00,CROSS,VWAP,FROM_BELOW,4,2388.569171,6.602294,2419.000000,304.3082900000000000,2.000000,506.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:30:00-04:00,CROSS,VWAP,FROM_ABOVE,8,2388.517036,6.528116,2370.100000,184.1703600000000000,17.000000,491.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:37:00-04:00,CROSS,VWAP,FROM_BELOW,5,2388.251983,6.294148,2418.900000,306.4801700000000000,23.000000,477.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:38:00-04:00,CROSS,VWAP,FROM_ABOVE,9,2388.241135,6.260248,2371.200000,170.4113500000000000,0.000000,504.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:39:00-04:00,CROSS,VWAP,FROM_BELOW,6,2388.531760,6.540012,2419.300000,307.6824000000000000,23.000000,480.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:41:00-04:00,CROSS,VWAP,FROM_ABOVE,10,2388.674344,6.609313,2373.500000,151.7434400000000000,12.000000,485.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:43:00-04:00,CROSS,VWAP,FROM_BELOW,7,2388.827045,6.679019,2421.600000,327.7295500000000000,4.000000,493.000000,444.792470,325.919560,RTH,1m,2.0
2024-07-25,2024-07-25 01:44:00-04:00,CROSS,VWAP,FROM_ABOVE,11,2388.834821,6.647205,2374.000000,148.3482100000000000,22.000000,480.000000,444.792470,325.919560,RTH,1m,2.0
