event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,4.7729754322111010,3.0,6.0,10.0,39.4062784349408553,7.0,60.0000000000000000,2198,1.0
CROSS,FROM_ABOVE,180,7.7356687898089172,6.0,10.0,17.0,41.4044585987261146,9.0,122.3090799759470836,2198,3.0
CROSS,FROM_ABOVE,300,9.9021838034576888,7.0,13.0,21.0,43.1219290263876251,10.0,182.6013513513513514,2198,5.0
CROSS,FROM_ABOVE,900,16.6446769790718835,12.0,22.0,36.0,49.4017288444040036,15.0,472.3489932885906040,2198,15.0
CROSS,FROM_ABOVE,1800,23.8166515013648772,16.0,30.0,52.0,56.2511373976342129,20.0,888.7406669985067198,2198,30.0
CROSS,FROM_BELOW,60,4.4021739130434783,3.0,6.0,10.0,39.4701086956521739,7.0,60.0000000000000000,2208,1.0
CROSS,FROM_BELOW,180,7.3663949275362319,5.0,10.0,16.0,41.2848731884057971,9.0,123.4417504435245417,2208,3.0
CROSS,FROM_BELOW,300,9.4624094202898551,7.0,13.0,21.0,42.7486413043478261,10.0,184.4097995545657016,2208,5.0
CROSS,FROM_BELOW,900,16.2875905797101449,12.0,22.0,36.0,48.6177536231884058,14.0,492.7873855544252289,2208,15.0
CROSS,FROM_BELOW,1800,23.3097826086956522,17.0,32.0,51.0,55.1082427536231884,18.0,949.0775988286969253,2208,30.0
PIERCE,FROM_ABOVE,60,5.6320754716981132,5.0,7.0,10.0,4.5574614065180103,4.0,60.0000000000000000,1166,1.0
PIERCE,FROM_ABOVE,180,8.0291595197255575,6.0,10.0,16.0,7.4485420240137221,5.0,134.2130365659777424,1166,3.0
PIERCE,FROM_ABOVE,300,9.9879931389365352,7.0,13.0,20.0,9.7701543739279588,7.0,207.1099050203527815,1166,5.0
PIERCE,FROM_ABOVE,900,15.7890222984562607,12.0,21.0,31.0,15.9339622641509434,11.0,508.7185104052573932,1166,15.0
PIERCE,FROM_ABOVE,1800,22.5137221269296741,16.0,27.0,47.0,21.9716981132075472,15.0,948.1827411167512690,1166,30.0
PIERCE,FROM_BELOW,60,5.4009389671361502,4.0,7.0,10.0,4.6206572769953052,4.0,60.0000000000000000,1065,1.0
PIERCE,FROM_BELOW,180,7.6929577464788732,6.0,10.0,15.0,6.9859154929577465,5.0,136.1538461538461538,1065,3.0
PIERCE,FROM_BELOW,300,9.3201877934272300,7.0,12.0,19.0,8.7361502347417840,7.0,202.0639534883720930,1065,5.0
PIERCE,FROM_BELOW,900,15.3877934272300469,12.0,21.0,33.0,14.3737089201877934,11.0,528.9663461538461538,1065,15.0
PIERCE,FROM_BELOW,1800,22.0460093896713615,17.0,31.0,46.0,20.1220657276995305,14.0,1051.1894273127753304,1065,30.0
TOUCH,FROM_ABOVE,60,4.4541176470588235,4.0,6.0,9.0,4.4268235294117647,4.0,60.0000000000000000,2125,1.0
TOUCH,FROM_ABOVE,180,6.6070588235294118,5.0,9.0,13.600000000000136,6.9054117647058824,5.0,127.3933649289099526,2125,3.0
TOUCH,FROM_ABOVE,300,8.2207058823529412,6.0,11.0,17.0,8.5378823529411765,6.0,192.2019635343618513,2125,5.0
TOUCH,FROM_ABOVE,900,13.5256470588235294,10.0,18.0,28.0,14.3872941176470588,11.0,497.5324675324675325,2125,15.0
TOUCH,FROM_ABOVE,1800,19.1143529411764706,13.0,24.0,41.0,20.6423529411764706,15.0,923.3463035019455253,2125,30.0
TOUCH,FROM_BELOW,60,4.5830830830830831,4.0,6.0,10.0,4.8443443443443443,4.0,60.0000000000000000,1998,1.0
TOUCH,FROM_BELOW,180,6.8318318318318318,5.0,9.0,14.0,7.1246246246246246,5.0,127.4221867517956903,1998,3.0
TOUCH,FROM_BELOW,300,8.4549549549549550,7.0,12.0,17.0,8.8298298298298298,7.0,191.1617961511047755,1998,5.0
TOUCH,FROM_BELOW,900,14.1416416416416416,11.0,19.0,29.0,14.8478478478478478,10.0,511.8955042527339004,1998,15.0
TOUCH,FROM_BELOW,1800,19.9654654654654655,15.0,27.0,43.0,20.5255255255255255,14.0,1000.0113895216400911,1998,30.0
