event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,37,0.27027027027027027027,26.0,37.0,95.19999999999999,166.4516129032258065
CROSS,1,moderate,61,0.29508196721311475410,26.0,46.0,121.0,176.0000000000000000
CROSS,1,steep,10,0.20000000000000000000,81.5,62.0,369.9499999999997,220.0000000000000000
CROSS,2,flat,36,0.47222222222222222222,17.5,41.0,107.5,193.8461538461538462
CROSS,2,moderate,62,0.25806451612903225806,27.0,37.0,119.34999999999994,182.4489795918367347
CROSS,2,steep,8,0.37500000000000000000,45.0,42.0,100.25,197.1428571428571429
CROSS,3,flat,35,0.08571428571428571429,29.0,33.0,74.19999999999993,202.0000000000000000
CROSS,3,moderate,57,0.33333333333333333333,23.0,31.0,101.7999999999999,204.2857142857142857
CROSS,3,steep,6,0.50000000000000000000,43.5,48.5,69.0,192.0000000000000000
CROSS,4,flat,30,0.43333333333333333333,26.5,26.0,79.29999999999998,177.5000000000000000
CROSS,4,moderate,44,0.34090909090909090909,27.5,35.5,92.85,183.6363636363636364
CROSS,4,steep,4,0.25000000000000000000,55.5,62.5,238.94999999999993,225.0000000000000000
CROSS,5,flat,39,0.20512820512820512821,26.0,26.0,71.80000000000001,168.9473684210526316
CROSS,5,moderate,42,0.21428571428571428571,28.0,35.0,81.44999999999996,199.4594594594594595
CROSS,5,steep,4,0.25000000000000000000,46.5,62.0,50.4,135.0000000000000000
CROSS,6,flat,30,0.33333333333333333333,21.0,30.5,72.29999999999998,213.6000000000000000
CROSS,6,moderate,35,0.25714285714285714286,20.0,30.0,87.1999999999999,180.0000000000000000
CROSS,6,steep,4,0.50000000000000000000,21.0,43.0,41.14999999999999,300.0000000000000000
CROSS,7,flat,25,0.36000000000000000000,21.0,29.0,78.59999999999998,192.0000000000000000
CROSS,7,moderate,38,0.23684210526315789474,26.5,26.5,54.19999999999996,198.1818181818181818
CROSS,7,steep,5,0.20000000000000000000,43.0,35.0,63.6,204.0000000000000000
CROSS,8,flat,26,0.26923076923076923077,21.5,31.5,126.5,160.9090909090909091
CROSS,8,moderate,35,0.25714285714285714286,18.0,31.0,66.3,177.7777777777777778
CROSS,8,steep,3,0E-20,31.0,46.0,102.1,180.0000000000000000
CROSS,9,flat,34,0.38235294117647058824,15.5,33.0,125.05,163.2000000000000000
CROSS,9,moderate,30,0.30000000000000000000,22.0,20.0,82.04999999999986,177.7777777777777778
CROSS,9,steep,2,0E-20,50.0,85.5,82.39999999999999,90.0000000000000000
CROSS,10,flat,28,0.46428571428571428571,25.0,35.0,109.19999999999993,164.3478260869565217
CROSS,10,moderate,31,0.22580645161290322581,22.0,24.0,65.0,220.0000000000000000
CROSS,10,steep,1,0E-20,123.0,48.0,123.0,300.0000000000000000
CROSS,11,flat,27,0.33333333333333333333,26.0,39.0,135.1,188.1818181818181818
CROSS,11,moderate,25,0.36000000000000000000,11.0,23.0,51.599999999999966,185.2173913043478261
CROSS,11,steep,1,1.00000000000000000000,10.0,133.0,10.0,60.0000000000000000
CROSS,12,flat,28,0.17857142857142857143,23.0,21.5,135.39999999999995,206.0869565217391304
CROSS,12,moderate,23,0.17391304347826086957,11.0,25.0,46.59999999999998,120.0000000000000000
CROSS,12,steep,1,1.00000000000000000000,42.0,48.0,42.0,300.0000000000000000
CROSS,13,flat,21,0.23809523809523809524,9.0,19.0,56.0,190.0000000000000000
CROSS,13,moderate,22,0.18181818181818181818,12.0,18.0,75.69999999999996,183.3333333333333333
CROSS,13,steep,2,0E-20,83.0,29.5,103.69999999999999,180.0000000000000000
CROSS,14,flat,19,0.31578947368421052632,24.0,24.0,69.69999999999996,198.7500000000000000
CROSS,14,moderate,16,0.37500000000000000000,14.0,26.5,62.0,167.1428571428571429
CROSS,14,steep,2,0E-20,39.5,66.0,66.05,150.0000000000000000
CROSS,15,flat,16,0.25000000000000000000,10.0,24.0,52.0,130.9090909090909091
CROSS,15,moderate,19,0.31578947368421052632,11.0,26.0,56.3,160.0000000000000000
CROSS,15,steep,1,0E-20,24.0,46.0,24.0,
CROSS,16,flat,11,0.27272727272727272727,7.0,31.0,204.0,97.5000000000000000
CROSS,16,moderate,16,0.25000000000000000000,16.0,20.0,62.5,185.0000000000000000
CROSS,16,steep,2,0.50000000000000000000,18.5,80.0,18.95,90.0000000000000000
CROSS,17,flat,13,0.38461538461538461538,15.0,24.0,48.99999999999999,192.0000000000000000
CROSS,17,moderate,8,0.37500000000000000000,15.5,23.5,44.44999999999999,216.0000000000000000
CROSS,18,flat,8,0.37500000000000000000,10.5,15.0,47.24999999999997,160.0000000000000000
CROSS,18,moderate,13,0.23076923076923076923,15.0,21.0,32.0,162.0000000000000000
CROSS,18,steep,2,0.50000000000000000000,17.5,56.5,29.65,240.0000000000000000
CROSS,19,flat,12,0E-20,19.0,7.0,38.0,186.0000000000000000
CROSS,19,moderate,6,0.33333333333333333333,10.0,16.5,28.5,120.0000000000000000
CROSS,20,flat,9,0.11111111111111111111,20.0,15.0,48.199999999999996,188.5714285714285714
CROSS,20,moderate,5,0.60000000000000000000,8.0,21.0,72.99999999999999,105.0000000000000000
CROSS,20,steep,2,0.50000000000000000000,37.0,35.5,37.0,210.0000000000000000
CROSS,21,flat,12,0.41666666666666666667,14.5,19.0,78.34999999999998,192.0000000000000000
CROSS,21,moderate,6,0.16666666666666666667,7.5,15.0,20.75,130.0000000000000000
CROSS,21,steep,1,1.00000000000000000000,4.0,59.0,4.0,240.0000000000000000
CROSS,22,flat,11,0.45454545454545454545,15.0,18.0,50.5,217.5000000000000000
CROSS,22,moderate,9,0.11111111111111111111,8.0,14.0,46.599999999999994,186.6666666666666667
CROSS,22,steep,2,0E-20,46.0,44.0,60.4,270.0000000000000000
CROSS,23,flat,5,0.40000000000000000000,35.0,21.0,38.0,144.0000000000000000
CROSS,23,moderate,3,0E-20,8.0,10.0,35.9,140.0000000000000000
CROSS,23,steep,1,0E-20,49.0,11.0,49.0,240.0000000000000000
CROSS,24,flat,2,0E-20,36.5,19.5,44.15,270.0000000000000000
CROSS,24,moderate,7,0.28571428571428571429,11.0,11.0,46.29999999999997,180.0000000000000000
CROSS,24,steep,1,0E-20,35.0,27.0,35.0,240.0000000000000000
CROSS,25,flat,7,0.14285714285714285714,4.0,15.0,13.099999999999998,108.0000000000000000
CROSS,25,moderate,6,0.33333333333333333333,7.5,10.5,52.5,180.0000000000000000
CROSS,25,steep,1,1.00000000000000000000,20.0,60.0,20.0,60.0000000000000000
CROSS,26,flat,4,0E-20,13.0,10.5,104.24999999999996,210.0000000000000000
CROSS,26,moderate,3,0E-20,21.0,3.0,22.8,140.0000000000000000
CROSS,27,flat,6,0.16666666666666666667,13.0,15.0,19.25,180.0000000000000000
CROSS,27,moderate,2,0.50000000000000000000,20.5,18.5,25.45,210.0000000000000000
CROSS,28,flat,9,0.11111111111111111111,10.0,15.0,21.799999999999997,157.5000000000000000
CROSS,28,moderate,3,0.33333333333333333333,4.0,16.0,8.5,120.0000000000000000
CROSS,29,flat,6,0.16666666666666666667,7.0,12.0,40.25,108.0000000000000000
CROSS,29,moderate,3,0.33333333333333333333,13.0,14.0,25.599999999999998,80.0000000000000000
CROSS,30,flat,2,0.50000000000000000000,19.0,8.0,25.299999999999997,210.0000000000000000
CROSS,30,moderate,2,0.50000000000000000000,14.0,9.5,14.0,210.0000000000000000
CROSS,31,flat,2,0E-20,10.0,14.5,10.0,300.0000000000000000
CROSS,31,moderate,2,0.50000000000000000000,12.0,18.0,21.0,120.0000000000000000
CROSS,32,flat,1,1.00000000000000000000,2.0,34.0,2.0,
CROSS,32,moderate,1,1.00000000000000000000,1.0,23.0,1.0,60.0000000000000000
CROSS,33,moderate,2,0E-20,6.5,12.0,6.95,60.0000000000000000
