touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,153,42.8888888888888889,43.8366013071895425
2,148,38.8648648648648649,40.0540540540540541
3,141,33.8439716312056738,37.5248226950354610
4,132,36.2045454545454545,35.0075757575757576
5,122,30.5655737704918033,36.8032786885245902
6,116,28.0000000000000000,30.5689655172413793
7,114,29.0175438596491228,32.6491228070175439
8,108,27.9074074074074074,34.1481481481481481
9,101,28.6435643564356436,34.5049504950495050
10,98,28.1020408163265306,28.4693877551020408
11,95,26.6631578947368421,31.0736842105263158
12,87,26.2068965517241379,26.5402298850574713
13,75,23.9466666666666667,23.1333333333333333
14,65,22.0615384615384615,28.4923076923076923
15,60,17.4333333333333333,28.7166666666666667
16,56,23.9107142857142857,25.2678571428571429
17,51,18.0000000000000000,22.0392156862745098
18,48,18.2916666666666667,23.5625000000000000
19,46,18.7608695652173913,18.5869565217391304
20,43,18.5116279069767442,16.4418604651162791
21,39,18.7435897435897436,20.6923076923076923
22,34,17.2941176470588235,16.9117647058823529
23,29,16.8965517241379310,13.7241379310344828
24,28,16.1428571428571429,15.5000000000000000
25,25,15.2800000000000000,13.8400000000000000
26,22,16.0000000000000000,13.3181818181818182
27,21,13.5714285714285714,13.0476190476190476
28,19,11.8947368421052632,17.1578947368421053
29,17,12.1176470588235294,16.4117647058823529
30,14,12.0714285714285714,15.7857142857142857
31,11,12.1818181818181818,10.0000000000000000
32,9,8.6666666666666667,15.3333333333333333
33,9,9.4444444444444444,12.8888888888888889
34,8,9.5000000000000000,14.2500000000000000
35,8,9.7500000000000000,12.3750000000000000
36,7,8.7142857142857143,13.5714285714285714
37,7,15.7142857142857143,8.8571428571428571
38,7,7.1428571428571429,16.7142857142857143
39,5,8.6000000000000000,11.2000000000000000
40,4,5.7500000000000000,12.2500000000000000
41,4,6.0000000000000000,9.2500000000000000
42,3,10.6666666666666667,8.3333333333333333
43,3,4.3333333333333333,9.3333333333333333
44,1,6.0000000000000000,4.0000000000000000
