session_date,max_extension_up_ticks,max_extension_down_ticks,max_extension_up_sigma,max_extension_down_sigma
2025-06-23,1223.899996,655.880524,3.083538,2.393946
2025-06-24,448.985272,154.162896,2.085447,0.896289
2025-06-25,304.137056,328.843928,1.704907,2.200431
2025-06-26,477.734320,218.735192,2.039970,1.899379
2025-06-27,343.086172,587.789648,2.552844,3.013730
2025-06-29,187.837020,61.333332,2.346244,36249.014184
2025-06-30,355.319808,248.848572,3.097749,2.205756
2025-07-01,95.406584,738.249968,0.777689,2.676431
2025-07-02,480.035172,473.777280,1.931237,2.509200
2025-07-03,512.766300,137.014352,2.051922,2.140273
2025-07-04,80.395564,358.588936,3.099428,2.348552
2025-07-06,148.862148,155.717684,3.053043,16.909529
2025-07-07,195.263732,529.285208,2.324266,3.226898
2025-07-08,225.940204,271.161512,2.213774,2.663441
2025-07-09,509.276608,308.298688,1.774775,1.111742
2025-07-10,238.576072,437.834940,2.675909,2.498271
2025-07-11,324.294792,451.426112,2.067977,1.933960
2025-07-13,168.855604,134.333332,2.499744,
2025-07-14,479.299716,191.322776,1.914805,1.222024
2025-07-15,425.168264,644.465668,1.924002,3.713077
2025-07-16,404.971676,631.068964,2.087355,3.591898
2025-07-17,485.023880,127.162584,1.975130,0.983458
2025-07-18,171.248660,319.439908,3.017524,3.108512
2025-07-19,4.000000,3.000000,,
2025-07-20,109.234148,47.246088,1.881723,2.831968
2025-07-21,395.468008,193.821540,1.820572,2.406145
2025-07-22,126.230016,671.100552,1.369919,2.853709
2025-07-23,700.862644,293.226752,3.424145,2.134436
2025-07-24,229.986472,268.753228,2.617346,3.128830
2025-07-25,314.297952,209.685320,2.807453,2.154075
2025-07-27,113.753704,90.728600,2.571898,2.588417
2025-07-28,160.252564,274.696740,1.582173,2.813424
2025-07-29,242.650836,482.159828,1.932051,2.489304
2025-07-30,982.669424,593.865012,3.841192,4.510245
2025-07-31,248.962096,1204.256440,2.416345,2.044243
2025-08-01,187.252660,1083.601916,2.043940,2.108935
2025-08-03,221.465332,162.269172,2.135086,2.672994
2025-08-04,709.732440,61.059920,1.951049,0.793791
2025-08-05,192.652596,749.364244,2.231654,2.123365
2025-08-06,765.261396,194.588132,1.908097,1.212006
2025-08-07,433.005324,800.725928,2.067403,2.598348
2025-08-08,467.491708,208.952492,2.022048,3.106959
2025-08-10,44.666668,119.393832,,2.343243
2025-08-11,278.645792,528.505760,3.142833,3.318841
2025-08-12,678.516704,366.934316,1.731123,1.593358
2025-08-13,277.889328,388.841684,1.855885,2.314420
2025-08-14,394.276940,469.224672,2.147255,2.790364
2025-08-15,169.120848,456.564452,1.994810,2.414237
2025-08-17,76.077772,73.060608,1.842046,17.256232
2025-08-18,243.691096,330.440936,2.271642,2.352164
2025-08-19,153.043536,740.236620,2.280328,1.956060
2025-08-20,499.917332,949.316740,1.184334,2.086381
2025-08-21,309.347540,524.786804,1.722396,2.517716
2025-08-22,1201.993520,462.267288,2.209971,3.291083
2025-08-24,87.692580,111.784928,1.883279,2.120916
2025-08-25,353.250712,273.359440,2.137135,2.376563
2025-08-26,443.888604,308.467192,2.489614,2.434518
2025-08-27,402.200364,606.593184,2.874526,3.977175
2025-08-28,484.137744,265.071184,1.956363,1.175410
2025-08-29,42.800948,677.522160,3.043476,2.344039
2025-08-31,160.463684,71.666668,2.035129,
2025-09-01,166.907040,371.671748,0.969053,1.897051
2025-09-02,767.256700,944.204632,1.989250,2.129125
2025-09-03,450.921852,386.959816,2.411826,2.064020
2025-09-04,706.409992,289.598512,2.580498,2.774766
2025-09-05,421.348120,948.676420,2.403461,2.285287
2025-09-07,247.106572,60.682552,1.837147,2.288004
2025-09-08,317.325368,243.692700,2.228613,1.618252
2025-09-09,400.544652,367.344540,2.836750,3.016145
2025-09-10,477.996032,574.724920,4.652209,3.226837
2025-09-11,337.505800,321.415940,2.403776,3.873499
2025-09-12,358.766892,172.248140,2.191954,3.458927
2025-09-14,94.828432,69.669064,23.399683,2.399495
2025-09-15,373.663096,173.521424,1.908537,2.284649
