event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size,window_minutes
CROSS,FROM_ABOVE,60,16.6340288924558587,10.0,19.0,35.0,31.8683788121990369,21.0,60.0000000000000000,1246,1.0
CROSS,FROM_ABOVE,180,25.8483146067415730,14.0,31.0,58.5,36.7335473515248796,24.0,120.4477611940298507,1246,3.0
CROSS,FROM_ABOVE,300,31.4165329052969502,18.0,38.0,69.5,41.3370786516853933,28.0,179.4605394605394605,1246,5.0
CROSS,FROM_ABOVE,900,53.5738362760834671,34.0,65.0,120.5,57.9887640449438202,38.0,481.6970802919708029,1246,15.0
CROSS,FROM_ABOVE,1800,75.0577849117174960,43.0,88.0,177.0,77.7656500802568218,50.0,869.4429708222811671,1246,30.0
CROSS,FROM_BELOW,60,14.5575709779179811,9.0,17.0,33.0,29.3288643533123028,20.0,60.0000000000000000,1268,1.0
CROSS,FROM_BELOW,180,24.2570977917981073,16.0,30.0,54.0,34.3107255520504732,23.0,127.3694390715667311,1268,3.0
CROSS,FROM_BELOW,300,29.8186119873817035,20.0,39.0,67.0,38.2145110410094637,26.0,186.7534883720930233,1268,5.0
CROSS,FROM_BELOW,900,50.6624605678233438,34.0,63.0,110.29999999999995,55.9187697160883281,37.0,495.1164797238999137,1268,15.0
CROSS,FROM_BELOW,1800,72.2531545741324921,46.0,91.0,154.29999999999995,75.4716088328075710,48.0,987.0324189526184539,1268,30.0
PIERCE,FROM_ABOVE,60,13.8519313304721030,10.0,17.0,28.0,12.3776824034334764,10.0,60.0000000000000000,466,1.0
PIERCE,FROM_ABOVE,180,19.6201716738197425,15.0,25.0,39.5,17.3776824034334764,13.0,130.0341296928327645,466,3.0
PIERCE,FROM_ABOVE,300,24.5901287553648069,17.5,30.0,49.0,20.5665236051502146,16.0,194.5508982035928144,466,5.0
PIERCE,FROM_ABOVE,900,38.8347639484978541,25.0,48.0,78.0,34.5793991416309013,24.0,479.8425196850393701,466,15.0
PIERCE,FROM_ABOVE,1800,53.2446351931330472,31.0,66.0,121.0,50.2274678111587983,36.0,883.1527093596059113,466,30.0
PIERCE,FROM_BELOW,60,14.7369668246445498,10.0,18.0,31.900000000000034,15.0497630331753555,11.0,60.0000000000000000,422,1.0
PIERCE,FROM_BELOW,180,19.7772511848341232,14.0,24.0,39.900000000000034,22.3909952606635071,15.0,132.0000000000000000,422,3.0
PIERCE,FROM_BELOW,300,23.6658767772511848,18.0,31.0,47.0,27.3151658767772512,18.0,201.7985611510791367,422,5.0
PIERCE,FROM_BELOW,900,40.3056872037914692,29.0,52.0,86.90000000000003,41.2582938388625592,28.0,560.5917159763313609,422,15.0
PIERCE,FROM_BELOW,1800,62.4146919431279621,43.0,82.0,131.0,57.8578199052132701,38.0,1074.7252747252747253,422,30.0
TOUCH,FROM_ABOVE,60,14.7592592592592593,11.0,18.0,29.5,13.5123456790123457,10.0,60.0000000000000000,486,1.0
TOUCH,FROM_ABOVE,180,21.1399176954732510,14.0,26.0,44.5,18.2572016460905350,13.0,134.2474916387959866,486,3.0
TOUCH,FROM_ABOVE,300,25.8456790123456790,18.0,32.0,58.0,21.8497942386831276,15.5,196.3636363636363636,486,5.0
TOUCH,FROM_ABOVE,900,43.2222222222222222,28.0,58.0,86.5,35.2510288065843621,26.0,528.0604534005037783,486,15.0
TOUCH,FROM_ABOVE,1800,58.8724279835390947,35.0,76.0,126.5,52.5082304526748971,35.0,911.3043478260869565,486,30.0
TOUCH,FROM_BELOW,60,14.1317365269461078,10.0,17.0,27.0,15.7704590818363273,11.0,60.0000000000000000,501,1.0
TOUCH,FROM_BELOW,180,20.7425149700598802,14.0,24.0,45.0,22.2734530938123752,15.0,131.1897106109324759,501,3.0
TOUCH,FROM_BELOW,300,25.3173652694610778,18.0,31.0,54.0,26.7285429141716567,19.0,198.9295774647887324,501,5.0
TOUCH,FROM_BELOW,900,40.4590818363273453,29.0,53.0,87.0,44.7105788423153693,29.0,514.0579710144927536,501,15.0
TOUCH,FROM_BELOW,1800,59.7524950099800399,46.0,75.0,123.0,60.3393213572854291,37.0,1078.6486486486486486,501,30.0
