date,timestamp,event_type,level,direction,touch_sequence_number,vwap,stdev,event_price,distance_to_vwap_ticks,mfe_5m_ticks,mae_5m_ticks,max_up_extension_ticks,max_down_extension_ticks,session_type,bars_type,touch_tolerance_ticks
2025-06-23,2025-06-23 04:01:00-04:00,PIERCE,VWAP,FROM_ABOVE,1,21767.910256,1.163210,21769.500000,6.3589760000000000,42.000000,6.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:02:00-04:00,TOUCH,VWAP,FROM_ABOVE,2,21768.234028,1.164049,21768.500000,1.0638880000000000,38.000000,10.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:03:00-04:00,PIERCE,VWAP,FROM_ABOVE,3,21768.318735,1.112439,21768.500000,0.72506000000000000000,38.000000,7.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:04:00-04:00,CROSS,VWAP,FROM_ABOVE,4,21767.896869,1.220992,21766.000000,7.5874760000000000,28.000000,13.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:07:00-04:00,TOUCH,VWAP,FROM_BELOW,1,21764.879548,3.436809,21761.250000,14.5181920000000000,14.000000,15.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:09:00-04:00,TOUCH,VWAP,FROM_BELOW,2,21764.484576,3.377394,21763.750000,2.9383040000000000,2.000000,25.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:10:00-04:00,TOUCH,VWAP,FROM_BELOW,3,21764.404992,3.288848,21762.750000,6.6199680000000000,6.000000,21.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:16:00-04:00,PIERCE,VWAP,FROM_BELOW,4,21763.358482,3.390569,21762.500000,3.4339280000000000,46.000000,6.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:17:00-04:00,CROSS,VWAP,FROM_BELOW,5,21763.412243,3.330309,21765.500000,8.3510280000000000,34.000000,12.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:18:00-04:00,TOUCH,VWAP,FROM_ABOVE,5,21763.514251,3.278966,21765.750000,8.9429960000000000,7.000000,33.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:23:00-04:00,PIERCE,VWAP,FROM_ABOVE,6,21765.504391,4.074825,21767.750000,8.9824360000000000,9.000000,16.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:28:00-04:00,PIERCE,VWAP,FROM_ABOVE,7,21765.938413,3.978290,21767.000000,4.2463480000000000,11.000000,11.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:31:00-04:00,TOUCH,VWAP,FROM_ABOVE,8,21766.059903,3.873961,21768.500000,9.7603880000000000,38.000000,5.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:32:00-04:00,PIERCE,VWAP,FROM_ABOVE,9,21766.072561,3.849316,21766.250000,0.70975600000000000000,29.000000,10.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:34:00-04:00,CROSS,VWAP,FROM_ABOVE,10,21766.037101,3.783137,21762.750000,13.1484040000000000,15.000000,17.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:39:00-04:00,CROSS,VWAP,FROM_BELOW,6,21765.579899,3.709852,21766.250000,2.6804040000000000,11.000000,20.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:40:00-04:00,PIERCE,VWAP,FROM_ABOVE,11,21765.622722,3.679191,21768.000000,9.5091120000000000,19.000000,4.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:41:00-04:00,CROSS,VWAP,FROM_ABOVE,12,21765.627316,3.638967,21764.250000,5.5092640000000000,10.000000,19.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:42:00-04:00,PIERCE,VWAP,FROM_BELOW,7,21765.617852,3.623786,21764.000000,6.4714080000000000,9.000000,9.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:44:00-04:00,CROSS,VWAP,FROM_BELOW,8,21765.592356,3.561403,21765.750000,0.63057600000000000000,1.000000,27.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:45:00-04:00,CROSS,VWAP,FROM_ABOVE,13,21765.582832,3.551387,21763.750000,7.3313280000000000,19.000000,9.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:47:00-04:00,PIERCE,VWAP,FROM_BELOW,9,21765.538145,3.514522,21763.500000,8.1525800000000000,10.000000,18.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:51:00-04:00,TOUCH,VWAP,FROM_BELOW,10,21765.255526,3.467367,21764.000000,5.0221040000000000,6.000000,12.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:55:00-04:00,TOUCH,VWAP,FROM_BELOW,11,21765.171754,3.431180,21764.250000,3.6870160000000000,7.000000,8.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:56:00-04:00,PIERCE,VWAP,FROM_BELOW,12,21765.163862,3.418834,21763.500000,6.6554480000000000,23.000000,4.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:57:00-04:00,TOUCH,VWAP,FROM_BELOW,13,21765.144795,3.401140,21763.750000,5.5791800000000000,27.000000,5.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:58:00-04:00,TOUCH,VWAP,FROM_BELOW,14,21765.136614,3.390336,21764.500000,2.5464560000000000,26.000000,7.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 04:59:00-04:00,PIERCE,VWAP,FROM_BELOW,15,21765.127637,3.363446,21765.000000,0.51054800000000000000,26.000000,6.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 05:00:00-04:00,CROSS,VWAP,FROM_BELOW,16,21765.128239,3.337379,21765.750000,2.4870440000000000,44.000000,8.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 05:01:00-04:00,TOUCH,VWAP,FROM_ABOVE,14,21765.173939,3.309019,21766.500000,5.3042440000000000,5.000000,54.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 10:30:00-04:00,TOUCH,VWAP,FROM_ABOVE,15,21863.422097,47.012822,21867.000000,14.3116120000000000,14.000000,59.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 10:41:00-04:00,CROSS,VWAP,FROM_ABOVE,16,21863.482467,46.240863,21850.500000,51.9298680000000000,10.000000,64.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 10:58:00-04:00,TOUCH,VWAP,FROM_BELOW,17,21863.206201,45.459843,21859.250000,15.8248040000000000,20.000000,35.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 12:18:00-04:00,PIERCE,VWAP,FROM_BELOW,18,21852.357948,44.591391,21843.250000,36.4317920000000000,37.000000,43.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 12:26:00-04:00,TOUCH,VWAP,FROM_BELOW,19,21852.173059,44.244849,21849.000000,12.6922360000000000,12.000000,54.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 12:27:00-04:00,TOUCH,VWAP,FROM_BELOW,20,21852.170392,44.221380,21850.250000,7.6815680000000000,6.000000,59.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 12:28:00-04:00,TOUCH,VWAP,FROM_BELOW,21,21852.145852,44.146716,21842.750000,37.5834080000000000,49.000000,29.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 12:33:00-04:00,CROSS,VWAP,FROM_BELOW,22,21852.040647,43.841372,21854.000000,7.8374120000000000,71.000000,26.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 13:27:00-04:00,PIERCE,VWAP,FROM_ABOVE,17,21856.053655,40.675089,21861.500000,21.7853800000000000,310.000000,58.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 13:30:00-04:00,CROSS,VWAP,FROM_ABOVE,18,21856.127734,39.359583,21849.000000,28.5109360000000000,362.000000,89.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 13:37:00-04:00,CROSS,VWAP,FROM_BELOW,23,21846.706561,40.917405,21853.500000,27.1737560000000000,73.000000,47.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 16:20:00-04:00,CROSS,VWAP,FROM_ABOVE,19,21911.185796,65.869722,21909.500000,6.7431840000000000,160.000000,61.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 16:43:00-04:00,PIERCE,VWAP,FROM_BELOW,24,21897.580079,68.990190,21873.250000,97.3203160000000000,160.000000,124.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 16:45:00-04:00,CROSS,VWAP,FROM_BELOW,25,21897.514957,68.549255,21902.000000,17.9401720000000000,45.000000,239.000000,1223.899996,655.880524,RTH,5m,2.0
2025-06-23,2025-06-23 16:46:00-04:00,CROSS,VWAP,FROM_ABOVE,20,21897.529151,68.303929,21895.750000,7.1166040000000000,214.000000,59.000000,1223.899996,655.880524,RTH,5m,2.0
