touch_sequence_number,count,avg_mfe_5m,avg_mae_5m
1,147,36.5170068027210884,53.5782312925170068
2,146,34.1986301369863014,38.1438356164383562
3,143,36.0279720279720280,38.1958041958041958
4,141,34.9078014184397163,35.2340425531914894
5,138,32.8768115942028986,38.8188405797101449
6,134,30.9925373134328358,37.0447761194029851
7,131,34.8244274809160305,35.7633587786259542
8,126,36.1349206349206349,36.1349206349206349
9,123,33.0243902439024390,42.3333333333333333
10,121,39.3884297520661157,38.6033057851239669
11,118,37.0677966101694915,38.9915254237288136
12,116,36.7413793103448276,41.1551724137931034
13,110,40.0818181818181818,38.7000000000000000
14,104,33.5192307692307692,47.5865384615384615
15,103,48.1262135922330097,48.3689320388349515
16,100,40.7700000000000000,53.2600000000000000
17,97,40.5670103092783505,46.4123711340206186
18,93,49.5913978494623656,45.6344086021505376
19,89,47.3146067415730337,50.7977528089887640
20,84,45.0238095238095238,53.1666666666666667
21,82,39.3780487804878049,61.5731707317073171
22,81,44.5925925925925926,61.4074074074074074
23,78,42.2820512820512821,51.6794871794871795
24,72,43.0277777777777778,56.5555555555555556
25,69,47.8405797101449275,53.0000000000000000
26,66,49.2878787878787879,43.5000000000000000
27,63,38.9682539682539683,49.6984126984126984
28,62,46.4677419354838710,51.8709677419354839
29,58,34.0862068965517241,48.3448275862068966
30,54,39.3518518518518519,48.5555555555555556
31,51,44.8627450980392157,45.9019607843137255
32,47,35.2340425531914894,50.9787234042553191
33,46,45.0869565217391304,44.3478260869565217
34,45,36.9777777777777778,56.8444444444444444
35,43,56.8372093023255814,51.4418604651162791
36,42,42.9523809523809524,70.5476190476190476
37,35,39.1714285714285714,62.1428571428571429
38,33,46.2121212121212121,57.7272727272727273
39,32,43.4062500000000000,76.5000000000000000
40,31,31.6451612903225806,54.5161290322580645
41,31,38.3548387096774194,46.6774193548387097
42,29,48.7241379310344828,42.9655172413793103
43,27,39.3333333333333333,56.4074074074074074
44,27,41.7777777777777778,62.0740740740740741
45,24,63.9166666666666667,57.2916666666666667
46,24,45.7500000000000000,68.1666666666666667
47,22,76.9545454545454545,76.2272727272727273
48,20,55.3000000000000000,86.0000000000000000
49,18,59.4444444444444444,65.1111111111111111
50,15,71.7333333333333333,34.5333333333333333
51,14,72.7142857142857143,40.2142857142857143
52,14,32.1428571428571429,49.1428571428571429
53,14,40.1428571428571429,53.0000000000000000
54,13,31.9230769230769231,67.3846153846153846
55,12,35.3333333333333333,65.3333333333333333
56,11,37.1818181818181818,56.7272727272727273
57,10,34.4000000000000000,43.3000000000000000
58,9,43.4444444444444444,44.5555555555555556
59,8,64.2500000000000000,30.5000000000000000
60,7,45.0000000000000000,57.0000000000000000
61,6,49.8333333333333333,62.1666666666666667
62,6,77.0000000000000000,64.5000000000000000
63,5,38.0000000000000000,60.4000000000000000
64,4,28.7500000000000000,76.2500000000000000
65,4,131.7500000000000000,65.2500000000000000
66,2,112.0000000000000000,29.5000000000000000
67,2,96.5000000000000000,40.0000000000000000
68,2,82.5000000000000000,61.0000000000000000
69,2,31.5000000000000000,48.5000000000000000
70,2,24.5000000000000000,56.5000000000000000
71,2,84.0000000000000000,58.5000000000000000
72,2,54.0000000000000000,65.0000000000000000
73,2,47.5000000000000000,69.5000000000000000
74,2,79.0000000000000000,48.5000000000000000
75,2,73.0000000000000000,61.0000000000000000
76,2,14.0000000000000000,56.5000000000000000
77,2,33.5000000000000000,43.5000000000000000
78,2,57.0000000000000000,44.5000000000000000
79,2,19.5000000000000000,50.5000000000000000
80,2,35.0000000000000000,23.5000000000000000
81,2,10.0000000000000000,47.5000000000000000
82,2,23.5000000000000000,37.0000000000000000
83,2,44.0000000000000000,60.5000000000000000
84,2,31.5000000000000000,35.0000000000000000
85,2,52.0000000000000000,24.0000000000000000
86,2,18.5000000000000000,132.5000000000000000
87,2,29.0000000000000000,100.5000000000000000
88,1,19.0000000000000000,60.0000000000000000
89,1,7.0000000000000000,94.0000000000000000
90,1,48.0000000000000000,86.0000000000000000
91,1,110.0000000000000000,45.0000000000000000
92,1,101.0000000000000000,44.0000000000000000
