event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,15,0.06666666666666666667,30.5,31.0,114.84999999999994,163.6363636363636364
CROSS,1,moderate,47,0.23404255319148936170,17.0,25.0,60.99999999999996,184.6153846153846154
CROSS,1,steep,38,0.31578947368421052632,19.0,39.5,83.89999999999993,155.1724137931034483
CROSS,2,flat,23,0.39130434782608695652,16.0,36.0,59.0,196.0000000000000000
CROSS,2,moderate,38,0.28947368421052631579,16.5,23.0,84.64999999999998,181.9354838709677419
CROSS,2,steep,31,0.45161290322580645161,17.0,37.0,60.5,195.6521739130434783
CROSS,3,flat,14,0.28571428571428571429,12.0,20.0,74.94999999999997,210.0000000000000000
CROSS,3,moderate,33,0.33333333333333333333,13.0,26.0,52.199999999999996,165.0000000000000000
CROSS,3,steep,23,0.13043478260869565217,28.0,24.0,66.5,182.7272727272727273
CROSS,4,flat,9,0.11111111111111111111,22.0,25.0,63.59999999999999,202.5000000000000000
CROSS,4,moderate,32,0.28125000000000000000,16.5,25.5,57.849999999999994,172.5000000000000000
CROSS,4,steep,33,0.15151515151515151515,21.0,27.0,84.4,166.1538461538461538
CROSS,5,flat,7,0.57142857142857142857,9.0,26.0,133.9999999999999,180.0000000000000000
CROSS,5,moderate,31,0.32258064516129032258,21.0,19.0,49.5,184.6153846153846154
CROSS,5,steep,25,0.32000000000000000000,14.0,30.0,50.999999999999986,157.8947368421052632
CROSS,6,flat,16,0.31250000000000000000,19.0,25.5,82.25,212.7272727272727273
CROSS,6,moderate,29,0.03448275862068965517,16.0,16.0,61.39999999999997,180.0000000000000000
CROSS,6,steep,30,0.33333333333333333333,18.5,25.0,76.84999999999992,162.8571428571428571
CROSS,7,flat,12,0.41666666666666666667,15.5,34.0,73.39999999999998,207.2727272727272727
CROSS,7,moderate,34,0.38235294117647058824,20.0,19.0,50.09999999999999,184.0000000000000000
CROSS,7,steep,21,0.23809523809523809524,21.0,28.0,76.0,213.7500000000000000
CROSS,8,flat,11,0.54545454545454545455,14.5,20.5,65.29999999999995,190.0000000000000000
CROSS,8,moderate,38,0.44736842105263157895,10.5,20.5,53.09999999999998,155.5555555555555556
CROSS,8,steep,29,0.20689655172413793103,19.0,23.0,68.19999999999995,189.2307692307692308
CROSS,9,flat,12,0.33333333333333333333,14.5,17.5,81.14999999999992,186.0000000000000000
CROSS,9,moderate,35,0.25714285714285714286,15.0,19.0,41.89999999999999,204.8275862068965517
CROSS,9,steep,23,0.47826086956521739130,11.0,26.0,64.59999999999998,229.4117647058823529
CROSS,10,flat,9,0.22222222222222222222,20.0,13.0,36.2,213.3333333333333333
CROSS,10,moderate,33,0.30303030303030303030,14.0,22.0,71.19999999999993,200.8695652173913043
CROSS,10,steep,24,0.37500000000000000000,16.5,25.0,51.849999999999994,162.3529411764705882
CROSS,11,flat,9,0.66666666666666666667,9.0,22.0,23.4,220.0000000000000000
CROSS,11,moderate,34,0.29411764705882352941,15.0,18.0,46.54999999999997,178.0000000000000000
CROSS,11,steep,26,0.38461538461538461538,18.0,33.0,59.75,145.7142857142857143
CROSS,12,flat,10,0.40000000000000000000,7.0,16.5,23.849999999999994,150.0000000000000000
CROSS,12,moderate,33,0.27272727272727272727,13.0,23.0,79.19999999999995,180.0000000000000000
CROSS,12,steep,18,0.38888888888888888889,17.0,32.0,51.44999999999997,157.5000000000000000
CROSS,13,flat,12,0.33333333333333333333,8.5,19.0,83.59999999999998,174.0000000000000000
CROSS,13,moderate,34,0.47058823529411764706,13.5,21.0,61.09999999999999,180.0000000000000000
CROSS,13,steep,23,0.26086956521739130435,28.0,30.0,129.89999999999998,198.9473684210526316
CROSS,14,flat,12,0.41666666666666666667,8.5,22.5,53.14999999999998,144.0000000000000000
CROSS,14,moderate,34,0.29411764705882352941,12.5,23.5,63.29999999999992,178.0000000000000000
CROSS,14,steep,24,0.25000000000000000000,28.0,30.0,80.3999999999999,207.0000000000000000
CROSS,15,flat,6,0.50000000000000000000,9.0,14.5,15.5,144.0000000000000000
CROSS,15,moderate,29,0.17241379310344827586,14.0,21.0,91.39999999999989,194.4000000000000000
CROSS,15,steep,21,0.57142857142857142857,18.0,28.0,109.0,221.0526315789473684
CROSS,16,flat,8,0.62500000000000000000,13.5,20.5,50.49999999999997,204.0000000000000000
CROSS,16,moderate,26,0.19230769230769230769,16.0,16.5,66.75,182.7272727272727273
CROSS,16,steep,22,0.27272727272727272727,26.5,33.5,85.95,210.0000000000000000
CROSS,17,flat,12,0.33333333333333333333,14.5,18.0,32.849999999999994,218.1818181818181818
CROSS,17,moderate,22,0.40909090909090909091,11.5,15.5,51.69999999999998,156.0000000000000000
CROSS,17,steep,25,0.28000000000000000000,16.0,37.0,96.79999999999995,147.2727272727272727
CROSS,18,flat,9,0.33333333333333333333,13.0,13.0,25.199999999999996,171.4285714285714286
CROSS,18,moderate,27,0.18518518518518518519,15.0,20.0,119.89999999999993,169.5652173913043478
CROSS,18,steep,15,0.13333333333333333333,30.0,62.0,179.99999999999972,189.2307692307692308
CROSS,19,flat,10,0.40000000000000000000,11.5,11.0,51.74999999999999,195.0000000000000000
CROSS,19,moderate,31,0.35483870967741935484,14.0,19.0,82.5,192.5000000000000000
CROSS,19,steep,15,0.33333333333333333333,23.0,42.0,134.79999999999995,212.7272727272727273
CROSS,20,flat,13,0.46153846153846153846,14.0,25.0,147.59999999999997,130.9090909090909091
CROSS,20,moderate,30,0.30000000000000000000,15.5,23.0,168.44999999999993,190.0000000000000000
CROSS,20,steep,23,0.21739130434782608696,31.0,35.0,92.99999999999999,148.6956521739130435
CROSS,21,flat,8,0.12500000000000000000,19.0,24.5,85.34999999999997,187.5000000000000000
CROSS,21,moderate,22,0.31818181818181818182,14.0,22.0,58.8,203.3333333333333333
CROSS,21,steep,21,0.38095238095238095238,18.0,43.0,57.0,176.4705882352941176
CROSS,22,flat,6,0.16666666666666666667,23.0,16.5,43.0,230.0000000000000000
CROSS,22,moderate,32,0.28125000000000000000,19.0,23.5,154.24999999999994,190.7142857142857143
CROSS,22,steep,22,0.18181818181818181818,16.5,33.0,79.95,168.0000000000000000
CROSS,23,flat,8,0.12500000000000000000,21.0,22.5,65.25,195.0000000000000000
CROSS,23,moderate,23,0.34782608695652173913,17.0,24.0,85.09999999999997,180.0000000000000000
CROSS,23,steep,20,0.30000000000000000000,17.0,34.0,100.05000000000004,146.6666666666666667
CROSS,24,flat,9,0.44444444444444444444,14.0,46.0,52.59999999999999,240.0000000000000000
CROSS,24,moderate,33,0.30303030303030303030,15.0,24.0,85.6,175.8620689655172414
CROSS,24,steep,12,0.33333333333333333333,19.0,32.0,59.09999999999999,212.7272727272727273
CROSS,25,flat,5,0.40000000000000000000,15.0,19.0,22.0,80.0000000000000000
CROSS,25,moderate,31,0.19354838709677419355,18.0,19.0,49.5,182.3076923076923077
CROSS,25,steep,16,0.18750000000000000000,53.0,33.5,124.5,212.0000000000000000
CROSS,26,flat,10,0.30000000000000000000,20.0,27.5,63.29999999999997,160.0000000000000000
CROSS,26,moderate,27,0.33333333333333333333,14.0,22.0,150.7999999999999,197.5000000000000000
CROSS,26,steep,15,0.46666666666666666667,40.0,39.0,130.3,240.0000000000000000
CROSS,27,flat,10,0.30000000000000000000,13.5,23.0,51.55,165.0000000000000000
CROSS,27,moderate,28,0.35714285714285714286,17.0,23.0,45.599999999999994,163.2000000000000000
CROSS,27,steep,11,0.18181818181818181818,68.0,67.0,194.5,246.0000000000000000
CROSS,28,flat,9,0.22222222222222222222,18.0,20.0,53.39999999999999,166.6666666666666667
CROSS,28,moderate,30,0.46666666666666666667,15.0,25.5,111.69999999999996,165.6000000000000000
CROSS,28,steep,7,0.28571428571428571429,20.0,50.0,65.79999999999998,160.0000000000000000
CROSS,29,flat,8,0.50000000000000000000,41.0,23.0,98.79999999999995,231.4285714285714286
CROSS,29,moderate,22,0.31818181818181818182,22.0,23.0,73.64999999999999,185.7142857142857143
CROSS,29,steep,9,0E-20,42.0,81.0,126.0,202.5000000000000000
CROSS,30,flat,10,0.10000000000000000000,29.5,26.0,120.14999999999995,232.5000000000000000
CROSS,30,moderate,26,0.23076923076923076923,19.5,25.0,74.25,193.6363636363636364
CROSS,30,steep,10,0.40000000000000000000,26.0,43.0,143.74999999999983,180.0000000000000000
CROSS,31,flat,10,0.30000000000000000000,30.0,38.5,68.75,202.5000000000000000
CROSS,31,moderate,26,0.38461538461538461538,18.5,20.5,56.5,175.3846153846153846
CROSS,31,steep,7,0.28571428571428571429,15.0,36.0,37.79999999999998,180.0000000000000000
