event_type,touch_sequence_number,vwap_slope_bucket,sample_size,p_revert,median_mfe,median_mae,p95_extension,avg_time_to_mfe
CROSS,1,flat,10,0.30000000000000000000,23.5,47.0,55.34999999999998,172.5000000000000000
CROSS,1,moderate,44,0.31818181818181818182,24.5,34.5,106.00000000000006,195.0000000000000000
CROSS,1,steep,52,0.30769230769230769231,41.0,59.0,109.69999999999997,183.0769230769230769
CROSS,2,flat,5,0.20000000000000000000,14.0,41.0,68.2,120.0000000000000000
CROSS,2,moderate,32,0.18750000000000000000,24.5,23.0,87.19999999999997,166.0000000000000000
CROSS,2,steep,45,0.24444444444444444444,28.0,45.0,118.59999999999992,196.9230769230769231
CROSS,3,flat,10,0.30000000000000000000,18.0,30.5,54.55,140.0000000000000000
CROSS,3,moderate,34,0.32352941176470588235,15.5,26.0,51.09999999999999,186.2068965517241379
CROSS,3,steep,46,0.26086956521739130435,30.0,40.0,228.5,173.8461538461538462
CROSS,4,flat,10,0.20000000000000000000,22.5,30.5,59.3,180.0000000000000000
CROSS,4,moderate,39,0.38461538461538461538,19.0,27.0,51.000000000000014,160.0000000000000000
CROSS,4,steep,39,0.30769230769230769231,22.0,42.0,144.60000000000002,190.9090909090909091
CROSS,5,flat,6,0.33333333333333333333,22.5,25.0,58.25,165.0000000000000000
CROSS,5,moderate,44,0.29545454545454545455,21.0,18.0,70.95000000000002,204.6153846153846154
CROSS,5,steep,42,0.33333333333333333333,38.0,55.0,137.19999999999993,200.0000000000000000
CROSS,6,flat,8,0.25000000000000000000,26.0,15.5,64.19999999999999,197.1428571428571429
CROSS,6,moderate,32,0.31250000000000000000,20.0,26.0,72.35,175.5555555555555556
CROSS,6,steep,43,0.30232558139534883721,24.0,40.0,133.59999999999997,194.1176470588235294
CROSS,7,flat,9,0.44444444444444444444,19.0,29.0,76.6,255.0000000000000000
CROSS,7,moderate,35,0.20000000000000000000,18.0,20.0,70.0,176.1290322580645161
CROSS,7,steep,40,0.35000000000000000000,27.0,41.0,154.39999999999986,178.0645161290322581
CROSS,8,flat,8,0.37500000000000000000,12.5,34.0,52.599999999999994,120.0000000000000000
CROSS,8,moderate,38,0.34210526315789473684,12.5,21.0,61.84999999999989,155.6250000000000000
CROSS,8,steep,36,0.13888888888888888889,37.5,31.5,113.75,211.8750000000000000
CROSS,9,flat,9,0.55555555555555555556,21.0,22.0,39.39999999999999,231.4285714285714286
CROSS,9,moderate,36,0.36111111111111111111,17.5,25.0,81.75,182.1428571428571429
CROSS,9,steep,41,0.24390243902439024390,36.0,51.0,172.0,198.7500000000000000
CROSS,10,flat,7,0.28571428571428571429,14.0,23.0,52.99999999999998,197.1428571428571429
CROSS,10,moderate,33,0.18181818181818181818,18.0,28.0,109.79999999999995,170.0000000000000000
CROSS,10,steep,40,0.30000000000000000000,31.5,48.0,166.54999999999995,206.8965517241379310
CROSS,11,flat,11,0.18181818181818181818,18.0,27.0,152.0,201.8181818181818182
CROSS,11,moderate,30,0.20000000000000000000,15.5,22.5,71.49999999999997,211.4285714285714286
CROSS,11,steep,38,0.31578947368421052632,29.0,39.0,147.89999999999992,207.0967741935483871
CROSS,12,flat,7,0.42857142857142857143,20.0,19.0,48.19999999999999,220.0000000000000000
CROSS,12,moderate,36,0.30555555555555555556,21.0,22.0,97.25,170.0000000000000000
CROSS,12,steep,23,0.30434782608695652174,40.0,43.0,148.2,227.3684210526315789
CROSS,13,flat,6,0E-20,26.5,25.0,60.5,180.0000000000000000
CROSS,13,moderate,32,0.28125000000000000000,14.0,25.0,110.59999999999997,206.6666666666666667
CROSS,13,steep,31,0.22580645161290322581,33.0,50.0,251.0,201.6000000000000000
CROSS,14,flat,8,0.50000000000000000000,10.0,37.5,26.249999999999996,100.0000000000000000
CROSS,14,moderate,34,0.23529411764705882353,17.5,24.5,53.749999999999986,180.0000000000000000
CROSS,14,steep,27,0.18518518518518518519,35.0,57.0,113.49999999999999,177.6000000000000000
CROSS,15,flat,7,0.42857142857142857143,17.0,27.0,41.09999999999998,225.0000000000000000
CROSS,15,moderate,27,0.33333333333333333333,19.0,28.0,102.19999999999999,144.5454545454545455
CROSS,15,steep,27,0.18518518518518518519,32.0,55.0,281.0999999999999,184.8000000000000000
CROSS,16,flat,9,0.33333333333333333333,11.0,30.0,22.799999999999997,190.0000000000000000
CROSS,16,moderate,29,0.24137931034482758621,19.0,26.0,138.2,173.3333333333333333
CROSS,16,steep,25,0.16000000000000000000,42.0,57.0,200.7999999999998,219.1304347826086957
CROSS,17,flat,6,0E-20,23.0,40.5,154.25,150.0000000000000000
CROSS,17,moderate,27,0.29629629629629629630,18.0,31.0,121.59999999999997,166.9565217391304348
CROSS,17,steep,24,0.37500000000000000000,23.5,45.0,119.0,155.2941176470588235
CROSS,18,flat,8,0.25000000000000000000,22.0,31.0,96.99999999999997,172.5000000000000000
